2021-10-02 02:31:42 UTC Syncing #13337195 0xc54e…c718     0.60 blk/s  101.2 tx/s    7.9 Mgas/s      0+    4 Qed Ancient:#11292702 LI:#13337200   26/50 peers      6 MiB chain  769 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:31:55 UTC Imported #13337200 0xd4ea…8b5e (176 txs, 14.94 Mgas, 4076 ms, 69.10 KiB)
2021-10-02 02:32:39 UTC  Ancient:#11294279 AB:#11296426   25/25 peers     37 KiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:33:02 UTC Syncing #13337200 0xd4ea…8b5e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11294279 LI:#13337205   24/25 peers     74 KiB chain  947 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:33:07 UTC Syncing #13337200 0xd4ea…8b5e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11294279 LI:#13337205   23/25 peers     74 KiB chain  947 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:33:12 UTC Syncing #13337200 0xd4ea…8b5e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11294279 LI:#13337205   25/25 peers     74 KiB chain  947 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:33:17 UTC Syncing #13337200 0xd4ea…8b5e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11294279 LI:#13337206   22/25 peers     74 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:33:22 UTC Syncing #13337200 0xd4ea…8b5e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11294279 LI:#13337206   20/25 peers     74 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:33:27 UTC Syncing #13337200 0xd4ea…8b5e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11294279 LI:#13337206   21/25 peers     74 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:33:32 UTC Syncing #13337200 0xd4ea…8b5e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11294279 LI:#13337206   24/25 peers     74 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:35:47 UTC Syncing #13337202 0xa208…82ab     0.02 blk/s    5.4 tx/s    0.4 Mgas/s      0+    8 Qed Ancient:#11294913 LI:#13337210   21/25 peers     18 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:35:47 UTC Syncing #13337202 0xa208…82ab     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11295393 LI:#13337210   21/25 peers    0 bytes chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:35:53 UTC Syncing #13337202 0xa208…82ab     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#11295494 LI:#13337213   19/25 peers      2 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:36:10 UTC Syncing #13337202 0xa208…82ab     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#11295495 LI:#13337216   19/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:36:40 UTC Syncing #13337203 0xbcc3…78da     0.59 blk/s   38.5 tx/s    4.3 Mgas/s      0+   12 Qed Ancient:#11295496 LI:#13337216   14/25 peers      2 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:36:40 UTC Syncing #13337203 0xbcc3…78da     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#11295496 LI:#13337216   14/25 peers      2 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:36:54 UTC Syncing #13337203 0xbcc3…78da     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#11295496 LI:#13337217   14/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:36:54 UTC Syncing #13337203 0xbcc3…78da     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#11295496 LI:#13337217   14/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:36:57 UTC Syncing #13337203 0xbcc3…78da     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#11295496 LI:#13337218   11/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 02:37:11 UTC Syncing #13337203 0xbcc3…78da     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#11295496 LI:#13337219   11/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
