2021-10-01 20:31:46 UTC Syncing #13335609 0x1790…c2a3     0.40 blk/s   59.6 tx/s    4.7 Mgas/s      0+    9 Qed Ancient:#11184418 LI:#13335619   39/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:31:51 UTC Syncing #13335609 0x1790…c2a3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#11184418 LI:#13335620   39/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:31:56 UTC Syncing #13335611 0xbe46…3618     0.40 blk/s   44.2 tx/s    4.3 Mgas/s      0+    8 Qed Ancient:#11184420 LI:#13335620   38/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:32:01 UTC Syncing #13335611 0xbe46…3618     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#11184420 LI:#13335621   37/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:32:06 UTC Syncing #13335613 0xf9be…aaa9     0.40 blk/s   69.6 tx/s    5.7 Mgas/s      0+    9 Qed Ancient:#11184422 LI:#13335623   37/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:32:11 UTC Syncing #13335613 0xf9be…aaa9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#11184422 LI:#13335623   38/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:32:16 UTC Syncing #13335614 0x6c17…290b     0.20 blk/s   48.2 tx/s    3.8 Mgas/s      0+    8 Qed Ancient:#11184423 LI:#13335623   38/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:32:21 UTC Syncing #13335615 0xb81a…1c27     0.20 blk/s   42.6 tx/s    4.9 Mgas/s      0+    7 Qed Ancient:#11184424 LI:#13335623   39/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:32:26 UTC Syncing #13335617 0x4d7a…ee43     0.40 blk/s   40.8 tx/s    3.4 Mgas/s      0+    5 Qed Ancient:#11184426 LI:#13335623   39/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:32:31 UTC Syncing #13335618 0x3b01…0527     0.20 blk/s   52.4 tx/s    3.5 Mgas/s      0+    4 Qed Ancient:#11184427 LI:#13335623   39/50 peers      5 MiB chain  818 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:32:58 UTC Imported #13335623 0x2d9d…220e (91 txs, 14.65 Mgas, 2787 ms, 96.75 KiB)
2021-10-01 20:33:02 UTC  Ancient:#11185682 AB:#11187712   36/50 peers    356 KiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:33:29 UTC Imported #13335625 0x12de…c4cb (313 txs, 30.00 Mgas, 9790 ms, 158.25 KiB)
2021-10-01 20:33:36 UTC  Ancient:#11186708 AB:#11189224   34/50 peers    358 KiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:33:40 UTC Imported #13335627 0x40a3…2bf6 (100 txs, 7.39 Mgas, 2418 ms, 41.15 KiB)
2021-10-01 20:34:07 UTC  Ancient:#11187166 AB:#11189414   33/50 peers      3 MiB chain  216 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:34:12 UTC Syncing #13335627 0x40a3…2bf6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11187166 LI:#13335632   34/50 peers      3 MiB chain  424 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:34:17 UTC Syncing #13335627 0x40a3…2bf6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11187166 LI:#13335633   34/50 peers      3 MiB chain  650 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:34:21 UTC Syncing #13335627 0x40a3…2bf6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11187166 LI:#13335633   33/50 peers      3 MiB chain  650 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
