2021-07-28 12:47:28 UTC Imported #12914520 0xea38…14f6 (216 txs, 14.98 Mgas, 35249 ms, 85.27 KiB)
2021-07-28 12:47:28 UTC  Ancient:#6996354 AB:#6999804   27/50 peers      5 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:47:59 UTC Syncing #12914520 0xea38…14f6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#6996383 LI:#12914525   27/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:48:12 UTC Syncing #12914521 0x6a30…1e3c     0.07 blk/s   17.6 tx/s    1.1 Mgas/s      0+    6 Qed Ancient:#6996383 LI:#12914526   27/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:48:19 UTC Syncing #12914521 0x6a30…1e3c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#6996539 LI:#12914527   27/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:48:20 UTC Syncing #12914521 0x6a30…1e3c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#6996560 LI:#12914528   27/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:48:20 UTC Syncing #12914521 0x6a30…1e3c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#6996560 LI:#12914528   27/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:48:26 UTC Syncing #12914521 0x6a30…1e3c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#6996561 LI:#12914528   27/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:48:31 UTC Syncing #12914521 0x6a30…1e3c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#6996561 LI:#12914530   27/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:48:36 UTC Syncing #12914522 0x73b0…ccc8     0.20 blk/s   46.8 tx/s    2.9 Mgas/s      0+    8 Qed Ancient:#6996562 LI:#12914530   27/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:48:41 UTC Syncing #12914522 0x73b0…ccc8     0.20 blk/s   45.6 tx/s    2.9 Mgas/s      0+    7 Qed Ancient:#6996563 LI:#12914530   26/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:48:46 UTC Syncing #12914522 0x73b0…ccc8     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#6996563 LI:#12914530   26/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:48:51 UTC Syncing #12914522 0x73b0…ccc8     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#6996563 LI:#12914530   26/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:48:56 UTC Syncing #12914522 0x73b0…ccc8     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#6996563 LI:#12914530   26/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:49:01 UTC Syncing #12914522 0x73b0…ccc8     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#6996563 LI:#12914531   26/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:49:06 UTC Syncing #12914523 0x2477…7652     0.20 blk/s   45.2 tx/s    3.0 Mgas/s      0+    7 Qed Ancient:#6996564 LI:#12914531   26/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
