2021-09-21 21:35:14 UTC Syncing #13271615 0x94a0…9a59     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#5498793 LI:#13271620   21/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:35:19 UTC Syncing #13271615 0x94a0…9a59     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#5498793 LI:#13271620   23/25 peers      7 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:35:24 UTC Syncing #13271615 0x94a0…9a59     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#5498793 LI:#13271620   23/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:35:29 UTC Syncing #13271615 0x94a0…9a59     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#5498793 LI:#13271622   22/25 peers      7 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:35:38 UTC Syncing #13271616 0x73fa…4bf5     0.20 blk/s   82.2 tx/s    6.0 Mgas/s      0+    6 Qed Ancient:#5498794 LI:#13271623   21/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:35:39 UTC Syncing #13271616 0x73fa…4bf5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#5498794 LI:#13271623   20/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:35:44 UTC Syncing #13271616 0x73fa…4bf5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#5498794 LI:#13271623   22/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:35:53 UTC Syncing #13271616 0x73fa…4bf5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#5498794 LI:#13271623   22/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:35:54 UTC Syncing #13271616 0x73fa…4bf5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5498794 LI:#13271624   20/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:35:59 UTC Syncing #13271617 0xd17e…d23a     0.20 blk/s   67.4 tx/s    6.0 Mgas/s      0+    6 Qed Ancient:#5498795 LI:#13271624   20/25 peers      5 MiB chain 1008 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:36:09 UTC Syncing #13271617 0xd17e…d23a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#5498795 LI:#13271624   21/25 peers      5 MiB chain 1008 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:36:09 UTC Syncing #13271617 0xd17e…d23a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#5498795 LI:#13271624   21/25 peers      5 MiB chain 1008 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:36:17 UTC Syncing #13271618 0x805d…9cbe     0.20 blk/s   77.0 tx/s    5.1 Mgas/s      0+    6 Qed Ancient:#5498796 LI:#13271625   22/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:36:23 UTC Syncing #13271619 0xf783…f56f     0.20 blk/s   11.6 tx/s    0.6 Mgas/s      0+    8 Qed Ancient:#5498797 LI:#13271628   22/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:36:28 UTC Syncing #13271620 0x5412…aa76     0.20 blk/s   18.2 tx/s    1.1 Mgas/s      0+    7 Qed Ancient:#5498798 LI:#13271628   22/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:36:29 UTC Syncing #13271620 0x5412…aa76     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5498798 LI:#13271628   20/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:36:38 UTC Syncing #13271622 0xd75c…0bb9     0.40 blk/s   41.8 tx/s    3.8 Mgas/s      0+    5 Qed Ancient:#5498800 LI:#13271628   20/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:36:41 UTC Syncing #13271622 0xd75c…0bb9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#5498800 LI:#13271629   20/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:36:44 UTC Syncing #13271623 0x99e8…34be     0.20 blk/s   17.4 tx/s    1.4 Mgas/s      0+    5 Qed Ancient:#5498801 LI:#13271629   20/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:36:49 UTC Syncing #13271623 0x99e8…34be     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#5498801 LI:#13271629   22/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:36:54 UTC Syncing #13271623 0x99e8…34be     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#5498801 LI:#13271629   23/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:37:00 UTC Syncing #13271623 0x99e8…34be     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#5498801 LI:#13271629   23/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:37:08 UTC Syncing #13271623 0x99e8…34be     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#5498801 LI:#13271629   22/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:37:09 UTC Syncing #13271623 0x99e8…34be     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#5498801 LI:#13271629   22/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:37:14 UTC Syncing #13271624 0x0891…a7b6     0.20 blk/s   94.2 tx/s    6.0 Mgas/s      0+    4 Qed Ancient:#5498802 LI:#13271629   21/25 peers      5 MiB chain  709 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:37:19 UTC Syncing #13271624 0x0891…a7b6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#5498802 LI:#13271630   23/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:37:24 UTC Syncing #13271624 0x0891…a7b6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#5498802 LI:#13271630   22/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:37:54 UTC  Ancient:#5498806 AB:#5502335   18/25 peers      6 MiB chain  911 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:38:43 UTC  Ancient:#5499091 AB:#5502335   19/25 peers      5 MiB chain  515 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:38:43 UTC  Ancient:#5499160 AB:#5502335   19/25 peers      5 MiB chain  515 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:39:32 UTC  Ancient:#5499983 AB:#5502640   16/25 peers    0 bytes chain  447 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:39:59 UTC  Ancient:#5501466 AB:#5502640   10/25 peers    0 bytes chain  709 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
