2021-09-21 21:29:54 UTC Syncing #13271581 0x47a1…c7c1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#5498756 LI:#13271587   25/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:29:59 UTC Syncing #13271583 0x7e42…d980     0.40 blk/s   24.4 tx/s    3.0 Mgas/s      0+    4 Qed Ancient:#5498760 LI:#13271588   25/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:30:14 UTC Syncing #13271585 0xa17b…28f7     0.13 blk/s   42.9 tx/s    2.2 Mgas/s      0+    4 Qed Ancient:#5498762 LI:#13271590   25/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:30:19 UTC Syncing #13271585 0xa17b…28f7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#5498762 LI:#13271591   24/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:30:24 UTC Syncing #13271585 0xa17b…28f7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#5498762 LI:#13271591   22/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:30:29 UTC Syncing #13271586 0xcf1b…9ef4     0.20 blk/s   71.2 tx/s    5.3 Mgas/s      0+    4 Qed Ancient:#5498763 LI:#13271591   22/25 peers      6 MiB chain  858 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:30:34 UTC Syncing #13271586 0xcf1b…9ef4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#5498763 LI:#13271591   22/25 peers      6 MiB chain  858 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:30:44 UTC Syncing #13271588 0xb3a5…e0b9     0.20 blk/s   42.2 tx/s    2.6 Mgas/s      0+    4 Qed Ancient:#5498765 LI:#13271593   22/25 peers      6 MiB chain  583 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:30:49 UTC Syncing #13271588 0xb3a5…e0b9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#5498765 LI:#13271593   22/25 peers      6 MiB chain  583 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:30:54 UTC Syncing #13271588 0xb3a5…e0b9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#5498765 LI:#13271594   22/25 peers      6 MiB chain  803 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:30:59 UTC Syncing #13271588 0xb3a5…e0b9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#5498765 LI:#13271594   22/25 peers      6 MiB chain  803 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:31:04 UTC Syncing #13271591 0xd69a…7828     0.60 blk/s  121.8 tx/s    6.6 Mgas/s      0+    5 Qed Ancient:#5498768 LI:#13271596   23/25 peers      6 MiB chain  755 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:31:09 UTC Syncing #13271591 0xd69a…7828     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#5498768 LI:#13271597   23/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:31:14 UTC Syncing #13271591 0xd69a…7828     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#5498768 LI:#13271597   24/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:31:19 UTC Syncing #13271591 0xd69a…7828     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#5498768 LI:#13271597   24/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:31:24 UTC Syncing #13271593 0x4aab…d28a     0.40 blk/s   83.8 tx/s    6.6 Mgas/s      0+    4 Qed Ancient:#5498770 LI:#13271597   24/25 peers      6 MiB chain  867 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:31:29 UTC Syncing #13271593 0x4aab…d28a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#5498770 LI:#13271597   23/25 peers      6 MiB chain  867 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:31:34 UTC Syncing #13271594 0x5fd4…3c1d     0.20 blk/s   45.4 tx/s    2.8 Mgas/s      0+    4 Qed Ancient:#5498771 LI:#13271598   23/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:31:54 UTC Syncing #13271596 0x184f…4b57     0.15 blk/s   23.0 tx/s    1.4 Mgas/s      0+    4 Qed Ancient:#5498774 LI:#13271601   22/25 peers      6 MiB chain  988 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:31:59 UTC Syncing #13271596 0x184f…4b57     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#5498774 LI:#13271601   23/25 peers      6 MiB chain  988 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:32:09 UTC Syncing #13271597 0x41ed…a970     0.10 blk/s   31.8 tx/s    2.4 Mgas/s      0+    4 Qed Ancient:#5498775 LI:#13271602   24/25 peers      6 MiB chain  886 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
