2021-09-21 21:37:08 UTC Syncing #13271623 0x99e8…34be     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#5498801 LI:#13271629   22/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:37:09 UTC Syncing #13271623 0x99e8…34be     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#5498801 LI:#13271629   22/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:37:14 UTC Syncing #13271624 0x0891…a7b6     0.20 blk/s   94.2 tx/s    6.0 Mgas/s      0+    4 Qed Ancient:#5498802 LI:#13271629   21/25 peers      5 MiB chain  709 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:37:19 UTC Syncing #13271624 0x0891…a7b6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#5498802 LI:#13271630   23/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:37:24 UTC Syncing #13271624 0x0891…a7b6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#5498802 LI:#13271630   22/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:37:54 UTC  Ancient:#5498806 AB:#5502335   18/25 peers      6 MiB chain  911 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:38:43 UTC  Ancient:#5499091 AB:#5502335   19/25 peers      5 MiB chain  515 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:38:43 UTC  Ancient:#5499160 AB:#5502335   19/25 peers      5 MiB chain  515 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:39:32 UTC  Ancient:#5499983 AB:#5502640   16/25 peers    0 bytes chain  447 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:39:59 UTC  Ancient:#5501466 AB:#5502640   10/25 peers    0 bytes chain  709 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:41:18 UTC Syncing #13271632 0xe4b6…d978     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#5502640 LI:#13271638    5/25 peers    0 bytes chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:41:25 UTC Syncing #13271632 0xe4b6…d978     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#5502640 LI:#13271638    5/25 peers     74 KiB chain  947 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:41:31 UTC Syncing #13271632 0xe4b6…d978     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#5502640 LI:#13271639    5/25 peers     74 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:41:35 UTC Syncing #13271632 0xe4b6…d978     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#5502640 LI:#13271639    5/25 peers     74 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:41:39 UTC Syncing #13271632 0xe4b6…d978     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#5502640 LI:#13271642    5/25 peers     74 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:41:44 UTC Syncing #13271632 0xe4b6…d978     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#5502640 LI:#13271642    5/25 peers     74 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:41:49 UTC Syncing #13271632 0xe4b6…d978     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#5502640 LI:#13271642    6/25 peers     74 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:41:54 UTC Syncing #13271633 0xbc99…9c73     0.20 blk/s   75.2 tx/s    6.0 Mgas/s      0+    9 Qed Ancient:#5502640 LI:#13271643    6/25 peers    109 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:41:59 UTC Syncing #13271633 0xbc99…9c73     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#5502640 LI:#13271643    6/25 peers    109 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:42:04 UTC Syncing #13271633 0xbc99…9c73     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#5502640 LI:#13271645    5/25 peers    109 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:42:09 UTC Syncing #13271633 0xbc99…9c73     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#5502640 LI:#13271645    4/25 peers    109 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:42:18 UTC Syncing #13271634 0x0a50…e100     0.20 blk/s   50.8 tx/s    3.6 Mgas/s      0+   10 Qed Ancient:#5502641 LI:#13271645    3/25 peers    144 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:42:19 UTC Syncing #13271634 0x0a50…e100     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#5502641 LI:#13271645    3/25 peers    144 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:42:24 UTC Syncing #13271634 0x0a50…e100     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#5502641 LI:#13271645    3/25 peers    144 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:42:30 UTC Syncing #13271635 0x5250…8398     0.20 blk/s   33.6 tx/s    2.3 Mgas/s      0+   10 Qed Ancient:#5502642 LI:#13271646    3/25 peers    215 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:42:38 UTC Syncing #13271636 0x7fc9…312b     0.20 blk/s   22.6 tx/s    1.4 Mgas/s      0+    9 Qed Ancient:#5502643 LI:#13271646    3/25 peers    215 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:42:39 UTC Syncing #13271636 0x7fc9…312b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#5502643 LI:#13271647    3/25 peers    215 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:42:44 UTC Syncing #13271637 0xc449…ac80     0.20 blk/s   28.0 tx/s    2.3 Mgas/s      0+    9 Qed Ancient:#5502644 LI:#13271647    3/25 peers    215 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:42:52 UTC Syncing #13271638 0x52de…6643     0.20 blk/s   32.0 tx/s    2.5 Mgas/s      0+    8 Qed Ancient:#5502645 LI:#13271647    3/25 peers    355 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:42:54 UTC Syncing #13271638 0x52de…6643     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#5502645 LI:#13271647    3/25 peers    355 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 21:42:59 UTC Syncing #13271638 0x52de…6643     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#5502645 LI:#13271647    3/25 peers    355 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
