2021-10-01 20:53:25 UTC Imported #13335718 0xf4e0…387f (317 txs, 29.98 Mgas, 42683 ms, 124.14 KiB)
2021-10-01 20:53:41 UTC Syncing #13335718 0xf4e0…387f     0.01 blk/s    4.1 tx/s    0.4 Mgas/s      0+    4 Qed Ancient:#11191498 LI:#13335721    5/25 peers      5 MiB chain  869 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:54:04 UTC Syncing #13335718 0xf4e0…387f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11191498 LI:#13335721    4/25 peers      5 MiB chain  869 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:54:31 UTC Syncing #13335718 0xf4e0…387f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11191498 LI:#13335721    4/25 peers      5 MiB chain  869 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:55:24 UTC Syncing #13335718 0xf4e0…387f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11191498 LI:#13335721    1/25 peers      5 MiB chain  869 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:57:13 UTC Syncing #13335718 0xf4e0…387f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11191498 LI:#13335721    0/25 peers      5 MiB chain  869 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:57:19 UTC Syncing #13335718 0xf4e0…387f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11191498 LI:#13335721    0/25 peers      5 MiB chain  869 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:57:20 UTC Syncing #13335718 0xf4e0…387f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11191498 LI:#13335721    0/25 peers      5 MiB chain  869 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:57:23 UTC Syncing #13335718 0xf4e0…387f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11191498 LI:#13335721    0/25 peers      5 MiB chain  869 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:57:25 UTC Syncing #13335718 0xf4e0…387f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11191498 LI:#13335721    0/25 peers      5 MiB chain  869 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:57:56 UTC  Ancient:#11191498 AB:#11191498    0/25 peers      5 MiB chain  174 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:58:07 UTC Imported #13335721 0x94d3…4b0e (101 txs, 9.28 Mgas, 4373 ms, 41.37 KiB)
2021-10-01 20:58:26 UTC  Ancient:#11191498 AB:#11191498    0/25 peers      6 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:58:41 UTC Syncing #13335721 0x61dd…a05c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    0 Qed Ancient:#11191498 LI:#13335721    1/25 peers      6 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:58:57 UTC Syncing #13335721 0x61dd…a05c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    0 Qed Ancient:#11191498 LI:#13335720    1/25 peers      6 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:59:06 UTC Syncing #13335721 0x61dd…a05c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#11191498 LI:#13335741    4/25 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:59:12 UTC Syncing #13335721 0x61dd…a05c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#11191498 LI:#13335741    4/25 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:59:16 UTC Syncing #13335721 0x61dd…a05c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#11191498 LI:#13335743    7/25 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:59:18 UTC Reorg to #13335722 0x1fbd…564c (0x61dd…a05c #13335720 0x8966…c46b 0x94d3…4b0e)
2021-10-01 20:59:23 UTC Syncing #13335722 0x1fbd…564c     0.20 blk/s   68.0 tx/s    6.0 Mgas/s      0+   21 Qed Ancient:#11191499 LI:#13335744    8/25 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:59:28 UTC Syncing #13335725 0xf9f4…ab2e     0.60 blk/s   68.0 tx/s    7.1 Mgas/s      0+   18 Qed Ancient:#11191502 LI:#13335744    9/25 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:59:33 UTC Syncing #13335726 0x86da…d06c     0.20 blk/s   39.2 tx/s    4.1 Mgas/s      0+   17 Qed Ancient:#11191503 LI:#13335744    9/25 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:59:39 UTC Syncing #13335728 0x6fff…0475     0.40 blk/s   45.4 tx/s    3.8 Mgas/s      0+   15 Qed Ancient:#11191505 LI:#13335744    8/25 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:59:44 UTC Syncing #13335729 0x6e9d…6c75     0.20 blk/s   11.2 tx/s    0.8 Mgas/s      0+   15 Qed Ancient:#11191506 LI:#13335745    8/25 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:59:51 UTC Syncing #13335730 0xd21e…c5eb     0.20 blk/s   78.2 tx/s    6.0 Mgas/s      0+   15 Qed Ancient:#11191507 LI:#13335746    6/25 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 20:59:55 UTC Syncing #13335731 0xf377…714f     0.20 blk/s   27.4 tx/s    3.0 Mgas/s      0+   14 Qed Ancient:#11191508 LI:#13335746    6/25 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:00:00 UTC Syncing #13335733 0x67cb…911f     0.40 blk/s   51.6 tx/s    5.0 Mgas/s      0+   12 Qed Ancient:#11191510 LI:#13335746    4/25 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:00:05 UTC Syncing #13335734 0x73ab…ef48     0.20 blk/s   21.0 tx/s    1.9 Mgas/s      0+   11 Qed Ancient:#11191511 LI:#13335746    4/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:00:11 UTC Syncing #13335735 0xbe3c…89e2     0.10 blk/s   33.5 tx/s    3.0 Mgas/s      0+   10 Qed Ancient:#11191512 LI:#13335746    4/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:00:11 UTC Syncing #13335735 0xbe3c…89e2     0.20 blk/s   67.0 tx/s    6.0 Mgas/s      0+   10 Qed Ancient:#11191512 LI:#13335746    4/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:00:16 UTC Syncing #13335736 0x59d3…2ef2     0.20 blk/s   73.2 tx/s    6.0 Mgas/s      0+    9 Qed Ancient:#11191513 LI:#13335746    3/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:00:24 UTC Syncing #13335737 0x00da…7393     0.20 blk/s   87.0 tx/s    6.0 Mgas/s      0+   13 Qed Ancient:#11191514 LI:#13335751    3/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:00:29 UTC Syncing #13335740 0x42d0…1b32     0.60 blk/s   64.1 tx/s    9.0 Mgas/s      0+   12 Qed Ancient:#11191517 LI:#13335753    3/25 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:00:34 UTC Syncing #13335742 0x3468…2407     0.40 blk/s   55.8 tx/s    4.9 Mgas/s      0+   10 Qed Ancient:#11191519 LI:#13335753    3/25 peers      1 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:00:39 UTC Syncing #13335743 0x0de8…5d98     0.20 blk/s   19.2 tx/s    1.5 Mgas/s      0+    9 Qed Ancient:#11191520 LI:#13335753    3/25 peers      1 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:00:45 UTC Syncing #13335745 0xed93…ffa7     0.40 blk/s   35.0 tx/s    3.9 Mgas/s      0+    7 Qed Ancient:#11191522 LI:#13335753    3/25 peers      1 MiB chain  934 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:00:51 UTC Syncing #13335746 0x3cc6…0247     0.20 blk/s   53.4 tx/s    4.4 Mgas/s      0+    7 Qed Ancient:#11191526 LI:#13335754    3/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:01:24 UTC Imported #13335754 0x0661…05d9 (304 txs, 29.87 Mgas, 6794 ms, 165.65 KiB)
2021-10-01 21:01:35 UTC  Ancient:#11192333 AB:#11192428    4/25 peers   744 bytes chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:01:35 UTC  Ancient:#11192333 AB:#11192428    4/25 peers    0 bytes chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:02:25 UTC Syncing #13335756 0x1c6b…f83b     0.04 blk/s    7.8 tx/s    0.7 Mgas/s      0+    4 Qed Ancient:#11192532 LI:#13335760    3/25 peers      5 MiB chain  914 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:02:25 UTC Syncing #13335756 0x1c6b…f83b     0.04 blk/s    8.0 tx/s    0.7 Mgas/s      0+    4 Qed Ancient:#11192532 LI:#13335760    3/25 peers      5 MiB chain  914 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:02:25 UTC Syncing #13335756 0x1c6b…f83b     0.04 blk/s    7.8 tx/s    0.7 Mgas/s      0+    4 Qed Ancient:#11192532 LI:#13335760    3/25 peers      5 MiB chain  914 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
