2021-05-09 10:38:00 UTC Starting OpenEthereum/v3.2.4-stable-09967329a-20210415/x86_64-linux-gnu/rustc1.51.0
2021-05-09 10:38:00 UTC Keys path /data/blockchain/eth-data/keys/ethereum
2021-05-09 10:38:00 UTC DB path /data/blockchain/eth-data/chains/ethereum/db/906a34e69aec8c0d
2021-05-09 10:38:00 UTC State DB configuration: fast
2021-05-09 10:38:00 UTC Operating mode: active
2021-05-09 10:38:00 UTC Configured for Ethereum using Ethash engine
2021-05-09 10:38:01 UTC Downloading old blocks from 0x140fa256873e11920b27ed9e001f0cb0c75f3fb8e7d8f2170bac2acc720bdf62 (#12118719) till Some(0x08cdcd2056f0430fc8b21369de6cda1b19822a0ec12e5523382e3c565e004d03) (#Some(12345001))
2021-05-09 10:38:01 UTC Listening for new connections on 127.0.0.1:8546.
2021-05-09 10:38:02 UTC Updated conversion rate to Ξ1 = US$3895.52 (1222405.4 wei/gas)
2021-05-09 10:38:06 UTC Public node URL: enode://d440dace1e4954e36e7f85d5d1d26fe17040f4a0b325f3c59c55bc5fae4b9e0ca4f81baef14bd09bdb9dbdcaf516f204a0194e43c6e3aae03b7ab23339ce6d4b@10.0.0.5:30303
2021-05-09 10:38:11 UTC Syncing #12399453 0x10c6…2208     0.00 blk/s    0.0 tx/s    0.0 Mgas/s     99+   16 Qed Ancient:#12118719 LI:#12399656   25/25 peers    132 KiB chain   20 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:38:16 UTC Syncing #12399454 0xe547…c16f     0.20 blk/s   47.0 tx/s    3.0 Mgas/s    157+   50 Qed Ancient:#12118719 LI:#12399664   24/25 peers    167 KiB chain   37 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:38:21 UTC Syncing #12399454 0xe547…c16f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s    110+   97 Qed Ancient:#12118719 LI:#12399664   24/25 peers    167 KiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:38:26 UTC Syncing #12399455 0x0ec4…162e     0.20 blk/s   42.8 tx/s    2.9 Mgas/s     58+  148 Qed Ancient:#12118719 LI:#12399664   24/25 peers    202 KiB chain   43 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:38:31 UTC Syncing #12399455 0x0ec4…162e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  208 Qed Ancient:#12118719 LI:#12399664   26/50 peers    202 KiB chain   47 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:38:36 UTC Syncing #12399456 0x6ccd…025a     0.20 blk/s   50.4 tx/s    3.0 Mgas/s      0+  207 Qed Ancient:#12118719 LI:#12399664   26/50 peers    202 KiB chain   47 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:38:41 UTC Syncing #12399457 0xc36a…a328     0.20 blk/s   51.2 tx/s    3.0 Mgas/s      0+  207 Qed Ancient:#12118719 LI:#12399665   26/50 peers    272 KiB chain   47 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:38:46 UTC Syncing #12399458 0x2bff…22e1     0.20 blk/s   56.4 tx/s    3.0 Mgas/s      0+  206 Qed Ancient:#12118719 LI:#12399665   26/50 peers    273 KiB chain   47 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:38:51 UTC Syncing #12399458 0x2bff…22e1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  206 Qed Ancient:#12118719 LI:#12399665   26/50 peers    273 KiB chain   47 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:38:56 UTC Syncing #12399459 0xb176…3356     0.20 blk/s   51.2 tx/s    2.8 Mgas/s      0+  205 Qed Ancient:#12118719 LI:#12399665   26/50 peers    551 KiB chain   47 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:39:01 UTC Syncing #12399460 0x1264…70f8     0.20 blk/s   50.6 tx/s    3.0 Mgas/s      0+  205 Qed Ancient:#12118719 LI:#12399666   26/50 peers    551 KiB chain   47 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:39:06 UTC Syncing #12399460 0x1264…70f8     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  205 Qed Ancient:#12118719 LI:#12399666   26/50 peers    551 KiB chain   47 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
