2021-07-28 13:18:25 UTC  Ancient:#7015561 AB:#7017241   20/25 peers    0 bytes chain  613 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:18:25 UTC  Ancient:#7015561 AB:#7017241   20/25 peers     77 KiB chain  407 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:18:55 UTC  Ancient:#7015563 AB:#7018192   17/25 peers    147 KiB chain  214 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:19:21 UTC Imported #12914657 0xd9b6…f8ac (238 txs, 15.00 Mgas, 15556 ms, 67.23 KiB)
2021-07-28 13:19:25 UTC  Ancient:#7015690 AB:#7018854   18/25 peers      2 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:19:57 UTC  Ancient:#7017240 AB:#7018854   17/25 peers      5 MiB chain  627 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:20:25 UTC Syncing #12914658 0x597e…ab46     0.04 blk/s    9.6 tx/s    0.5 Mgas/s      0+    4 Qed Ancient:#7017241 LI:#12914663   23/25 peers      5 MiB chain  780 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:20:30 UTC Syncing #12914658 0x597e…ab46     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#7017241 LI:#12914664   23/25 peers      5 MiB chain  942 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:20:35 UTC Syncing #12914658 0x597e…ab46     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#7017241 LI:#12914664   24/25 peers      5 MiB chain  942 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:20:41 UTC Syncing #12914658 0x597e…ab46     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#7017241 LI:#12914664   21/25 peers      5 MiB chain  942 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:20:48 UTC Syncing #12914658 0x597e…ab46     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#7017241 LI:#12914664   19/25 peers      5 MiB chain  942 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:20:50 UTC Syncing #12914659 0xe518…4c1d     0.20 blk/s   33.2 tx/s    3.0 Mgas/s      0+    4 Qed Ancient:#7017242 LI:#12914664   19/25 peers      5 MiB chain  745 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:20:55 UTC Syncing #12914659 0xe518…4c1d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#7017242 LI:#12914664   21/25 peers      5 MiB chain  745 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:21:00 UTC Syncing #12914659 0xe518…4c1d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#7017242 LI:#12914665   21/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:21:05 UTC Syncing #12914659 0xe518…4c1d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#7017242 LI:#12914665   22/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:21:10 UTC Syncing #12914659 0xe518…4c1d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#7017242 LI:#12914666   22/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:21:15 UTC Syncing #12914659 0xe518…4c1d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#7017242 LI:#12914666   22/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
