2021-07-28 13:22:55 UTC Syncing #12914667 0x235e…4cde     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#7017256 LI:#12914672   19/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:23:05 UTC Syncing #12914668 0x1503…7d7a     0.10 blk/s   21.7 tx/s    1.5 Mgas/s      0+    5 Qed Ancient:#7017257 LI:#12914674   22/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:23:10 UTC Syncing #12914669 0x849f…1862     0.20 blk/s   27.8 tx/s    3.0 Mgas/s      0+    4 Qed Ancient:#7017258 LI:#12914674   20/25 peers      5 MiB chain  918 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:23:40 UTC  Ancient:#7017270 AB:#7020761   22/25 peers      5 MiB chain  392 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:24:14 UTC  Ancient:#7017274 AB:#7020761   24/25 peers      5 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:24:42 UTC Imported #12914677 0xfedb…9897 (288 txs, 14.97 Mgas, 6545 ms, 71.31 KiB)
2021-07-28 13:24:54 UTC Imported #12914678 0x4e13…92be (217 txs, 14.98 Mgas, 8106 ms, 72.90 KiB)
2021-07-28 13:25:13 UTC  Ancient:#7020081 AB:#7022194   21/25 peers    0 bytes chain  145 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:25:45 UTC  Ancient:#7020082 AB:#7022829   19/25 peers     83 KiB chain  693 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:26:31 UTC  Ancient:#7020084 AB:#7022829    2/25 peers    145 KiB chain  167 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:26:52 UTC Syncing #12914681 0xbb32…5d09     0.05 blk/s    9.8 tx/s    0.8 Mgas/s      0+    5 Qed Ancient:#7020085 LI:#12914687    3/25 peers    215 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:26:55 UTC Syncing #12914681 0xbb32…5d09     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#7020085 LI:#12914687    3/25 peers    215 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:27:00 UTC Syncing #12914681 0xbb32…5d09     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#7020085 LI:#12914687    6/25 peers    215 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:27:05 UTC Syncing #12914681 0xbb32…5d09     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#7020085 LI:#12914687    6/25 peers    215 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:27:10 UTC Syncing #12914681 0xbb32…5d09     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#7020085 LI:#12914687    7/25 peers    215 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:27:15 UTC Syncing #12914681 0xbb32…5d09     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#7020085 LI:#12914688    5/25 peers    215 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:27:20 UTC Syncing #12914681 0xbb32…5d09     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#7020085 LI:#12914688    5/25 peers    215 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:27:25 UTC Syncing #12914681 0xbb32…5d09     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#7020085 LI:#12914688    8/25 peers      1 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:27:30 UTC Syncing #12914682 0x327d…f17d     0.20 blk/s   29.8 tx/s    3.0 Mgas/s      0+    5 Qed Ancient:#7020086 LI:#12914687    7/25 peers      2 MiB chain 1016 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:27:35 UTC Syncing #12914682 0x327d…f17d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#7020086 LI:#12914690    5/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:27:42 UTC Syncing #12914683 0x0c60…fd6e     0.20 blk/s   68.2 tx/s    3.0 Mgas/s      0+    7 Qed Ancient:#7020087 LI:#12914690    5/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:27:45 UTC Syncing #12914683 0x0c60…fd6e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#7020087 LI:#12914690    5/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
