2021-09-21 22:00:47 UTC Syncing #13271720 0xd233…4e05     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#5515003 LI:#13271729   15/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:00:52 UTC Syncing #13271721 0x6ee2…900e     0.20 blk/s   18.4 tx/s    1.4 Mgas/s      0+    8 Qed Ancient:#5515004 LI:#13271730   15/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:00:56 UTC Syncing #13271721 0x6ee2…900e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#5515004 LI:#13271731   16/25 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:01:02 UTC Syncing #13271721 0x6ee2…900e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#5515004 LI:#13271731   17/25 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:01:07 UTC Syncing #13271721 0x6ee2…900e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#5515004 LI:#13271731   19/25 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:01:12 UTC Syncing #13271722 0x394e…c2d3     0.20 blk/s   42.8 tx/s    3.3 Mgas/s      0+    8 Qed Ancient:#5515005 LI:#13271731   19/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:01:17 UTC Syncing #13271723 0x8ec8…6a02     0.20 blk/s    7.8 tx/s    0.5 Mgas/s      0+    7 Qed Ancient:#5515008 LI:#13271731   19/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:01:22 UTC Syncing #13271723 0x8ec8…6a02     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5515008 LI:#13271731   19/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:01:38 UTC Syncing #13271724 0xa4e0…d6a9     0.07 blk/s   22.3 tx/s    2.0 Mgas/s      0+    9 Qed Ancient:#5515009 LI:#13271733   14/25 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:01:38 UTC Syncing #13271724 0xa4e0…d6a9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#5515239 LI:#13271733   14/25 peers      7 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:01:44 UTC Syncing #13271724 0xa4e0…d6a9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#5515239 LI:#13271733   14/25 peers      7 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:01:48 UTC Syncing #13271724 0xa4e0…d6a9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#5515239 LI:#13271733   14/25 peers      7 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
