2021-09-21 22:07:00 UTC Imported #13271755 0x3c49…d823 (29 txs, 3.23 Mgas, 2256 ms, 13.27 KiB)
2021-09-21 22:07:32 UTC  Ancient:#5519338 AB:#5519338    0/25 peers      3 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:08:02 UTC  Ancient:#5519338 AB:#5519338    0/25 peers      3 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:08:32 UTC  Ancient:#5519338 AB:#5519338    0/25 peers      3 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:09:02 UTC  Ancient:#5519338 AB:#5519338    0/25 peers      3 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:09:32 UTC  Ancient:#5519338 AB:#5519338    0/25 peers      3 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:10:02 UTC  Ancient:#5519338 AB:#5519338    0/25 peers      3 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:10:32 UTC  Ancient:#5519338 AB:#5519338    0/25 peers      3 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:11:02 UTC  Ancient:#5519338 AB:#5519338    0/25 peers      3 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:11:32 UTC  Ancient:#5519338 AB:#5519338    0/25 peers      3 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:11:52 UTC Syncing #13271755 0x3c49…d823     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#5519338 LI:#13271781    3/25 peers      3 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:11:57 UTC Syncing #13271755 0x3c49…d823     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#5519338 LI:#13271781    4/25 peers      3 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:12:02 UTC Syncing #13271755 0x3c49…d823     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#5519338 LI:#13271781    4/25 peers      3 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:12:07 UTC Syncing #13271756 0xf155…5b6c     0.20 blk/s   80.8 tx/s    6.0 Mgas/s      0+   24 Qed Ancient:#5519341 LI:#13271781    4/25 peers      3 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:12:12 UTC Syncing #13271757 0x484d…007a     0.20 blk/s   97.8 tx/s    6.0 Mgas/s      0+   23 Qed Ancient:#5519343 LI:#13271781    5/25 peers      3 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:12:17 UTC Syncing #13271759 0xdd7c…5d83     0.40 blk/s   77.2 tx/s    4.9 Mgas/s      0+   21 Qed Ancient:#5519345 LI:#13271781    7/25 peers      3 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:12:22 UTC Syncing #13271761 0x919d…d3f8     0.40 blk/s   22.8 tx/s    1.5 Mgas/s      0+   19 Qed Ancient:#5519350 LI:#13271781   13/25 peers      3 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
