2021-10-01 21:32:30 UTC Syncing #13335880 0xdd04…8252     0.07 blk/s   15.5 tx/s    1.4 Mgas/s      0+    7 Qed Ancient:#11209561 LI:#13335887   18/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:32:30 UTC Syncing #13335880 0xdd04…8252     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11209683 LI:#13335887   18/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:32:37 UTC Syncing #13335881 0x9b96…809d     0.15 blk/s   12.9 tx/s    1.1 Mgas/s      0+    7 Qed Ancient:#11209685 LI:#13335888   16/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:32:54 UTC Syncing #13335882 0x03ac…3a1f     0.06 blk/s    7.9 tx/s    1.0 Mgas/s      0+    6 Qed Ancient:#11209796 LI:#13335889   14/25 peers     10 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:32:54 UTC Syncing #13335881 0x9b96…809d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11209689 LI:#13335889   14/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:32:54 UTC Syncing #13335882 0x03ac…3a1f     0.52 blk/s   65.5 tx/s    8.0 Mgas/s      0+    6 Qed Ancient:#11209796 LI:#13335889   14/25 peers     10 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:33:01 UTC Syncing #13335882 0x03ac…3a1f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11209796 LI:#13335889   14/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:33:09 UTC Syncing #13335882 0x03ac…3a1f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11209796 LI:#13335890   14/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:33:09 UTC Syncing #13335882 0x03ac…3a1f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#11209796 LI:#13335892   14/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:33:19 UTC Syncing #13335883 0xa7d0…d150     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#11209796 LI:#13335892   14/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:33:27 UTC Syncing #13335884 0x12d2…48da     0.20 blk/s   19.7 tx/s    2.3 Mgas/s      0+    8 Qed Ancient:#11209798 LI:#13335893   14/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
