2021-10-01 21:27:31 UTC Syncing #13335855 0x49bd…6d9d     0.20 blk/s   51.8 tx/s    5.2 Mgas/s      0+   12 Qed Ancient:#11209534 LI:#13335868   13/25 peers    637 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:27:36 UTC Syncing #13335857 0xccbf…14db     0.40 blk/s   19.8 tx/s    2.0 Mgas/s      0+   12 Qed Ancient:#11209536 LI:#13335870   12/25 peers    638 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:27:40 UTC Syncing #13335857 0xccbf…14db     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#11209536 LI:#13335870   12/25 peers    638 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:27:44 UTC Syncing #13335857 0xccbf…14db     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#11209536 LI:#13335871   11/25 peers    638 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:27:55 UTC Syncing #13335859 0x19ad…42a5     0.20 blk/s   17.1 tx/s    1.6 Mgas/s      0+   11 Qed Ancient:#11209538 LI:#13335871   14/25 peers    638 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:27:55 UTC Syncing #13335858 0x8f96…e647     0.20 blk/s   30.6 tx/s    2.9 Mgas/s      0+   12 Qed Ancient:#11209537 LI:#13335871   14/25 peers    638 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:28:02 UTC Syncing #13335859 0x19ad…42a5     0.20 blk/s    3.6 tx/s    0.4 Mgas/s      0+   11 Qed Ancient:#11209538 LI:#13335871   14/25 peers    639 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:28:06 UTC Syncing #13335860 0x4f0f…93ca     0.20 blk/s   24.4 tx/s    2.3 Mgas/s      0+   10 Qed Ancient:#11209539 LI:#13335871   14/25 peers    639 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:28:09 UTC Syncing #13335860 0x4f0f…93ca     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#11209539 LI:#13335871   13/25 peers    639 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:28:14 UTC Syncing #13335860 0x4f0f…93ca     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#11209539 LI:#13335871   13/25 peers    639 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:28:20 UTC Syncing #13335860 0x4f0f…93ca     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#11209539 LI:#13335871   16/25 peers    639 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:28:24 UTC Syncing #13335861 0x4cb6…0145     0.20 blk/s   46.2 tx/s    5.2 Mgas/s      0+    9 Qed Ancient:#11209540 LI:#13335871   16/25 peers    639 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
