2021-10-01 21:42:41 UTC Syncing #13335903 0x23f8…86b7     0.10 blk/s   12.5 tx/s    1.0 Mgas/s      0+   34 Qed Ancient:#11216086 LI:#13335938    9/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:42:41 UTC Syncing #13335902 0x9201…f062     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   35 Qed Ancient:#11216084 LI:#13335938    9/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:43:00 UTC Syncing #13335903 0x23f8…86b7     0.07 blk/s    8.3 tx/s    0.6 Mgas/s      0+   34 Qed Ancient:#11216086 LI:#13335938    8/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:43:00 UTC Syncing #13335903 0x23f8…86b7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   34 Qed Ancient:#11216086 LI:#13335938    8/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:43:00 UTC Syncing #13335903 0x23f8…86b7     0.20 blk/s   25.0 tx/s    1.9 Mgas/s      0+   34 Qed Ancient:#11216086 LI:#13335938    8/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:43:00 UTC Syncing #13335903 0x23f8…86b7     0.10 blk/s   12.5 tx/s    1.0 Mgas/s      0+   34 Qed Ancient:#11216086 LI:#13335938    8/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:43:04 UTC Syncing #13335903 0x23f8…86b7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   35 Qed Ancient:#11216086 LI:#13335939    8/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:43:09 UTC Syncing #13335903 0x23f8…86b7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   35 Qed Ancient:#11216086 LI:#13335939    8/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:43:14 UTC Syncing #13335903 0x23f8…86b7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   36 Qed Ancient:#11216086 LI:#13335940    8/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:43:19 UTC Syncing #13335903 0x23f8…86b7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   36 Qed Ancient:#11216086 LI:#13335940    7/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:43:24 UTC Syncing #13335903 0x23f8…86b7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   37 Qed Ancient:#11216086 LI:#13335941    7/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:43:29 UTC Syncing #13335903 0x23f8…86b7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   37 Qed Ancient:#11216086 LI:#13335941    9/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:43:40 UTC Syncing #13335903 0x23f8…86b7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   38 Qed Ancient:#11216086 LI:#13335942   10/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:43:40 UTC Syncing #13335903 0x23f8…86b7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   38 Qed Ancient:#11216086 LI:#13335942   10/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:43:44 UTC Syncing #13335903 0x23f8…86b7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   39 Qed Ancient:#11216086 LI:#13335943    9/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:43:53 UTC Syncing #13335904 0xab25…75b4     0.20 blk/s   55.4 tx/s    6.0 Mgas/s      0+   38 Qed Ancient:#11216089 LI:#13335943    9/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:43:54 UTC Syncing #13335904 0xab25…75b4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   38 Qed Ancient:#11216089 LI:#13335943    9/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:44:03 UTC Syncing #13335906 0x97bb…3f45     0.40 blk/s   28.4 tx/s    3.8 Mgas/s      0+   37 Qed Ancient:#11216092 LI:#13335944    9/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:44:12 UTC Syncing #13335906 0x97bb…3f45     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   37 Qed Ancient:#11216092 LI:#13335944    8/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:44:12 UTC Syncing #13335906 0x97bb…3f45     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   37 Qed Ancient:#11216092 LI:#13335944    8/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:44:14 UTC Syncing #13335906 0x97bb…3f45     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   37 Qed Ancient:#11216092 LI:#13335944    8/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:44:23 UTC Syncing #13335907 0xf4bb…16de     0.20 blk/s   54.0 tx/s    4.9 Mgas/s      0+   36 Qed Ancient:#11216093 LI:#13335944    8/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:44:24 UTC Syncing #13335907 0xf4bb…16de     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   36 Qed Ancient:#11216093 LI:#13335944    7/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:44:29 UTC Syncing #13335907 0xf4bb…16de     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   37 Qed Ancient:#11216093 LI:#13335945    7/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:44:39 UTC Syncing #13335908 0x3f29…9640     0.20 blk/s   39.4 tx/s    3.1 Mgas/s      0+   37 Qed Ancient:#11216094 LI:#13335946    7/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:44:39 UTC Syncing #13335909 0x39f6…8c60     0.20 blk/s   29.2 tx/s    2.5 Mgas/s      0+   36 Qed Ancient:#11216095 LI:#13335946    7/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:44:49 UTC Syncing #13335910 0x08c8…16f5     0.20 blk/s    8.2 tx/s    0.7 Mgas/s      0+   37 Qed Ancient:#11216096 LI:#13335948    6/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:44:49 UTC Syncing #13335910 0x08c8…16f5     0.10 blk/s    4.1 tx/s    0.3 Mgas/s      0+   37 Qed Ancient:#11216096 LI:#13335948    6/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:44:54 UTC Syncing #13335910 0x08c8…16f5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   40 Qed Ancient:#11216096 LI:#13335950    6/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:44:59 UTC Syncing #13335910 0x08c8…16f5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   40 Qed Ancient:#11216096 LI:#13335950    6/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:45:06 UTC Syncing #13335910 0x08c8…16f5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   41 Qed Ancient:#11216096 LI:#13335951    6/25 peers      5 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:45:09 UTC Syncing #13335910 0x08c8…16f5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   41 Qed Ancient:#11216096 LI:#13335951    6/25 peers      5 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:45:19 UTC Syncing #13335911 0x43a1…f725     0.20 blk/s   20.0 tx/s    2.2 Mgas/s      0+   40 Qed Ancient:#11216097 LI:#13335952    6/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:45:19 UTC Syncing #13335911 0x43a1…f725     0.10 blk/s   10.0 tx/s    1.1 Mgas/s      0+   40 Qed Ancient:#11216097 LI:#13335952    6/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:45:24 UTC Syncing #13335911 0x43a1…f725     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   41 Qed Ancient:#11216097 LI:#13335952    8/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:45:29 UTC Syncing #13335911 0x43a1…f725     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   42 Qed Ancient:#11216097 LI:#13335953    9/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:45:34 UTC Syncing #13335911 0x43a1…f725     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   42 Qed Ancient:#11216097 LI:#13335953    9/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:45:39 UTC Syncing #13335911 0x43a1…f725     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   42 Qed Ancient:#11216097 LI:#13335953   15/25 peers      6 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:45:44 UTC Syncing #13335911 0x43a1…f725     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   43 Qed Ancient:#11216097 LI:#13335954   19/25 peers      6 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:45:52 UTC Syncing #13335912 0xc10f…4f93     0.20 blk/s   74.0 tx/s    6.0 Mgas/s      0+   42 Qed Ancient:#11216098 LI:#13335954   19/25 peers      6 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:45:54 UTC Syncing #13335912 0xc10f…4f93     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   42 Qed Ancient:#11216098 LI:#13335954   19/25 peers      6 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:45:59 UTC Syncing #13335912 0xc10f…4f93     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   42 Qed Ancient:#11216098 LI:#13335954   19/25 peers      6 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:46:04 UTC Syncing #13335912 0xc10f…4f93     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   42 Qed Ancient:#11216098 LI:#13335954   21/25 peers      2 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:46:09 UTC Syncing #13335912 0xc10f…4f93     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   42 Qed Ancient:#11216098 LI:#13335954   22/25 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:47:02 UTC Syncing #13335913 0x6274…0b43     0.02 blk/s    5.9 tx/s    0.6 Mgas/s      0+   50 Qed Ancient:#11216970 LI:#13335961   24/25 peers     21 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
