2021-10-01 21:47:38 UTC Syncing #13335914 0xddcf…d57c     0.25 blk/s   57.6 tx/s    6.0 Mgas/s      0+   49 Qed Ancient:#11217512 LI:#13335963    9/25 peers      1 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:47:38 UTC Syncing #13335914 0xddcf…d57c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   49 Qed Ancient:#11217512 LI:#13335963    9/25 peers      1 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:47:50 UTC Syncing #13335915 0xa5c5…2070     0.17 blk/s   21.7 tx/s    2.3 Mgas/s      0+   49 Qed Ancient:#11217514 LI:#13335963    8/25 peers      1 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:47:50 UTC Syncing #13335916 0xfb79…ceb3     0.17 blk/s    8.0 tx/s    0.7 Mgas/s      0+   48 Qed Ancient:#11217515 LI:#13335963    8/25 peers      1 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:48:01 UTC Syncing #13335916 0xfb79…ceb3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   49 Qed Ancient:#11217515 LI:#13335964    8/25 peers      1 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:48:01 UTC Syncing #13335916 0xfb79…ceb3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   49 Qed Ancient:#11217515 LI:#13335964    8/25 peers      1 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:48:04 UTC Syncing #13335916 0xfb79…ceb3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   50 Qed Ancient:#11217515 LI:#13335965    7/25 peers      1 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:48:09 UTC Syncing #13335916 0xfb79…ceb3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   51 Qed Ancient:#11217515 LI:#13335966    8/25 peers      1 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:48:22 UTC Syncing #13335917 0x041b…421d     0.08 blk/s   22.7 tx/s    1.8 Mgas/s      0+   50 Qed Ancient:#11217516 LI:#13335967    8/25 peers      1 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:48:25 UTC Syncing #13335917 0x041b…421d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   52 Qed Ancient:#11217516 LI:#13335968    8/25 peers      1 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:48:35 UTC Syncing #13335918 0x6e43…aef6     0.20 blk/s   34.6 tx/s    2.8 Mgas/s      0+   51 Qed Ancient:#11217517 LI:#13335968    8/25 peers      1 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:48:35 UTC Syncing #13335918 0x6e43…aef6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   51 Qed Ancient:#11217517 LI:#13335969    8/25 peers      1 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:48:39 UTC Syncing #13335918 0x6e43…aef6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   52 Qed Ancient:#11217517 LI:#13335969    8/25 peers      1 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:48:53 UTC Syncing #13335918 0x6e43…aef6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   52 Qed Ancient:#11217517 LI:#13335969    8/25 peers      1 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:48:53 UTC Syncing #13335918 0x6e43…aef6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   52 Qed Ancient:#11217517 LI:#13335969    8/25 peers      1 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:49:10 UTC Syncing #13335919 0x1737…7d58     0.20 blk/s   59.0 tx/s    5.3 Mgas/s      0+   51 Qed Ancient:#11217518 LI:#13335969    8/25 peers      1 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:49:10 UTC Syncing #13335921 0xbbdc…d973     0.30 blk/s   49.3 tx/s    4.5 Mgas/s      0+   49 Qed Ancient:#11217520 LI:#13335969    8/25 peers      1 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 21:49:10 UTC Syncing #13335921 0xbbdc…d973     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   49 Qed Ancient:#11217520 LI:#13335969    8/25 peers      1 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
