2021-09-21 23:06:44 UTC Syncing #13271988 0x8376…1eff     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#5561990 LI:#13272010   11/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:06:57 UTC Syncing #13271989 0x9fa6…535e     0.10 blk/s   15.5 tx/s    1.3 Mgas/s      0+   20 Qed Ancient:#5561991 LI:#13272010   11/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:06:57 UTC Syncing #13271989 0x9fa6…535e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#5561991 LI:#13272010   11/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:06:57 UTC Syncing #13271989 0x9fa6…535e     0.20 blk/s   31.0 tx/s    2.6 Mgas/s      0+   20 Qed Ancient:#5561991 LI:#13272010   11/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:07:01 UTC Syncing #13271989 0x9fa6…535e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#5561991 LI:#13272011   11/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:07:14 UTC Syncing #13271991 0x7062…97d8     0.20 blk/s   21.9 tx/s    2.1 Mgas/s      0+   19 Qed Ancient:#5561993 LI:#13272011   11/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:07:14 UTC Syncing #13271990 0xa2c8…254a     0.20 blk/s   36.8 tx/s    3.6 Mgas/s      0+   20 Qed Ancient:#5561992 LI:#13272011   11/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:07:20 UTC Syncing #13271991 0x7062…97d8     0.20 blk/s    7.0 tx/s    0.6 Mgas/s      0+   19 Qed Ancient:#5561993 LI:#13272011   11/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:07:21 UTC Syncing #13271991 0x7062…97d8     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#5561993 LI:#13272012   11/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:07:26 UTC Syncing #13271991 0x7062…97d8     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#5561993 LI:#13272012   14/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:08:02 UTC Syncing #13271992 0x06b1…7c3e     0.03 blk/s    9.2 tx/s    0.8 Mgas/s      0+   21 Qed Ancient:#5562985 LI:#13272013    8/25 peers      5 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:08:35 UTC Syncing #13271992 0x06b1…7c3e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#5564384 LI:#13272013    5/25 peers     36 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:08:46 UTC Syncing #13271993 0x3260…05a1     0.11 blk/s   14.5 tx/s    1.2 Mgas/s      0+   20 Qed Ancient:#5564386 LI:#13272013    5/25 peers    144 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:08:52 UTC Syncing #13271993 0x3260…05a1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#5564510 LI:#13272013    5/25 peers      1 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:08:52 UTC Syncing #13271993 0x3260…05a1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#5564994 LI:#13272013    5/25 peers    0 bytes chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:08:56 UTC Syncing #13271993 0x3260…05a1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#5564995 LI:#13272013    3/25 peers     83 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:09:16 UTC Syncing #13271993 0x3260…05a1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#5564995 LI:#13272013    3/25 peers     83 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:09:16 UTC Syncing #13271994 0x6dcb…a1d9     0.07 blk/s    5.0 tx/s    0.5 Mgas/s      0+   18 Qed Ancient:#5564996 LI:#13272013    3/25 peers    109 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:09:29 UTC Syncing #13271994 0x6dcb…a1d9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#5564996 LI:#13272013    3/25 peers    109 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:09:29 UTC Syncing #13271995 0x4418…0e83     0.13 blk/s   45.3 tx/s    3.8 Mgas/s      0+   17 Qed Ancient:#5564997 LI:#13272013    3/25 peers    145 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:09:31 UTC Syncing #13271995 0x4418…0e83     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#5564997 LI:#13272013    3/25 peers    145 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:09:48 UTC Syncing #13271995 0x4418…0e83     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#5564997 LI:#13272013    3/25 peers    145 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:09:48 UTC Syncing #13271995 0x4418…0e83     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#5564997 LI:#13272013    3/25 peers    145 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:09:48 UTC Syncing #13271995 0x4418…0e83     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#5564997 LI:#13272013    3/25 peers    145 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:10:16 UTC Syncing #13271999 0x26f1…0c3b     0.24 blk/s   25.8 tx/s    2.5 Mgas/s      0+   14 Qed Ancient:#5565363 LI:#13272013    3/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:10:16 UTC Syncing #13271998 0x2713…bcac     0.36 blk/s   48.7 tx/s    4.6 Mgas/s      0+   15 Qed Ancient:#5565034 LI:#13272013    3/25 peers    640 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:10:16 UTC Syncing #13271999 0x26f1…0c3b     0.09 blk/s    3.4 tx/s    0.3 Mgas/s      0+   14 Qed Ancient:#5565363 LI:#13272013    3/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
