2021-09-21 23:01:14 UTC Reorg to #13271975 0x1507…b387 (0x58e0…5cf2 #13271974 0x5a90…7df6 )
2021-09-21 23:01:20 UTC Syncing #13271975 0x1507…b387     0.20 blk/s   55.8 tx/s    5.9 Mgas/s      0+    7 Qed Ancient:#5558386 LI:#13271983   19/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:01:26 UTC Syncing #13271976 0xa0f6…14f2     0.10 blk/s    2.9 tx/s    0.4 Mgas/s      0+    6 Qed Ancient:#5558387 LI:#13271983   18/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:01:26 UTC Syncing #13271976 0xa0f6…14f2     0.20 blk/s    5.8 tx/s    0.9 Mgas/s      0+    6 Qed Ancient:#5558387 LI:#13271983   18/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:01:33 UTC Syncing #13271976 0xa0f6…14f2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#5558387 LI:#13271983   18/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:01:40 UTC Syncing #13271976 0xa0f6…14f2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5558387 LI:#13271984   18/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:01:41 UTC Syncing #13271976 0xa0f6…14f2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#5558387 LI:#13271986   16/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:01:46 UTC Syncing #13271976 0xa0f6…14f2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#5558387 LI:#13271986   18/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:02:40 UTC Syncing #13271977 0xb094…614f     0.03 blk/s    7.3 tx/s    0.7 Mgas/s      0+   12 Qed Ancient:#5559046 LI:#13271989   21/25 peers     18 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:02:40 UTC Syncing #13271977 0xb094…614f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#5559924 LI:#13271990   20/25 peers     72 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:03:05 UTC Syncing #13271978 0xed3a…6655     0.04 blk/s    3.2 tx/s    0.4 Mgas/s      0+   13 Qed Ancient:#5561451 LI:#13271991   17/25 peers     18 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:03:05 UTC Syncing #13271978 0xed3a…6655     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#5561704 LI:#13271991   17/25 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:03:22 UTC Syncing #13271978 0xed3a…6655     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#5561704 LI:#13271991   17/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:03:22 UTC Syncing #13271979 0xba1f…0053     0.18 blk/s   28.5 tx/s    2.3 Mgas/s      0+   12 Qed Ancient:#5561787 LI:#13271991   17/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:03:22 UTC Syncing #13271979 0xba1f…0053     0.09 blk/s   14.2 tx/s    1.2 Mgas/s      0+   12 Qed Ancient:#5561786 LI:#13271991   17/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:03:30 UTC Syncing #13271980 0x9fce…ef84     0.24 blk/s    1.0 tx/s    0.1 Mgas/s      0+   11 Qed Ancient:#5561788 LI:#13271992   17/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:03:34 UTC Syncing #13271980 0x9fce…ef84     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#5561788 LI:#13271994   17/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:03:39 UTC Syncing #13271981 0xe3a9…2991     0.20 blk/s   47.2 tx/s    6.0 Mgas/s      0+   13 Qed Ancient:#5561789 LI:#13271994   16/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:03:41 UTC Syncing #13271981 0xe3a9…2991     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#5561789 LI:#13271994   16/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:03:46 UTC Syncing #13271981 0xe3a9…2991     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#5561789 LI:#13271994   16/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:03:53 UTC Syncing #13271982 0xc3ef…5dd1     0.20 blk/s   49.2 tx/s    4.1 Mgas/s      0+   12 Qed Ancient:#5561790 LI:#13271994   16/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:03:56 UTC Syncing #13271982 0xc3ef…5dd1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#5561790 LI:#13271994   16/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:04:01 UTC Syncing #13271982 0xc3ef…5dd1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#5561790 LI:#13271995   14/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:04:06 UTC Syncing #13271982 0xc3ef…5dd1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#5561790 LI:#13271995   14/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:04:11 UTC Syncing #13271982 0xc3ef…5dd1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#5561790 LI:#13271995   13/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:04:16 UTC Syncing #13271982 0xc3ef…5dd1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#5561790 LI:#13271997   15/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
