2021-09-21 23:12:00 UTC Syncing #13272009 0x7a4f…fde0     0.10 blk/s   22.7 tx/s    2.5 Mgas/s      0+   17 Qed Ancient:#5565363 LI:#13272027    1/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:12:01 UTC Syncing #13272010 0xada5…32bc     0.20 blk/s   29.4 tx/s    2.7 Mgas/s      0+   16 Qed Ancient:#5565363 LI:#13272027    0/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:12:13 UTC Syncing #13272010 0xada5…32bc     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#5565363 LI:#13272027    0/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:12:13 UTC Syncing #13272010 0xada5…32bc     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#5565363 LI:#13272027    0/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:12:16 UTC Syncing #13272011 0xde62…80bd     0.20 blk/s   63.2 tx/s    6.0 Mgas/s      0+   15 Qed Ancient:#5565363 LI:#13272027    0/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:12:28 UTC Syncing #13272011 0xde62…80bd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#5565363 LI:#13272027    0/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:12:28 UTC Syncing #13272011 0xde62…80bd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#5565363 LI:#13272027    0/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:12:31 UTC Syncing #13272012 0xe496…bd9c     0.20 blk/s   67.0 tx/s    3.9 Mgas/s      0+   14 Qed Ancient:#5565363 LI:#13272027    0/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:12:43 UTC Syncing #13272012 0xe496…bd9c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#5565363 LI:#13272027    0/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:12:43 UTC Syncing #13272013 0xc4e6…c608     0.10 blk/s   13.2 tx/s    1.4 Mgas/s      0+   13 Qed Ancient:#5565363 LI:#13272027    0/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:12:46 UTC Syncing #13272013 0xc4e6…c608     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#5565363 LI:#13272027    0/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:12:58 UTC Syncing #13272015 0xa724…84c6     0.20 blk/s   20.5 tx/s    1.9 Mgas/s      0+   11 Qed Ancient:#5565363 LI:#13272027    0/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:12:58 UTC Syncing #13272014 0x2d7b…8622     0.20 blk/s   26.4 tx/s    2.6 Mgas/s      0+   12 Qed Ancient:#5565363 LI:#13272027    0/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:13:01 UTC Syncing #13272015 0xa724…84c6     0.20 blk/s   14.6 tx/s    1.1 Mgas/s      0+   11 Qed Ancient:#5565363 LI:#13272027    0/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:13:14 UTC Syncing #13272016 0x4eff…2ab1     0.10 blk/s   14.9 tx/s    1.5 Mgas/s      0+   10 Qed Ancient:#5565363 LI:#13272027    2/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:13:14 UTC Syncing #13272016 0x4eff…2ab1     0.20 blk/s   29.8 tx/s    3.0 Mgas/s      0+   10 Qed Ancient:#5565363 LI:#13272027    2/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:13:24 UTC Syncing #13272016 0x4eff…2ab1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#5565363 LI:#13272038    2/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:13:24 UTC Syncing #13272017 0x3a77…95ea     0.10 blk/s   16.2 tx/s    1.7 Mgas/s      0+   20 Qed Ancient:#5565363 LI:#13272038    2/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
