2021-10-01 22:42:26 UTC Syncing #13336205 0x8582…b308     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11230139 LI:#13336213   16/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:42:30 UTC Syncing #13336207 0x68f6…bf77     0.40 blk/s   34.6 tx/s    2.9 Mgas/s      0+    6 Qed Ancient:#11230141 LI:#13336214   15/25 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:42:34 UTC Syncing #13336207 0x68f6…bf77     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11230141 LI:#13336214   15/25 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:42:39 UTC Syncing #13336208 0x9659…358a     0.20 blk/s   57.0 tx/s    4.6 Mgas/s      0+    6 Qed Ancient:#11230141 LI:#13336214   17/25 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:42:45 UTC Syncing #13336208 0x9659…358a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11230142 LI:#13336214   17/25 peers      4 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:42:53 UTC Syncing #13336208 0x9659…358a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11230142 LI:#13336214   17/25 peers      4 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:42:54 UTC Syncing #13336208 0x9659…358a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11230142 LI:#13336214   16/25 peers      4 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:43:07 UTC Syncing #13336209 0x95bb…0e85     0.20 blk/s   71.4 tx/s    6.0 Mgas/s      0+    4 Qed Ancient:#11230143 LI:#13336214   16/25 peers      4 MiB chain  893 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:43:07 UTC Syncing #13336209 0x95bb…0e85     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11230143 LI:#13336214   16/25 peers      4 MiB chain  893 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:43:41 UTC  Ancient:#11230147 AB:#11233435   13/25 peers      4 MiB chain 776 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:46:28 UTC Syncing #13336215 0x51d7…e422     0.01 blk/s    3.9 tx/s    0.3 Mgas/s      0+    8 Qed Ancient:#11233435 LI:#13336223    1/25 peers   744 bytes chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:46:28 UTC Syncing #13336215 0x51d7…e422     0.01 blk/s    3.9 tx/s    0.3 Mgas/s      0+    8 Qed Ancient:#11233435 LI:#13336223    1/25 peers    0 bytes chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:47:36 UTC Syncing #13336215 0x51d7…e422     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11233435 LI:#13336223    0/25 peers   744 bytes chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:47:39 UTC Syncing #13336215 0x51d7…e422     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11233435 LI:#13336223    0/25 peers     74 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:47:44 UTC Syncing #13336215 0x51d7…e422     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11233435 LI:#13336223    0/25 peers     74 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:47:49 UTC Syncing #13336215 0x51d7…e422     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11233435 LI:#13336223    0/25 peers     74 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:47:54 UTC Syncing #13336215 0x51d7…e422     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11233435 LI:#13336223    0/25 peers     74 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
