2021-10-01 22:53:55 UTC Syncing #13336240 0x3332…0d7f     0.20 blk/s   19.8 tx/s    1.5 Mgas/s      0+   25 Qed Ancient:#11233498 LI:#13336264   15/25 peers      4 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:54:02 UTC Syncing #13336241 0x067b…b8c5     0.10 blk/s   11.6 tx/s    1.0 Mgas/s      0+   24 Qed Ancient:#11233499 LI:#13336264    9/25 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:54:11 UTC Syncing #13336243 0xe127…7be8     0.20 blk/s   33.6 tx/s    2.8 Mgas/s      0+   22 Qed Ancient:#11233502 LI:#13336264    9/25 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:54:11 UTC Syncing #13336242 0x62a2…c1b1     0.20 blk/s   57.8 tx/s    5.0 Mgas/s      0+   23 Qed Ancient:#11233500 LI:#13336264    9/25 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:54:17 UTC Syncing #13336243 0xe127…7be8     0.20 blk/s    9.4 tx/s    0.7 Mgas/s      0+   22 Qed Ancient:#11233502 LI:#13336264    9/25 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:54:19 UTC Syncing #13336243 0xe127…7be8     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#11233502 LI:#13336264    9/25 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:54:34 UTC Syncing #13336245 0x6311…a6ba     0.40 blk/s   52.0 tx/s    4.4 Mgas/s      0+   20 Qed Ancient:#11233504 LI:#13336264    9/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:54:34 UTC Syncing #13336246 0xfc6e…37ac     0.30 blk/s   42.8 tx/s    3.9 Mgas/s      0+   19 Qed Ancient:#11233505 LI:#13336264    9/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:54:34 UTC Syncing #13336246 0xfc6e…37ac     0.20 blk/s   28.5 tx/s    2.6 Mgas/s      0+   19 Qed Ancient:#11233505 LI:#13336264    9/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:54:39 UTC Syncing #13336247 0x6987…be0e     0.20 blk/s   12.2 tx/s    1.1 Mgas/s      0+   18 Qed Ancient:#11233506 LI:#13336264    9/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:54:47 UTC Syncing #13336247 0x6987…be0e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#11233506 LI:#13336264    8/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:54:49 UTC Syncing #13336247 0x6987…be0e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#11233506 LI:#13336264    7/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:55:02 UTC Syncing #13336250 0xb8a7…3602     0.30 blk/s   35.1 tx/s    3.5 Mgas/s      0+   15 Qed Ancient:#11233510 LI:#13336264    7/25 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:55:02 UTC Syncing #13336248 0x8a52…9047     0.20 blk/s   50.8 tx/s    5.4 Mgas/s      0+   17 Qed Ancient:#11233508 LI:#13336264    7/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:55:14 UTC Syncing #13336250 0xb8a7…3602     0.20 blk/s    9.7 tx/s    0.8 Mgas/s      0+   15 Qed Ancient:#11233510 LI:#13336264    7/25 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:55:14 UTC Syncing #13336250 0xb8a7…3602     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#11233510 LI:#13336264    7/25 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:55:14 UTC Syncing #13336250 0xb8a7…3602     0.40 blk/s   19.4 tx/s    1.7 Mgas/s      0+   15 Qed Ancient:#11233510 LI:#13336264    7/25 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:55:25 UTC Syncing #13336251 0xa19d…f274     0.20 blk/s   68.4 tx/s    6.0 Mgas/s      0+   14 Qed Ancient:#11233511 LI:#13336264    4/25 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:55:25 UTC Syncing #13336251 0xa19d…f274     0.10 blk/s   34.2 tx/s    3.0 Mgas/s      0+   14 Qed Ancient:#11233511 LI:#13336264    4/25 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:55:34 UTC Syncing #13336254 0x6912…fdb0     0.30 blk/s   20.4 tx/s    2.0 Mgas/s      0+   11 Qed Ancient:#11233514 LI:#13336264    4/25 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:55:34 UTC Syncing #13336253 0x1f3e…15a7     0.40 blk/s   35.4 tx/s    3.5 Mgas/s      0+   12 Qed Ancient:#11233513 LI:#13336264    4/25 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:55:42 UTC Syncing #13336254 0x6912…fdb0     0.20 blk/s    5.4 tx/s    0.5 Mgas/s      0+   11 Qed Ancient:#11233514 LI:#13336264    4/25 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:55:42 UTC Could not revert to previous block, last: 13336264 (0x2632…2f71)
2021-10-01 22:55:44 UTC Syncing #13336254 0x6912…fdb0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#11233514 LI:#13336254    4/25 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:55:49 UTC Syncing #13336254 0x6912…fdb0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#11233514 LI:#13336254    4/25 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:55:54 UTC Syncing #13336254 0x6912…fdb0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   27 Qed Ancient:#11233514 LI:#13336280    2/25 peers      4 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:55:59 UTC Syncing #13336254 0x6912…fdb0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   27 Qed Ancient:#11233514 LI:#13336280    2/25 peers      4 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
