2021-10-01 22:57:58 UTC Syncing #13336275 0x19ff…ea1d     0.40 blk/s   32.8 tx/s    3.2 Mgas/s      0+   11 Qed Ancient:#11233874 LI:#13336287    1/25 peers      1 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:57:59 UTC Syncing #13336276 0xcbed…f4f9     0.20 blk/s   34.6 tx/s    3.0 Mgas/s      0+   10 Qed Ancient:#11233875 LI:#13336287    0/25 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:58:04 UTC Syncing #13336279 0x6b5a…9365     0.60 blk/s   69.4 tx/s    6.5 Mgas/s      0+    7 Qed Ancient:#11233878 LI:#13336287    0/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:58:09 UTC Syncing #13336280 0x45e8…c5ca     0.20 blk/s   21.8 tx/s    1.9 Mgas/s      0+    6 Qed Ancient:#11233879 LI:#13336287    0/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:58:41 UTC  Ancient:#11233885 AB:#11236835    0/25 peers      2 MiB chain  511 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:58:52 UTC Imported #13336287 0xc5a6…6b39 (342 txs, 29.98 Mgas, 10403 ms, 161.83 KiB)
2021-10-01 22:59:30 UTC  Ancient:#11235475 AB:#11236835    1/25 peers     10 KiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:59:30 UTC  Ancient:#11235475 AB:#11236835    1/25 peers     10 KiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:59:30 UTC  Ancient:#11235475 AB:#11236835    1/25 peers     10 KiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:59:44 UTC Syncing #13336287 0xc5a6…6b39     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    0 Qed Ancient:#11236078 LI:#13336287    1/25 peers      4 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:59:52 UTC Syncing #13336288 0xe4c8…ed13     0.20 blk/s    3.4 tx/s    0.3 Mgas/s      0+   14 Qed Ancient:#11236081 LI:#13336303    1/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:59:54 UTC Syncing #13336288 0xe4c8…ed13     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#11236081 LI:#13336303    1/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:59:59 UTC Syncing #13336289 0x1f79…b66f     0.20 blk/s   36.8 tx/s    4.0 Mgas/s      0+   14 Qed Ancient:#11236081 LI:#13336303    1/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:00:05 UTC Syncing #13336289 0x1f79…b66f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#11236082 LI:#13336303    4/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:00:10 UTC Syncing #13336289 0x1f79…b66f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#11236082 LI:#13336305    3/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:00:14 UTC Syncing #13336289 0x1f79…b66f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#11236082 LI:#13336306    5/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:00:22 UTC Syncing #13336289 0x1f79…b66f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#11236082 LI:#13336306    7/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:00:30 UTC Syncing #13336290 0x3e92…0c36     0.10 blk/s   44.8 tx/s    3.0 Mgas/s      0+   15 Qed Ancient:#11236083 LI:#13336306    7/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:00:30 UTC Syncing #13336290 0x3e92…0c36     0.20 blk/s   89.6 tx/s    6.0 Mgas/s      0+   15 Qed Ancient:#11236083 LI:#13336306    7/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:00:38 UTC Syncing #13336291 0x6a37…2c2a     0.20 blk/s   20.4 tx/s    2.2 Mgas/s      0+   16 Qed Ancient:#11236084 LI:#13336308    7/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:00:39 UTC Syncing #13336291 0x6a37…2c2a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#11236084 LI:#13336308    7/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:00:46 UTC Syncing #13336291 0x6a37…2c2a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#11236084 LI:#13336309    6/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:00:50 UTC Syncing #13336291 0x6a37…2c2a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#11236084 LI:#13336310    6/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:00:54 UTC Syncing #13336291 0x6a37…2c2a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#11236084 LI:#13336310    6/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
