2021-09-22 00:07:01 UTC Syncing #13272276 0xe00a…7ac3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#5587924 LI:#13272281    8/25 peers      2 MiB chain  506 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:07:01 UTC Syncing #13272276 0xe00a…7ac3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#5587924 LI:#13272281    8/25 peers      2 MiB chain  506 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:07:08 UTC Syncing #13272277 0x1a21…72b0     0.32 blk/s   99.1 tx/s    9.6 Mgas/s      0+    4 Qed Ancient:#5587925 LI:#13272282    8/25 peers      2 MiB chain  751 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:07:09 UTC Syncing #13272277 0x1a21…72b0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#5587925 LI:#13272282    8/25 peers      2 MiB chain  751 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:08:09 UTC Imported #13272283 0xff54…6445 (232 txs, 15.51 Mgas, 7501 ms, 60.09 KiB)
2021-09-22 00:08:37 UTC  Ancient:#5589381 AB:#5591283    7/25 peers    0 bytes chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:08:37 UTC  Ancient:#5589519 AB:#5591283    7/25 peers      2 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:08:37 UTC Imported #13272284 0x27bd…2f6e (396 txs, 29.64 Mgas, 14089 ms, 108.15 KiB)
2021-09-22 00:09:12 UTC  Ancient:#5589551 AB:#5591770    5/25 peers      3 MiB chain   98 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:09:12 UTC  Ancient:#5589551 AB:#5591770    5/25 peers      3 MiB chain   98 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:09:38 UTC Imported #13272288 0x4316…541f (156 txs, 8.68 Mgas, 11271 ms, 56.50 KiB)
2021-09-22 00:09:42 UTC  Ancient:#5589616 AB:#5591770    2/25 peers      5 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:10:09 UTC Syncing #13272288 0x4316…541f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    0 Qed Ancient:#5591846 LI:#13272288    6/25 peers      2 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:10:14 UTC Syncing #13272288 0x4316…541f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    0 Qed Ancient:#5591846 LI:#13272288    6/25 peers      2 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:10:19 UTC Syncing #13272288 0x4316…541f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    0 Qed Ancient:#5591846 LI:#13272288    6/25 peers      2 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
