2021-07-28 14:23:15 UTC Syncing #12914921 0x12a2…1c32     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#7047307 LI:#12914921   16/25 peers      7 MiB chain  716 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 14:23:25 UTC Syncing #12914922 0xa0b7…9e9f     0.10 blk/s   21.7 tx/s    1.5 Mgas/s      0+    4 Qed Ancient:#7047308 LI:#12914927   14/25 peers      8 MiB chain  668 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 14:23:30 UTC Syncing #12914922 0xa0b7…9e9f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#7047308 LI:#12914927   15/25 peers      1 MiB chain  668 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 14:23:35 UTC Syncing #12914922 0xa0b7…9e9f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#7047308 LI:#12914927   14/25 peers      1 MiB chain  668 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 14:23:42 UTC Could not revert to previous block, last: 12914927 (0xbb93…dd8e)
2021-07-28 14:24:06 UTC  Ancient:#7047314 AB:#7050635   14/25 peers      2 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 14:24:10 UTC Imported #12914928 0x04db…ba13 (243 txs, 14.98 Mgas, 9278 ms, 67.67 KiB)
2021-07-28 14:24:34 UTC Imported #12914929 0xb5e6…200f (245 txs, 14.97 Mgas, 7700 ms, 61.58 KiB)
2021-07-28 14:24:40 UTC  Ancient:#7048980 AB:#7051179   13/25 peers      5 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 14:24:49 UTC Imported #12914930 0x0771…7e84 (170 txs, 14.97 Mgas, 7280 ms, 38.38 KiB)
2021-07-28 14:25:10 UTC  Ancient:#7049627 AB:#7051976   16/25 peers      5 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 14:26:03 UTC Syncing #12914931 0x4efa…9882     0.02 blk/s    3.9 tx/s    0.3 Mgas/s      0+    5 Qed Ancient:#7050431 LI:#12914936    7/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 14:26:03 UTC Syncing #12914931 0x4efa…9882     0.02 blk/s    3.9 tx/s    0.3 Mgas/s      0+    5 Qed Ancient:#7050429 LI:#12914936    7/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 14:26:03 UTC Syncing #12914931 0x4efa…9882     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#7050432 LI:#12914936    7/25 peers      5 MiB chain  920 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 14:26:05 UTC Syncing #12914931 0x4efa…9882     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#7050432 LI:#12914937    7/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 14:26:10 UTC Syncing #12914931 0x4efa…9882     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#7050432 LI:#12914937    7/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 14:26:16 UTC Syncing #12914931 0x4efa…9882     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#7050432 LI:#12914938    8/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 14:26:20 UTC Syncing #12914932 0xf968…1871     0.20 blk/s   51.8 tx/s    3.0 Mgas/s      0+    5 Qed Ancient:#7050433 LI:#12914938    9/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 14:26:25 UTC Syncing #12914932 0xf968…1871     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#7050433 LI:#12914938    7/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
