2021-09-22 00:12:29 UTC Syncing #13272291 0xed11…4e04     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#5591846 LI:#13272297    5/25 peers      3 MiB chain  958 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:12:34 UTC Syncing #13272291 0xed11…4e04     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#5591846 LI:#13272296    5/25 peers      3 MiB chain  958 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:12:39 UTC Syncing #13272291 0xed11…4e04     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#5591846 LI:#13272296    4/25 peers      3 MiB chain  958 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:12:45 UTC Syncing #13272292 0x8a26…28e1     0.20 blk/s   49.6 tx/s    4.7 Mgas/s      0+    4 Qed Ancient:#5591846 LI:#13272296    3/25 peers      3 MiB chain  841 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:13:15 UTC  Ancient:#5591846 AB:#5591846    2/25 peers      3 MiB chain  295 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:13:24 UTC Syncing #13272295 0x3c8b…db87     0.10 blk/s   15.6 tx/s    1.0 Mgas/s      0+    1 Qed Ancient:#5591846 LI:#13272293    2/25 peers      3 MiB chain  118 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:13:36 UTC Imported #13272297 0x8bd8…5a3b (87 txs, 6.27 Mgas, 5341 ms, 34.92 KiB)
2021-09-22 00:13:54 UTC  Ancient:#5591846 AB:#5591846    1/25 peers      3 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:14:09 UTC Syncing #13272297 0x8bd8…5a3b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    0 Qed Ancient:#5591846 LI:#13272289    3/25 peers      3 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:14:14 UTC Syncing #13272297 0x8bd8…5a3b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    0 Qed Ancient:#5591846 LI:#13272289    3/25 peers      3 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:14:19 UTC Syncing #13272297 0x8bd8…5a3b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    0 Qed Ancient:#5591846 LI:#13272289    3/25 peers      3 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:14:24 UTC Syncing #13272297 0x8bd8…5a3b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    0 Qed Ancient:#5591846 LI:#13272289    3/25 peers      3 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:14:31 UTC Syncing #13272297 0x8bd8…5a3b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#5591846 LI:#13272308    4/25 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:14:35 UTC Syncing #13272297 0x8bd8…5a3b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#5591846 LI:#13272308    5/25 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:14:39 UTC Syncing #13272297 0x8bd8…5a3b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#5591846 LI:#13272308    6/25 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:14:44 UTC Syncing #13272297 0x8bd8…5a3b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#5591846 LI:#13272308    7/25 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:14:50 UTC Syncing #13272297 0x8bd8…5a3b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#5591846 LI:#13272308    6/25 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
