2021-10-01 23:54:53 UTC  Ancient:#11252966 AB:#11256257   23/25 peers      2 MiB chain  482 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:55:23 UTC  Ancient:#11252967 AB:#11256257   24/25 peers      3 MiB chain  206 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:55:53 UTC  Ancient:#11252967 AB:#11256257   28/50 peers      3 MiB chain  695 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:56:23 UTC  Ancient:#11252978 AB:#11256257   21/25 peers      3 MiB chain  564 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:56:28 UTC Syncing #13336554 0x251c…1213     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11252978 LI:#13336559   21/25 peers      3 MiB chain  846 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:56:33 UTC Syncing #13336554 0x251c…1213     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11252978 LI:#13336559   21/25 peers      3 MiB chain  846 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:56:38 UTC Syncing #13336554 0x251c…1213     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11252978 LI:#13336560   23/25 peers      3 MiB chain 1023 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:56:43 UTC Syncing #13336554 0x251c…1213     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11252978 LI:#13336560   24/25 peers      3 MiB chain 1023 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:56:48 UTC Syncing #13336555 0x71d6…858f     0.20 blk/s   84.2 tx/s    6.0 Mgas/s      0+    5 Qed Ancient:#11252979 LI:#13336561   24/25 peers      3 MiB chain  944 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:56:53 UTC Syncing #13336555 0x71d6…858f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11252979 LI:#13336561   25/25 peers      3 MiB chain  944 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:57:06 UTC Syncing #13336555 0x71d6…858f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11252979 LI:#13336561   19/25 peers      3 MiB chain  944 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:57:06 UTC Syncing #13336555 0x71d6…858f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11252979 LI:#13336561   18/25 peers      3 MiB chain  944 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:57:08 UTC Syncing #13336555 0x71d6…858f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11252979 LI:#13336561   14/25 peers      3 MiB chain  944 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:57:13 UTC Syncing #13336555 0x71d6…858f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11252979 LI:#13336561   12/25 peers      3 MiB chain  944 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:57:43 UTC  Ancient:#11252984 AB:#11256257   10/25 peers      6 MiB chain  284 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:57:58 UTC Imported #13336561 0xc2d4…389d (148 txs, 13.94 Mgas, 11280 ms, 93.39 KiB)
2021-10-01 23:58:24 UTC  Ancient:#11254039 AB:#11256257    8/25 peers     36 KiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:58:24 UTC  Ancient:#11254039 AB:#11256257    8/25 peers     36 KiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:58:24 UTC  Ancient:#11254039 AB:#11256257    8/25 peers     36 KiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:58:58 UTC  Ancient:#11254954 AB:#11256257    4/25 peers      5 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:59:28 UTC  Ancient:#11255860 AB:#11256257    3/25 peers      4 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:59:43 UTC Syncing #13336561 0xc2d4…389d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    0 Qed Ancient:#11256257 LI:#13336553    3/25 peers      4 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:59:48 UTC Syncing #13336561 0xc2d4…389d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    0 Qed Ancient:#11256257 LI:#13336553    3/25 peers      4 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:59:53 UTC Syncing #13336561 0xc2d4…389d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    0 Qed Ancient:#11256257 LI:#13336553    3/25 peers      4 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:00:23 UTC  Ancient:#11256257 AB:#11256257    2/25 peers      4 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:00:28 UTC Syncing #13336561 0xc2d4…389d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    0 Qed Ancient:#11256257 LI:#13336553    3/25 peers      4 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:00:33 UTC Syncing #13336561 0xc2d4…389d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11256257 LI:#13336570    3/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:00:38 UTC Syncing #13336561 0xc2d4…389d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11256257 LI:#13336570    3/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:00:43 UTC Syncing #13336561 0xc2d4…389d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11256257 LI:#13336570    3/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:00:48 UTC Syncing #13336561 0xc2d4…389d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11256257 LI:#13336570    3/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:00:54 UTC Syncing #13336561 0xc2d4…389d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11256257 LI:#13336570    3/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:00:58 UTC Syncing #13336561 0xc2d4…389d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11256257 LI:#13336570    3/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:01:03 UTC Syncing #13336562 0x3453…b7a2     0.20 blk/s   82.8 tx/s    5.3 Mgas/s      0+    7 Qed Ancient:#11256257 LI:#13336570    3/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:01:08 UTC Syncing #13336562 0x3453…b7a2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11256257 LI:#13336570    3/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:01:13 UTC Syncing #13336562 0x3453…b7a2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11256257 LI:#13336570    4/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:01:18 UTC Syncing #13336562 0x3453…b7a2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11256257 LI:#13336570    3/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:01:23 UTC Syncing #13336562 0x3453…b7a2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11256257 LI:#13336569    3/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:01:28 UTC Syncing #13336562 0x3453…b7a2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11256257 LI:#13336569    3/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:01:33 UTC Syncing #13336562 0x3453…b7a2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11256257 LI:#13336569    4/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:01:38 UTC Syncing #13336563 0xde02…dce2     0.20 blk/s   76.4 tx/s    6.0 Mgas/s      0+    6 Qed Ancient:#11256257 LI:#13336568    4/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:01:43 UTC Syncing #13336563 0xde02…dce2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11256257 LI:#13336568    3/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:01:48 UTC Syncing #13336564 0x000b…ff4b     0.20 blk/s   22.8 tx/s    2.3 Mgas/s      0+    5 Qed Ancient:#11256257 LI:#13336568    3/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:01:53 UTC Syncing #13336565 0xe5d5…2c70     0.20 blk/s   11.0 tx/s    0.7 Mgas/s      0+    4 Qed Ancient:#11256257 LI:#13336568    2/25 peers      5 MiB chain  916 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
