2021-10-02 00:03:09 UTC Syncing #13336570 0x8ad0…0014     0.20 blk/s   68.4 tx/s    6.0 Mgas/s      0+   16 Qed Ancient:#11256262 LI:#13336587   17/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:03:13 UTC Syncing #13336570 0x8ad0…0014     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#11256262 LI:#13336587   18/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:03:19 UTC Syncing #13336570 0x8ad0…0014     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#11256262 LI:#13336588   20/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:03:23 UTC Syncing #13336570 0x8ad0…0014     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#11256262 LI:#13336588   20/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:03:44 UTC Syncing #13336571 0xa476…7cef     0.05 blk/s   15.3 tx/s    1.5 Mgas/s      0+   20 Qed Ancient:#11256263 LI:#13336591   24/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:06:14 UTC Syncing #13336571 0xa476…7cef     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   30 Qed Ancient:#11258622 LI:#13336601   10/25 peers    0 bytes chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:06:37 UTC Syncing #13336572 0x04a1…f02d     0.07 blk/s    8.0 tx/s    0.6 Mgas/s      0+   29 Qed Ancient:#11258623 LI:#13336601   10/25 peers     92 KiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:06:37 UTC Syncing #13336572 0x04a1…f02d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   29 Qed Ancient:#11258881 LI:#13336601   10/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:06:52 UTC Syncing #13336572 0x04a1…f02d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   29 Qed Ancient:#11258882 LI:#13336602    6/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:06:52 UTC Syncing #13336572 0x04a1…f02d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   29 Qed Ancient:#11258882 LI:#13336602    6/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:07:00 UTC Syncing #13336573 0xf5b8…ea44     0.17 blk/s   33.3 tx/s    2.9 Mgas/s      0+   29 Qed Ancient:#11258883 LI:#13336603    6/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
