2021-10-02 00:11:10 UTC Syncing #13336588 0x2a44…0455     0.20 blk/s   47.2 tx/s    6.0 Mgas/s      0+   30 Qed Ancient:#11258902 LI:#13336618   15/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:11:16 UTC Syncing #13336590 0x9cfc…3248     0.40 blk/s   22.0 tx/s    3.4 Mgas/s      0+   28 Qed Ancient:#11258904 LI:#13336618   15/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:11:22 UTC Syncing #13336591 0x6830…8571     0.20 blk/s   15.4 tx/s    1.6 Mgas/s      0+   27 Qed Ancient:#11258905 LI:#13336618   15/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:11:23 UTC Syncing #13336591 0x6830…8571     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   27 Qed Ancient:#11258905 LI:#13336618   14/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:11:29 UTC Syncing #13336591 0x6830…8571     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#11258905 LI:#13336619   13/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:11:39 UTC Syncing #13336591 0x6830…8571     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#11258905 LI:#13336619   14/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:11:39 UTC Syncing #13336591 0x6830…8571     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#11258905 LI:#13336619   14/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:11:52 UTC Syncing #13336592 0x9c5b…f847     0.20 blk/s   80.0 tx/s    6.0 Mgas/s      0+   27 Qed Ancient:#11258906 LI:#13336619   13/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:11:52 UTC Syncing #13336592 0x9c5b…f847     0.10 blk/s   40.0 tx/s    3.0 Mgas/s      0+   27 Qed Ancient:#11258906 LI:#13336619   13/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:11:53 UTC Syncing #13336592 0x9c5b…f847     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   27 Qed Ancient:#11258906 LI:#13336619   13/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:11:59 UTC Syncing #13336593 0x1718…cf8f     0.20 blk/s   32.8 tx/s    5.7 Mgas/s      0+   27 Qed Ancient:#11258907 LI:#13336620   13/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:12:12 UTC Syncing #13336594 0xe44f…0822     0.20 blk/s   26.6 tx/s    2.3 Mgas/s      0+   26 Qed Ancient:#11258908 LI:#13336621   12/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:12:12 UTC Syncing #13336595 0xe8c1…1010     0.20 blk/s   26.1 tx/s    2.2 Mgas/s      0+   25 Qed Ancient:#11258909 LI:#13336621   12/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:12:19 UTC Syncing #13336595 0xe8c1…1010     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#11258909 LI:#13336621   12/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:12:19 UTC Syncing #13336595 0xe8c1…1010     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#11258909 LI:#13336621   12/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:12:28 UTC Syncing #13336597 0x6802…eef5     0.40 blk/s   53.0 tx/s    4.7 Mgas/s      0+   25 Qed Ancient:#11258911 LI:#13336622   11/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:12:38 UTC Syncing #13336598 0x3083…d44d     0.10 blk/s   11.4 tx/s    1.0 Mgas/s      0+   24 Qed Ancient:#11258912 LI:#13336622   11/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:12:38 UTC Syncing #13336597 0x6802…eef5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#11258911 LI:#13336622   11/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
