2021-05-09 11:26:28 UTC Syncing #12399723 0xb746…c909     0.00 blk/s    0.0 tx/s    0.0 Mgas/s     85+   90 Qed Ancient:#12138310 LI:#12399900   15/25 peers    125 KiB chain   35 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:26:33 UTC Syncing #12399724 0x9bdc…9eb7     0.20 blk/s   31.2 tx/s    3.0 Mgas/s     44+  128 Qed Ancient:#12138310 LI:#12399900   15/25 peers    143 KiB chain   37 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:26:38 UTC Syncing #12399724 0x9bdc…9eb7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  175 Qed Ancient:#12138310 LI:#12399900   15/25 peers    143 KiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:26:43 UTC Syncing #12399724 0x9bdc…9eb7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  176 Qed Ancient:#12138310 LI:#12399901   15/25 peers    143 KiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:26:48 UTC Syncing #12399725 0xa1fc…fa80     0.20 blk/s   37.0 tx/s    3.0 Mgas/s      0+  175 Qed Ancient:#12138310 LI:#12399901   16/25 peers    161 KiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:26:53 UTC Syncing #12399726 0xbbf1…a8a7     0.20 blk/s   97.8 tx/s    3.0 Mgas/s      0+  175 Qed Ancient:#12138310 LI:#12399902   17/25 peers    196 KiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:26:58 UTC Syncing #12399726 0xbbf1…a8a7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  176 Qed Ancient:#12138310 LI:#12399903   18/25 peers    196 KiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:27:03 UTC Syncing #12399727 0x17d8…4f91     0.20 blk/s   60.2 tx/s    3.0 Mgas/s      0+  175 Qed Ancient:#12138310 LI:#12399903   21/25 peers    266 KiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:27:08 UTC Syncing #12399728 0xcece…d9ae     0.20 blk/s   42.0 tx/s    3.0 Mgas/s      0+  174 Qed Ancient:#12138310 LI:#12399903   22/25 peers    266 KiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:27:13 UTC Syncing #12399728 0xcece…d9ae     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  176 Qed Ancient:#12138310 LI:#12399905   20/25 peers    266 KiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:27:18 UTC Syncing #12399729 0x9d4b…9ba4     0.20 blk/s   51.6 tx/s    3.0 Mgas/s      0+  175 Qed Ancient:#12138310 LI:#12399905   23/25 peers    266 KiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:27:23 UTC Syncing #12399730 0xd2d3…d103     0.20 blk/s   61.4 tx/s    3.0 Mgas/s      0+  175 Qed Ancient:#12138310 LI:#12399906   23/25 peers    406 KiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:27:28 UTC Syncing #12399730 0xd2d3…d103     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  175 Qed Ancient:#12138310 LI:#12399906   22/25 peers    406 KiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:27:33 UTC Syncing #12399731 0x02f8…7780     0.20 blk/s   57.8 tx/s    3.0 Mgas/s      0+  174 Qed Ancient:#12138397 LI:#12399906   22/25 peers      2 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
