2021-05-09 11:26:06 UTC Starting OpenEthereum/v3.2.4-stable-09967329a-20210415/x86_64-linux-gnu/rustc1.51.0
2021-05-09 11:26:06 UTC Keys path /data/blockchain/eth-data/keys/ethereum
2021-05-09 11:26:06 UTC DB path /data/blockchain/eth-data/chains/ethereum/db/906a34e69aec8c0d
2021-05-09 11:26:06 UTC State DB configuration: fast
2021-05-09 11:26:06 UTC Operating mode: active
2021-05-09 11:26:06 UTC Configured for Ethereum using Ethash engine
2021-05-09 11:26:07 UTC Downloading old blocks from 0xbb4af099142878c132c7584f151686e2014cff67364a2bdbf4d21ceb1efdb792 (#12138310) till Some(0x08cdcd2056f0430fc8b21369de6cda1b19822a0ec12e5523382e3c565e004d03) (#Some(12345001))
2021-05-09 11:26:08 UTC Listening for new connections on 127.0.0.1:8546.
2021-05-09 11:26:12 UTC Failed to auto-update latest ETH price: Fetch(Timeout)
2021-05-09 11:26:13 UTC Public node URL: enode://d440dace1e4954e36e7f85d5d1d26fe17040f4a0b325f3c59c55bc5fae4b9e0ca4f81baef14bd09bdb9dbdcaf516f204a0194e43c6e3aae03b7ab23339ce6d4b@10.0.0.5:30303
2021-05-09 11:26:18 UTC Syncing #12399723 0xb746…c909     0.00 blk/s    0.0 tx/s    0.0 Mgas/s    155+   19 Qed Ancient:#12138310 LI:#12399899   15/25 peers    125 KiB chain   30 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:26:23 UTC Syncing #12399723 0xb746…c909     0.00 blk/s    0.0 tx/s    0.0 Mgas/s    122+   52 Qed Ancient:#12138310 LI:#12399899   15/25 peers    125 KiB chain   33 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:26:28 UTC Syncing #12399723 0xb746…c909     0.00 blk/s    0.0 tx/s    0.0 Mgas/s     85+   90 Qed Ancient:#12138310 LI:#12399900   15/25 peers    125 KiB chain   35 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:26:33 UTC Syncing #12399724 0x9bdc…9eb7     0.20 blk/s   31.2 tx/s    3.0 Mgas/s     44+  128 Qed Ancient:#12138310 LI:#12399900   15/25 peers    143 KiB chain   37 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:26:38 UTC Syncing #12399724 0x9bdc…9eb7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  175 Qed Ancient:#12138310 LI:#12399900   15/25 peers    143 KiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:26:43 UTC Syncing #12399724 0x9bdc…9eb7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  176 Qed Ancient:#12138310 LI:#12399901   15/25 peers    143 KiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:26:48 UTC Syncing #12399725 0xa1fc…fa80     0.20 blk/s   37.0 tx/s    3.0 Mgas/s      0+  175 Qed Ancient:#12138310 LI:#12399901   16/25 peers    161 KiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:26:53 UTC Syncing #12399726 0xbbf1…a8a7     0.20 blk/s   97.8 tx/s    3.0 Mgas/s      0+  175 Qed Ancient:#12138310 LI:#12399902   17/25 peers    196 KiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:26:58 UTC Syncing #12399726 0xbbf1…a8a7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  176 Qed Ancient:#12138310 LI:#12399903   18/25 peers    196 KiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:27:03 UTC Syncing #12399727 0x17d8…4f91     0.20 blk/s   60.2 tx/s    3.0 Mgas/s      0+  175 Qed Ancient:#12138310 LI:#12399903   21/25 peers    266 KiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:27:08 UTC Syncing #12399728 0xcece…d9ae     0.20 blk/s   42.0 tx/s    3.0 Mgas/s      0+  174 Qed Ancient:#12138310 LI:#12399903   22/25 peers    266 KiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:27:13 UTC Syncing #12399728 0xcece…d9ae     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  176 Qed Ancient:#12138310 LI:#12399905   20/25 peers    266 KiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
