2021-05-09 11:26:48 UTC Syncing #12399725 0xa1fc…fa80     0.20 blk/s   37.0 tx/s    3.0 Mgas/s      0+  175 Qed Ancient:#12138310 LI:#12399901   16/25 peers    161 KiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:26:53 UTC Syncing #12399726 0xbbf1…a8a7     0.20 blk/s   97.8 tx/s    3.0 Mgas/s      0+  175 Qed Ancient:#12138310 LI:#12399902   17/25 peers    196 KiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:26:58 UTC Syncing #12399726 0xbbf1…a8a7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  176 Qed Ancient:#12138310 LI:#12399903   18/25 peers    196 KiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:27:03 UTC Syncing #12399727 0x17d8…4f91     0.20 blk/s   60.2 tx/s    3.0 Mgas/s      0+  175 Qed Ancient:#12138310 LI:#12399903   21/25 peers    266 KiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:27:08 UTC Syncing #12399728 0xcece…d9ae     0.20 blk/s   42.0 tx/s    3.0 Mgas/s      0+  174 Qed Ancient:#12138310 LI:#12399903   22/25 peers    266 KiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:27:13 UTC Syncing #12399728 0xcece…d9ae     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  176 Qed Ancient:#12138310 LI:#12399905   20/25 peers    266 KiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:27:18 UTC Syncing #12399729 0x9d4b…9ba4     0.20 blk/s   51.6 tx/s    3.0 Mgas/s      0+  175 Qed Ancient:#12138310 LI:#12399905   23/25 peers    266 KiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:27:23 UTC Syncing #12399730 0xd2d3…d103     0.20 blk/s   61.4 tx/s    3.0 Mgas/s      0+  175 Qed Ancient:#12138310 LI:#12399906   23/25 peers    406 KiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:27:28 UTC Syncing #12399730 0xd2d3…d103     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  175 Qed Ancient:#12138310 LI:#12399906   22/25 peers    406 KiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:27:33 UTC Syncing #12399731 0x02f8…7780     0.20 blk/s   57.8 tx/s    3.0 Mgas/s      0+  174 Qed Ancient:#12138397 LI:#12399906   22/25 peers      2 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:27:48 UTC Syncing #12399732 0x71fc…624c     0.07 blk/s   18.5 tx/s    1.0 Mgas/s      0+  176 Qed Ancient:#12138820 LI:#12399908   22/25 peers      2 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:27:55 UTC Syncing #12399733 0x835f…94c0     0.13 blk/s   45.1 tx/s    1.9 Mgas/s      0+  176 Qed Ancient:#12138863 LI:#12399909   22/25 peers      2 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:28:06 UTC Syncing #12399734 0xaca6…f123     0.09 blk/s   27.7 tx/s    1.4 Mgas/s      0+  175 Qed Ancient:#12139328 LI:#12399909   21/25 peers     18 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:28:08 UTC Syncing #12399734 0xaca6…f123     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  174 Qed Ancient:#12139328 LI:#12399909   21/25 peers     75 KiB chain   39 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:28:18 UTC Syncing #12399735 0xa7c6…3bc7     0.10 blk/s   32.1 tx/s    1.5 Mgas/s      0+  175 Qed Ancient:#12139493 LI:#12399910   21/25 peers      4 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:28:18 UTC Syncing #12399735 0xa7c6…3bc7     0.10 blk/s   32.1 tx/s    1.5 Mgas/s      0+  174 Qed Ancient:#12139493 LI:#12399910   21/25 peers      4 MiB chain   39 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:28:23 UTC Syncing #12399735 0xa7c6…3bc7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  174 Qed Ancient:#12139493 LI:#12399910   21/25 peers      4 MiB chain   39 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:30:47 UTC Syncing #12399737 0xe234…9a08     0.01 blk/s    3.1 tx/s    0.2 Mgas/s      0+  182 Qed Ancient:#12139961 LI:#12399919   27/50 peers    0 bytes chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:32:40 UTC Syncing #12399737 0xe234…9a08     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  186 Qed Ancient:#12143609 LI:#12399924   29/50 peers     20 KiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:32:40 UTC Syncing #12399737 0xe234…9a08     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  186 Qed Ancient:#12143609 LI:#12399924   29/50 peers     71 MiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:32:40 UTC Syncing #12399737 0xe234…9a08     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  186 Qed Ancient:#12143609 LI:#12399924   29/50 peers     20 KiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:32:43 UTC Syncing #12399737 0xe234…9a08     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  186 Qed Ancient:#12143609 LI:#12399924   29/50 peers     74 KiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
