2021-07-28 12:04:36 UTC Syncing #12914321 0x61e2…ef93     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#6967633 LI:#12914329   27/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:04:41 UTC Syncing #12914322 0x34f7…2996     0.20 blk/s   30.6 tx/s    3.0 Mgas/s      0+    7 Qed Ancient:#6967634 LI:#12914330   27/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:04:46 UTC Syncing #12914322 0x34f7…2996     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#6967634 LI:#12914330   27/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:04:51 UTC Syncing #12914323 0x8691…ec7c     0.20 blk/s   34.8 tx/s    3.0 Mgas/s      0+    8 Qed Ancient:#6967635 LI:#12914332   27/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:04:56 UTC Syncing #12914324 0x7b52…a72a     0.20 blk/s   41.6 tx/s    3.0 Mgas/s      0+    7 Qed Ancient:#6967636 LI:#12914332   27/50 peers      9 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:05:01 UTC Syncing #12914324 0x7b52…a72a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#6967636 LI:#12914332   27/50 peers      1 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:05:06 UTC Syncing #12914325 0x566c…50e9     0.20 blk/s   40.4 tx/s    3.0 Mgas/s      0+    6 Qed Ancient:#6967637 LI:#12914332   27/50 peers      1 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:05:11 UTC Syncing #12914326 0xe342…6b17     0.20 blk/s   37.6 tx/s    3.0 Mgas/s      0+    5 Qed Ancient:#6967638 LI:#12914332   27/50 peers      1 MiB chain  931 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:05:16 UTC Syncing #12914326 0xe342…6b17     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#6967638 LI:#12914332   27/50 peers      1 MiB chain  931 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:05:21 UTC Syncing #12914327 0x96a5…6f7b     0.20 blk/s   43.8 tx/s    3.0 Mgas/s      0+    5 Qed Ancient:#6967639 LI:#12914333   27/50 peers      1 MiB chain  968 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:05:26 UTC Syncing #12914327 0x96a5…6f7b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#6967639 LI:#12914334   27/50 peers      1 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:05:31 UTC Syncing #12914327 0x96a5…6f7b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#6967639 LI:#12914334   27/50 peers      1 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:05:36 UTC Syncing #12914328 0x97e3…b69d     0.20 blk/s   32.6 tx/s    3.0 Mgas/s      0+    5 Qed Ancient:#6967640 LI:#12914334   27/50 peers      1 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:05:41 UTC Syncing #12914328 0x97e3…b69d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#6967640 LI:#12914334   27/50 peers      1 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:05:46 UTC Syncing #12914328 0x97e3…b69d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#6967640 LI:#12914334   27/50 peers      1 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:05:51 UTC Syncing #12914329 0xa78d…7239     0.20 blk/s   37.6 tx/s    3.0 Mgas/s      0+    4 Qed Ancient:#6967641 LI:#12914334   27/50 peers      1 MiB chain  842 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:05:56 UTC Syncing #12914330 0xb9dc…e01f     0.20 blk/s   50.6 tx/s    3.0 Mgas/s      0+    4 Qed Ancient:#6967643 LI:#12914335   27/50 peers      1 MiB chain  967 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 12:06:01 UTC Syncing #12914330 0xb9dc…e01f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#6967643 LI:#12914335   26/50 peers      1 MiB chain  967 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
