2021-09-21 19:38:24 UTC Syncing #13271026 0x314a…8168     0.20 blk/s  120.6 tx/s    6.0 Mgas/s      0+   36 Qed Ancient:#5411216 LI:#13271061   28/50 peers      2 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 19:38:29 UTC Syncing #13271027 0x2979…0c02     0.20 blk/s   41.2 tx/s    2.8 Mgas/s      0+   35 Qed Ancient:#5411217 LI:#13271061   28/50 peers      2 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 19:38:34 UTC Syncing #13271028 0x3bcc…75d2     0.20 blk/s   20.2 tx/s    1.1 Mgas/s      0+   34 Qed Ancient:#5411218 LI:#13271061   28/50 peers      2 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 19:38:39 UTC Syncing #13271029 0x5ae9…8b79     0.20 blk/s   69.2 tx/s    3.2 Mgas/s      0+   33 Qed Ancient:#5411219 LI:#13271061   28/50 peers      2 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 19:38:44 UTC Syncing #13271030 0xe108…3e9f     0.20 blk/s   58.6 tx/s    2.5 Mgas/s      0+   32 Qed Ancient:#5411220 LI:#13271061   29/50 peers      3 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 19:38:49 UTC Syncing #13271030 0xe108…3e9f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   32 Qed Ancient:#5411220 LI:#13271061   30/50 peers      3 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 19:38:54 UTC Syncing #13271032 0x6765…d33a     0.40 blk/s   74.8 tx/s    4.5 Mgas/s      0+   30 Qed Ancient:#5411222 LI:#13271061   30/50 peers      3 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 19:38:59 UTC Syncing #13271033 0x7bb8…2665     0.20 blk/s   31.6 tx/s    2.7 Mgas/s      0+   29 Qed Ancient:#5411223 LI:#13271061   30/50 peers      3 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 19:39:04 UTC Syncing #13271033 0x7bb8…2665     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   30 Qed Ancient:#5411223 LI:#13271062   30/50 peers      3 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 19:39:09 UTC Syncing #13271034 0x16f0…1605     0.20 blk/s  115.4 tx/s    5.9 Mgas/s      0+   29 Qed Ancient:#5411225 LI:#13271062   32/50 peers      3 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 19:39:14 UTC Syncing #13271035 0xcab8…7d45     0.20 blk/s   31.2 tx/s    1.6 Mgas/s      0+   28 Qed Ancient:#5411226 LI:#13271062   31/50 peers      3 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 19:39:19 UTC Syncing #13271036 0x84e2…b011     0.20 blk/s   64.4 tx/s    3.9 Mgas/s      0+   27 Qed Ancient:#5411227 LI:#13271062   31/50 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 19:39:24 UTC Syncing #13271036 0x84e2…b011     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   27 Qed Ancient:#5411227 LI:#13271062   31/50 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 19:39:29 UTC Syncing #13271036 0x84e2…b011     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#5411227 LI:#13271063   31/50 peers      3 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 19:39:34 UTC Syncing #13271038 0xa54d…249b     0.40 blk/s  108.0 tx/s    6.1 Mgas/s      0+   26 Qed Ancient:#5411230 LI:#13271063   31/50 peers      3 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 19:39:39 UTC Syncing #13271039 0x9a97…480d     0.20 blk/s   46.0 tx/s    2.5 Mgas/s      0+   26 Qed Ancient:#5411231 LI:#13271064   29/50 peers      3 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 19:39:44 UTC Syncing #13271039 0x9a97…480d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#5411231 LI:#13271064   29/50 peers      3 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 19:39:49 UTC Syncing #13271041 0xe195…2ff1     0.40 blk/s   97.4 tx/s    4.9 Mgas/s      0+   24 Qed Ancient:#5411233 LI:#13271064   29/50 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 19:39:54 UTC Syncing #13271041 0xe195…2ff1     0.20 blk/s   87.0 tx/s    4.3 Mgas/s      0+   23 Qed Ancient:#5411234 LI:#13271064   29/50 peers      4 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 19:39:59 UTC Syncing #13271042 0x81bd…4bc3     0.20 blk/s   20.8 tx/s    1.5 Mgas/s      0+   25 Qed Ancient:#5411235 LI:#13271067   28/50 peers      4 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
