2021-10-01 18:49:59 UTC Syncing #13335181 0x3db0…e6d5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#11163362 LI:#13335197    2/25 peers      2 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:50:04 UTC Syncing #13335181 0x3db0…e6d5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#11163362 LI:#13335197    2/25 peers      2 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:50:11 UTC Syncing #13335181 0x3db0…e6d5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#11163362 LI:#13335197    4/25 peers      2 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:50:18 UTC Syncing #13335181 0x3db0…e6d5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#11163362 LI:#13335197    6/25 peers      2 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:50:19 UTC Syncing #13335181 0x3db0…e6d5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#11163362 LI:#13335197    5/25 peers      2 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:50:33 UTC Syncing #13335182 0x3d56…e5b4     0.20 blk/s   72.4 tx/s    6.0 Mgas/s      0+   14 Qed Ancient:#11163363 LI:#13335197    8/25 peers      2 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:50:33 UTC Syncing #13335183 0xb033…01de     0.20 blk/s   44.8 tx/s    4.0 Mgas/s      0+   13 Qed Ancient:#11163364 LI:#13335197    8/25 peers      2 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:50:41 UTC Syncing #13335184 0xb76d…10b9     0.10 blk/s   10.6 tx/s    0.7 Mgas/s      0+   12 Qed Ancient:#11163365 LI:#13335197    5/25 peers      2 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:50:41 UTC Syncing #13335183 0xb033…01de     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#11163364 LI:#13335197    5/25 peers      2 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:50:49 UTC Syncing #13335185 0x1faf…4335     0.40 blk/s   40.4 tx/s    3.0 Mgas/s      0+   11 Qed Ancient:#11163366 LI:#13335197    4/25 peers      2 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:50:58 UTC Syncing #13335186 0x2d19…a008     0.10 blk/s   19.8 tx/s    1.8 Mgas/s      0+   10 Qed Ancient:#11163367 LI:#13335197    3/25 peers      2 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
