2021-10-01 18:45:00 UTC Syncing #13335159 0xd688…610b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#11163347 LI:#13335174    9/25 peers      9 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:45:00 UTC Syncing #13335159 0xd688…610b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#11163347 LI:#13335174    9/25 peers      9 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:45:10 UTC Syncing #13335159 0xd688…610b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#11163347 LI:#13335174    6/25 peers     74 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:45:10 UTC Syncing #13335159 0xd688…610b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#11163347 LI:#13335174    6/25 peers     74 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:45:15 UTC Syncing #13335160 0x6833…d29b     0.20 blk/s   30.0 tx/s    3.4 Mgas/s      0+   14 Qed Ancient:#11163347 LI:#13335175    5/25 peers     92 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:45:19 UTC Syncing #13335160 0x6833…d29b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#11163347 LI:#13335175    5/25 peers     92 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:45:29 UTC Syncing #13335161 0x9c02…49f1     0.20 blk/s   35.0 tx/s    2.9 Mgas/s      0+   14 Qed Ancient:#11163347 LI:#13335176    5/25 peers    556 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:45:29 UTC Syncing #13335161 0x9c02…49f1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#11163347 LI:#13335176    3/25 peers    556 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:45:40 UTC Syncing #13335162 0x310e…983a     0.10 blk/s   16.9 tx/s    1.4 Mgas/s      0+   13 Qed Ancient:#11163347 LI:#13335176    3/25 peers    591 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:45:40 UTC Syncing #13335162 0x310e…983a     0.20 blk/s   33.8 tx/s    2.8 Mgas/s      0+   13 Qed Ancient:#11163347 LI:#13335176    3/25 peers    591 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:45:51 UTC Syncing #13335164 0x3f9c…b21d     0.20 blk/s   20.7 tx/s    1.6 Mgas/s      0+   11 Qed Ancient:#11163347 LI:#13335176    2/25 peers    591 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:45:51 UTC Syncing #13335163 0x6c4f…0f1e     0.20 blk/s   37.6 tx/s    2.9 Mgas/s      0+   12 Qed Ancient:#11163347 LI:#13335176    2/25 peers    591 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:46:00 UTC Syncing #13335164 0x3f9c…b21d     0.10 blk/s    1.9 tx/s    0.1 Mgas/s      0+   11 Qed Ancient:#11163347 LI:#13335176    2/25 peers    591 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:46:00 UTC Syncing #13335164 0x3f9c…b21d     0.20 blk/s    3.8 tx/s    0.3 Mgas/s      0+   11 Qed Ancient:#11163347 LI:#13335176    2/25 peers    591 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:46:04 UTC Syncing #13335164 0x3f9c…b21d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#11163347 LI:#13335176    0/25 peers    591 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:46:09 UTC Syncing #13335164 0x3f9c…b21d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#11163347 LI:#13335176    0/25 peers    591 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:46:14 UTC Syncing #13335164 0x3f9c…b21d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      2+   12 Qed Ancient:#11163347 LI:#13335181    1/25 peers    591 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:46:21 UTC Syncing #13335165 0x8604…15ee     0.20 blk/s   83.0 tx/s    6.0 Mgas/s      0+   15 Qed Ancient:#11163347 LI:#13335181    1/25 peers    910 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:46:30 UTC Syncing #13335166 0x68f5…93b2     0.10 blk/s   11.7 tx/s    1.0 Mgas/s      0+   14 Qed Ancient:#11163347 LI:#13335181    1/25 peers    911 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:46:30 UTC Syncing #13335166 0x68f5…93b2     0.20 blk/s   23.4 tx/s    1.9 Mgas/s      0+   14 Qed Ancient:#11163347 LI:#13335181    1/25 peers    911 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:46:42 UTC Syncing #13335167 0xcba4…3f3c     0.10 blk/s   11.9 tx/s    1.0 Mgas/s      0+   16 Qed Ancient:#11163347 LI:#13335184    2/25 peers    911 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:46:42 UTC Syncing #13335167 0xcba4…3f3c     0.20 blk/s   23.8 tx/s    2.1 Mgas/s      0+   16 Qed Ancient:#11163347 LI:#13335184    2/25 peers    911 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:46:44 UTC Syncing #13335167 0xcba4…3f3c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#11163347 LI:#13335184    1/25 peers    911 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:46:49 UTC Syncing #13335168 0x231b…29f6     0.20 blk/s   22.8 tx/s    2.0 Mgas/s      0+   16 Qed Ancient:#11163347 LI:#13335185    2/25 peers    911 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:46:57 UTC Syncing #13335168 0x231b…29f6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#11163347 LI:#13335185    2/25 peers    911 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:47:04 UTC Syncing #13335169 0x926f…9962     0.20 blk/s   11.4 tx/s    1.1 Mgas/s      0+   15 Qed Ancient:#11163347 LI:#13335185    2/25 peers    911 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:47:04 UTC Syncing #13335170 0xa91d…eaf5     0.20 blk/s   25.0 tx/s    2.2 Mgas/s      0+   14 Qed Ancient:#11163347 LI:#13335185    2/25 peers    911 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:47:18 UTC Syncing #13335171 0x77e6…7940     0.10 blk/s    9.8 tx/s    1.4 Mgas/s      0+   13 Qed Ancient:#11163347 LI:#13335185    1/25 peers    911 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:47:18 UTC Syncing #13335170 0xa91d…eaf5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#11163347 LI:#13335185    1/25 peers    911 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:47:28 UTC Syncing #13335171 0x77e6…7940     0.10 blk/s    9.8 tx/s    1.4 Mgas/s      0+   13 Qed Ancient:#11163347 LI:#13335185    1/25 peers    911 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:47:28 UTC Syncing #13335171 0x77e6…7940     0.20 blk/s   19.6 tx/s    2.9 Mgas/s      0+   13 Qed Ancient:#11163347 LI:#13335185    1/25 peers    911 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:47:29 UTC Syncing #13335171 0x77e6…7940     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#11163347 LI:#13335185    1/25 peers    911 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:47:44 UTC Syncing #13335172 0xe280…8a0e     0.20 blk/s   42.8 tx/s    2.9 Mgas/s      0+   12 Qed Ancient:#11163347 LI:#13335185    1/25 peers      1 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:47:44 UTC Syncing #13335172 0xe280…8a0e     0.10 blk/s   21.4 tx/s    1.5 Mgas/s      0+   12 Qed Ancient:#11163347 LI:#13335185    1/25 peers      1 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:47:44 UTC Syncing #13335172 0xe280…8a0e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#11163347 LI:#13335185    1/25 peers      1 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:47:49 UTC Syncing #13335172 0xe280…8a0e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#11163347 LI:#13335185    1/25 peers      1 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
