2021-10-01 18:59:34 UTC Syncing #13335224 0x1e73…9100     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#11163409 LI:#13335239    3/25 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:59:39 UTC Syncing #13335224 0x1e73…9100     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#11163409 LI:#13335239    3/25 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:59:44 UTC Syncing #13335224 0x1e73…9100     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#11163409 LI:#13335239    5/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:59:49 UTC Syncing #13335225 0xbabe…19b2     0.20 blk/s   95.0 tx/s    6.0 Mgas/s      0+   14 Qed Ancient:#11163410 LI:#13335239    6/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:00:00 UTC Syncing #13335225 0xbabe…19b2     0.10 blk/s   44.7 tx/s    3.0 Mgas/s      0+   13 Qed Ancient:#11163411 LI:#13335239   11/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:00:00 UTC Syncing #13335225 0xbabe…19b2     0.20 blk/s   89.4 tx/s    6.0 Mgas/s      0+   13 Qed Ancient:#11163411 LI:#13335239   11/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:00:04 UTC Syncing #13335225 0xbabe…19b2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#11163411 LI:#13335241   10/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:00:28 UTC Reorg to #13335226 0xe500…ce96 (0xbabe…19b2 #13335224 0x1e73…9100 0x1a2e…a261)
2021-10-01 19:00:49 UTC Syncing #13335225 0xbabe…19b2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#11163411 LI:#13335241   20/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:00:49 UTC Syncing #13335226 0xe500…ce96     0.05 blk/s   22.2 tx/s    1.4 Mgas/s      0+   15 Qed Ancient:#11163997 LI:#13335241   20/25 peers     21 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:01:08 UTC Syncing #13335226 0xe500…ce96     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#11164556 LI:#13335242   17/25 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:01:08 UTC Syncing #13335226 0xe500…ce96     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#11164655 LI:#13335243   14/25 peers    0 bytes chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
