2021-10-01 19:05:09 UTC Syncing #13335242 0xe8d7…709e     0.20 blk/s   71.4 tx/s    6.0 Mgas/s      0+   17 Qed Ancient:#11164815 LI:#13335260    9/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:05:09 UTC Syncing #13335242 0xe8d7…709e     0.10 blk/s   35.7 tx/s    3.0 Mgas/s      0+   17 Qed Ancient:#11164815 LI:#13335261    8/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:05:09 UTC Syncing #13335242 0xe8d7…709e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#11164815 LI:#13335261    8/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:05:23 UTC Syncing #13335244 0x0522…8488     0.20 blk/s   54.6 tx/s    6.0 Mgas/s      0+   16 Qed Ancient:#11164818 LI:#13335261    9/25 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:05:23 UTC Syncing #13335243 0x403e…e65c     0.20 blk/s   58.0 tx/s    6.0 Mgas/s      0+   17 Qed Ancient:#11164817 LI:#13335261    9/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:05:35 UTC Syncing #13335245 0xbbf5…d86d     0.20 blk/s   50.2 tx/s    6.0 Mgas/s      0+   16 Qed Ancient:#11164819 LI:#13335262    7/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:05:35 UTC Syncing #13335245 0xbbf5…d86d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#11164819 LI:#13335262    7/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:05:35 UTC Syncing #13335244 0x0522…8488     0.20 blk/s   51.2 tx/s    6.0 Mgas/s      0+   17 Qed Ancient:#11164818 LI:#13335262    7/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:05:45 UTC Syncing #13335245 0xbbf5…d86d     0.20 blk/s   49.2 tx/s    6.0 Mgas/s      0+   16 Qed Ancient:#11164819 LI:#13335262    7/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:05:45 UTC Syncing #13335246 0x51d6…1c22     0.20 blk/s   47.9 tx/s    6.0 Mgas/s      0+   15 Qed Ancient:#11164820 LI:#13335262    7/25 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:05:55 UTC Syncing #13335246 0x51d6…1c22     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#11164820 LI:#13335264    7/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:05:55 UTC Syncing #13335246 0x51d6…1c22     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#11164820 LI:#13335264    7/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:06:10 UTC Syncing #13335248 0x6445…5c78     0.20 blk/s   43.6 tx/s    5.7 Mgas/s      0+   17 Qed Ancient:#11164822 LI:#13335266    7/25 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:06:10 UTC Syncing #13335248 0x6445…5c78     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#11164822 LI:#13335266    7/25 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:06:10 UTC Syncing #13335247 0x6fdd…5842     0.20 blk/s   49.8 tx/s    6.0 Mgas/s      0+   18 Qed Ancient:#11164821 LI:#13335266    7/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:06:21 UTC Syncing #13335248 0x6445…5c78     0.20 blk/s   37.4 tx/s    5.3 Mgas/s      0+   18 Qed Ancient:#11164822 LI:#13335267    7/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:06:21 UTC Syncing #13335250 0x903b…c5c4     0.30 blk/s   55.7 tx/s    8.0 Mgas/s      0+   16 Qed Ancient:#11164824 LI:#13335267    7/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:06:29 UTC Syncing #13335250 0x903b…c5c4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#11164824 LI:#13335267    7/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:06:29 UTC Syncing #13335251 0x7608…b490     0.20 blk/s   45.8 tx/s    6.0 Mgas/s      0+   15 Qed Ancient:#11164825 LI:#13335268    7/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:06:39 UTC Syncing #13335254 0xe3c6…a948     0.30 blk/s   48.1 tx/s    6.2 Mgas/s      0+   13 Qed Ancient:#11164828 LI:#13335268    7/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:06:39 UTC Syncing #13335253 0xb5f3…bc06     0.40 blk/s   48.8 tx/s    6.3 Mgas/s      0+   14 Qed Ancient:#11164827 LI:#13335268    7/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:06:48 UTC Syncing #13335254 0xe3c6…a948     0.20 blk/s   47.4 tx/s    6.0 Mgas/s      0+   13 Qed Ancient:#11164828 LI:#13335268    6/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:06:55 UTC Syncing #13335255 0xe6ff…a6de     0.20 blk/s   46.8 tx/s    6.0 Mgas/s      0+   13 Qed Ancient:#11164829 LI:#13335269    6/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:06:55 UTC Syncing #13335257 0xc230…1a3a     0.30 blk/s   56.2 tx/s    7.5 Mgas/s      0+   11 Qed Ancient:#11164831 LI:#13335269    6/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:07:04 UTC Syncing #13335258 0x5897…fec0     0.20 blk/s   49.0 tx/s    6.0 Mgas/s      0+   10 Qed Ancient:#11164832 LI:#13335269    6/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:07:12 UTC Syncing #13335261 0xb766…dbe2     0.30 blk/s   63.4 tx/s    5.0 Mgas/s      0+    7 Qed Ancient:#11164835 LI:#13335269    6/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:07:12 UTC Syncing #13335259 0x6329…08f9     0.20 blk/s   42.8 tx/s    6.0 Mgas/s      0+    9 Qed Ancient:#11164833 LI:#13335269    6/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:07:23 UTC Syncing #13335262 0xd595…3ebf     0.30 blk/s   68.9 tx/s    3.2 Mgas/s      0+    8 Qed Ancient:#11164836 LI:#13335271    6/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:07:23 UTC Syncing #13335261 0xb766…dbe2     0.40 blk/s   84.0 tx/s    3.9 Mgas/s      0+    9 Qed Ancient:#11164835 LI:#13335271    6/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:07:29 UTC Syncing #13335263 0xfa4b…1ebc     0.40 blk/s  108.4 tx/s    4.9 Mgas/s      0+    9 Qed Ancient:#11164836 LI:#13335272    4/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:07:29 UTC Syncing #13335264 0x26c4…2a81     0.30 blk/s   62.3 tx/s    2.8 Mgas/s      0+    7 Qed Ancient:#11164838 LI:#13335272    3/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:07:43 UTC Syncing #13335266 0x380a…4a4f     0.20 blk/s   27.3 tx/s    1.4 Mgas/s      0+    5 Qed Ancient:#11164840 LI:#13335272    3/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:07:43 UTC Syncing #13335264 0x26c4…2a81     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11164838 LI:#13335272    3/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:07:51 UTC Syncing #13335268 0x0586…beb5     0.40 blk/s   82.7 tx/s    3.9 Mgas/s      0+    4 Qed Ancient:#11164842 LI:#13335273    2/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:07:51 UTC Syncing #13335267 0xb244…e107     0.60 blk/s  101.2 tx/s    5.0 Mgas/s      0+    5 Qed Ancient:#11164841 LI:#13335273    2/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:07:57 UTC Syncing #13335268 0x0586…beb5     0.20 blk/s   64.2 tx/s    2.8 Mgas/s      0+    4 Qed Ancient:#11164842 LI:#13335273    2/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:08:24 UTC  Ancient:#11164849 AB:#11166988    0/25 peers      5 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:08:27 UTC Imported #13335273 0xecf6…90e8 (407 txs, 21.21 Mgas, 10199 ms, 163.65 KiB)
2021-10-01 19:08:27 UTC Updated conversion rate to Ξ1 = US$3306.87 (1440003.4 wei/gas)
2021-10-01 19:09:46 UTC  Ancient:#11166060 AB:#11166988    0/25 peers      9 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:09:46 UTC  Ancient:#11165589 AB:#11166988    0/25 peers      4 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:09:46 UTC  Ancient:#11166060 AB:#11166988    0/25 peers      9 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:09:46 UTC  Ancient:#11166060 AB:#11166988    0/25 peers      4 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:09:46 UTC  Ancient:#11166060 AB:#11166988    0/25 peers      4 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:10:10 UTC Syncing #13335273 0xecf6…90e8     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11166615 LI:#13335281    3/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:10:18 UTC Syncing #13335273 0xecf6…90e8     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11166615 LI:#13335281    5/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:10:19 UTC Syncing #13335273 0xecf6…90e8     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11166615 LI:#13335282    4/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:10:27 UTC Syncing #13335273 0xecf6…90e8     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#11166615 LI:#13335283    7/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:10:41 UTC Syncing #13335275 0x83e6…4ae6     0.20 blk/s   47.9 tx/s    2.7 Mgas/s      0+    7 Qed Ancient:#11166617 LI:#13335283    7/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:10:41 UTC Syncing #13335275 0x83e6…4ae6     0.13 blk/s   31.9 tx/s    1.8 Mgas/s      0+    7 Qed Ancient:#11166617 LI:#13335283    7/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:10:41 UTC Syncing #13335274 0x2a65…3831     0.20 blk/s   74.0 tx/s    4.0 Mgas/s      0+    8 Qed Ancient:#11166616 LI:#13335283    7/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:10:50 UTC Syncing #13335277 0x4697…3bd2     0.20 blk/s   40.5 tx/s    2.4 Mgas/s      0+    6 Qed Ancient:#11166619 LI:#13335284    7/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 19:10:50 UTC Syncing #13335276 0x3384…697b     0.20 blk/s   62.0 tx/s    3.6 Mgas/s      0+    7 Qed Ancient:#11166618 LI:#13335284    7/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
