2021-05-09 10:43:56 UTC Syncing #12399499 0x61ff…0a12     0.20 blk/s   77.0 tx/s    3.0 Mgas/s      0+  194 Qed Ancient:#12118738 LI:#12399694   29/50 peers      3 MiB chain   44 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:44:01 UTC Syncing #12399499 0x61ff…0a12     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  195 Qed Ancient:#12118738 LI:#12399695   29/50 peers      3 MiB chain   44 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:44:06 UTC Syncing #12399500 0xae58…22f3     0.20 blk/s   59.8 tx/s    3.0 Mgas/s      0+  194 Qed Ancient:#12118738 LI:#12399695   29/50 peers      3 MiB chain   44 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:44:11 UTC Syncing #12399501 0xf043…324f     0.20 blk/s   87.2 tx/s    3.0 Mgas/s      0+  194 Qed Ancient:#12118738 LI:#12399696   29/50 peers      3 MiB chain   44 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:44:16 UTC Syncing #12399501 0xf043…324f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  194 Qed Ancient:#12118738 LI:#12399696   29/50 peers      3 MiB chain   44 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:44:21 UTC Syncing #12399502 0x0e4d…6d5f     0.20 blk/s   50.2 tx/s    3.0 Mgas/s      0+  193 Qed Ancient:#12118738 LI:#12399696   29/50 peers      3 MiB chain   44 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:44:26 UTC Syncing #12399502 0x0e4d…6d5f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  194 Qed Ancient:#12118738 LI:#12399697   29/50 peers      3 MiB chain   44 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:44:31 UTC Syncing #12399503 0xd3e9…38ce     0.20 blk/s   32.4 tx/s    3.0 Mgas/s      0+  193 Qed Ancient:#12118738 LI:#12399697   29/50 peers      3 MiB chain   44 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:44:36 UTC Syncing #12399503 0xd3e9…38ce     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  194 Qed Ancient:#12118738 LI:#12399698   29/50 peers      3 MiB chain   44 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:44:41 UTC Syncing #12399504 0xcd4f…f3ba     0.20 blk/s   66.6 tx/s    3.0 Mgas/s      0+  193 Qed Ancient:#12118738 LI:#12399698   29/50 peers      3 MiB chain   44 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:44:46 UTC Syncing #12399504 0xcd4f…f3ba     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  193 Qed Ancient:#12118738 LI:#12399698   30/50 peers      3 MiB chain   44 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:44:51 UTC Syncing #12399505 0xaafd…8a33     0.20 blk/s   59.0 tx/s    2.9 Mgas/s      0+  192 Qed Ancient:#12118738 LI:#12399698   31/50 peers      3 MiB chain   43 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:44:56 UTC Syncing #12399506 0xddd6…29cb     0.20 blk/s   83.0 tx/s    2.9 Mgas/s      0+  191 Qed Ancient:#12118738 LI:#12399698   31/50 peers      3 MiB chain   43 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:45:01 UTC Syncing #12399506 0xddd6…29cb     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  192 Qed Ancient:#12118738 LI:#12399699   31/50 peers      3 MiB chain   43 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:45:06 UTC Syncing #12399508 0xfab0…a723     0.40 blk/s   85.6 tx/s    3.0 Mgas/s      0+  191 Qed Ancient:#12118738 LI:#12399700   31/50 peers      3 MiB chain   43 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:45:11 UTC Syncing #12399508 0xfab0…a723     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  191 Qed Ancient:#12118738 LI:#12399700   31/50 peers      3 MiB chain   43 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:45:16 UTC Syncing #12399509 0xb538…df3e     0.20 blk/s   82.0 tx/s    3.0 Mgas/s      0+  191 Qed Ancient:#12118738 LI:#12399701   31/50 peers      3 MiB chain   43 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:45:21 UTC Syncing #12399509 0xb538…df3e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  191 Qed Ancient:#12118738 LI:#12399701   31/50 peers      3 MiB chain   43 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
