2021-10-01 22:08:20 UTC Syncing #13335987 0x33ac…d18f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   63 Qed Ancient:#11220089 LI:#13336050   19/25 peers      5 MiB chain   18 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:08:27 UTC Syncing #13335988 0x5c89…dce9     0.20 blk/s   51.8 tx/s    4.7 Mgas/s      0+   62 Qed Ancient:#11220090 LI:#13336050   21/25 peers      5 MiB chain   17 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:08:33 UTC Syncing #13335989 0x43d9…eb1b     0.20 blk/s   22.6 tx/s    1.7 Mgas/s      0+   61 Qed Ancient:#11220091 LI:#13336050   21/25 peers      5 MiB chain   17 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:08:36 UTC Syncing #13335990 0x5e49…2513     0.20 blk/s    5.2 tx/s    0.6 Mgas/s      0+   60 Qed Ancient:#11220092 LI:#13336050   21/25 peers      5 MiB chain   17 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:08:40 UTC Syncing #13335990 0x5e49…2513     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   60 Qed Ancient:#11220092 LI:#13336050   22/25 peers      5 MiB chain   17 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:08:46 UTC Syncing #13335990 0x5e49…2513     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   60 Qed Ancient:#11220092 LI:#13336050   23/25 peers      5 MiB chain   17 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:08:51 UTC Syncing #13335990 0x5e49…2513     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   60 Qed Ancient:#11220092 LI:#13336050   23/25 peers      5 MiB chain   17 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:08:55 UTC Syncing #13335990 0x5e49…2513     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   60 Qed Ancient:#11220092 LI:#13336050   24/25 peers      5 MiB chain   17 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:09:00 UTC Syncing #13335990 0x5e49…2513     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   60 Qed Ancient:#11220092 LI:#13336050   25/25 peers      5 MiB chain   17 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:09:05 UTC Syncing #13335990 0x5e49…2513     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   60 Qed Ancient:#11220092 LI:#13336050   25/25 peers      5 MiB chain   17 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:09:10 UTC Syncing #13335990 0x5e49…2513     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   60 Qed Ancient:#11220092 LI:#13336050   25/25 peers      5 MiB chain   17 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
