2021-10-01 22:03:15 UTC Syncing #13335970 0xbb92…1ec3     0.20 blk/s   12.6 tx/s    0.6 Mgas/s      0+   59 Qed Ancient:#11219081 LI:#13336029   31/50 peers      5 MiB chain   16 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:03:21 UTC Syncing #13335970 0xbb92…1ec3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   59 Qed Ancient:#11219081 LI:#13336029   30/50 peers      5 MiB chain   16 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:03:25 UTC Syncing #13335970 0xbb92…1ec3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   60 Qed Ancient:#11219081 LI:#13336030   30/50 peers      5 MiB chain   16 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:03:30 UTC Syncing #13335970 0xbb92…1ec3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   61 Qed Ancient:#11219081 LI:#13336031   30/50 peers      5 MiB chain   16 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:03:35 UTC Syncing #13335970 0xbb92…1ec3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   61 Qed Ancient:#11219081 LI:#13336031   30/50 peers      5 MiB chain   16 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:03:40 UTC Syncing #13335971 0xa7bd…1585     0.20 blk/s   87.4 tx/s    6.0 Mgas/s      0+   60 Qed Ancient:#11219083 LI:#13336031   30/50 peers      5 MiB chain   16 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:03:45 UTC Syncing #13335972 0x061b…1d0a     0.20 blk/s   15.6 tx/s    1.3 Mgas/s      0+   59 Qed Ancient:#11219084 LI:#13336031   30/50 peers      5 MiB chain   16 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:03:50 UTC Syncing #13335973 0xa1af…3431     0.20 blk/s   22.6 tx/s    2.3 Mgas/s      0+   58 Qed Ancient:#11219085 LI:#13336031   30/50 peers      5 MiB chain   16 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:03:55 UTC Syncing #13335974 0x8285…0f38     0.20 blk/s    4.6 tx/s    1.1 Mgas/s      0+   58 Qed Ancient:#11219086 LI:#13336032   30/50 peers      5 MiB chain   16 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:04:00 UTC Syncing #13335974 0x8285…0f38     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   58 Qed Ancient:#11219086 LI:#13336032   31/50 peers      5 MiB chain   16 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 22:04:05 UTC Syncing #13335974 0x8285…0f38     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   59 Qed Ancient:#11219086 LI:#13336033   31/50 peers      5 MiB chain   16 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
