2021-07-28 13:40:30 UTC  Ancient:#7029084 AB:#7030449   13/25 peers      2 MiB chain  191 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:40:30 UTC  Ancient:#7029084 AB:#7030449   13/25 peers      2 MiB chain  191 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:40:30 UTC  Ancient:#7029084 AB:#7030449   13/25 peers      2 MiB chain  191 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:41:06 UTC  Ancient:#7029085 AB:#7030449    7/25 peers      2 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:41:20 UTC Syncing #12914744 0xb994…a2c1     0.07 blk/s   12.7 tx/s    1.0 Mgas/s      0+    7 Qed Ancient:#7029086 LI:#12914752    8/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:41:25 UTC Syncing #12914744 0xb994…a2c1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#7029086 LI:#12914752    8/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:41:30 UTC Syncing #12914744 0xb994…a2c1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#7029086 LI:#12914752    9/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:41:35 UTC Syncing #12914744 0xb994…a2c1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#7029086 LI:#12914752   10/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:41:40 UTC Syncing #12914744 0xb994…a2c1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#7029086 LI:#12914753   12/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:41:46 UTC Syncing #12914744 0xb994…a2c1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#7029086 LI:#12914753   11/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:41:50 UTC Syncing #12914744 0xb994…a2c1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#7029086 LI:#12914753   11/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:41:55 UTC Syncing #12914744 0xb994…a2c1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#7029086 LI:#12914753   14/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:42:00 UTC Syncing #12914745 0x3188…ea50     0.20 blk/s   37.6 tx/s    3.0 Mgas/s      0+    8 Qed Ancient:#7029087 LI:#12914754   14/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:42:06 UTC Syncing #12914745 0x3188…ea50     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#7029087 LI:#12914755   14/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:42:11 UTC Syncing #12914746 0x9373…062e     0.20 blk/s   52.2 tx/s    3.0 Mgas/s      0+    9 Qed Ancient:#7029088 LI:#12914756   14/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:42:15 UTC Syncing #12914746 0x9373…062e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#7029088 LI:#12914756   13/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:42:20 UTC Syncing #12914747 0x7e35…6f2a     0.20 blk/s   38.8 tx/s    3.0 Mgas/s      0+    8 Qed Ancient:#7029089 LI:#12914756   14/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:42:25 UTC Syncing #12914747 0x7e35…6f2a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#7029089 LI:#12914756   12/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:42:30 UTC Syncing #12914748 0x1d9f…30c6     0.20 blk/s   33.6 tx/s    3.0 Mgas/s      0+    8 Qed Ancient:#7029091 LI:#12914757   13/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:42:35 UTC Syncing #12914748 0x1d9f…30c6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#7029091 LI:#12914757   14/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:42:40 UTC Syncing #12914749 0x01d5…1f76     0.20 blk/s   62.8 tx/s    3.0 Mgas/s      0+    8 Qed Ancient:#7029092 LI:#12914758   11/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:42:45 UTC Syncing #12914749 0x01d5…1f76     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#7029092 LI:#12914758   12/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
