2021-07-28 13:36:05 UTC Syncing #12914722 0x0ea3…e685     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#7025936 LI:#12914729   13/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:36:10 UTC Syncing #12914722 0x0ea3…e685     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#7025936 LI:#12914729   16/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:36:15 UTC Syncing #12914723 0xb564…e953     0.20 blk/s   35.6 tx/s    3.0 Mgas/s      0+    6 Qed Ancient:#7025937 LI:#12914729   12/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:36:20 UTC Syncing #12914723 0xb564…e953     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#7025937 LI:#12914729   14/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:36:25 UTC Syncing #12914724 0x959a…a4a7     0.20 blk/s   41.0 tx/s    3.0 Mgas/s      0+    6 Qed Ancient:#7025938 LI:#12914730   15/25 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:36:30 UTC Syncing #12914724 0x959a…a4a7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#7025938 LI:#12914731   14/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:36:35 UTC Syncing #12914725 0x09ff…be6b     0.20 blk/s   74.4 tx/s    3.0 Mgas/s      0+    7 Qed Ancient:#7025939 LI:#12914732   18/25 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:36:40 UTC Syncing #12914725 0x09ff…be6b     0.20 blk/s   71.2 tx/s    3.0 Mgas/s      0+    6 Qed Ancient:#7025940 LI:#12914732   18/25 peers      4 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:36:45 UTC Syncing #12914725 0x09ff…be6b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#7025940 LI:#12914732   15/25 peers      4 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:36:46 UTC Reorg to #12914726 0xf44c…19e9 (0x09ff…be6b #12914724 0x959a…a4a7 0xeaa5…aa19)
2021-07-28 13:36:50 UTC Syncing #12914726 0xf44c…19e9     0.20 blk/s   43.4 tx/s    3.0 Mgas/s      0+    5 Qed Ancient:#7025942 LI:#12914732   18/25 peers      4 MiB chain 1016 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
