2021-07-28 13:42:06 UTC Syncing #12914745 0x3188…ea50     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#7029087 LI:#12914755   14/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:42:11 UTC Syncing #12914746 0x9373…062e     0.20 blk/s   52.2 tx/s    3.0 Mgas/s      0+    9 Qed Ancient:#7029088 LI:#12914756   14/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:42:15 UTC Syncing #12914746 0x9373…062e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#7029088 LI:#12914756   13/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:42:20 UTC Syncing #12914747 0x7e35…6f2a     0.20 blk/s   38.8 tx/s    3.0 Mgas/s      0+    8 Qed Ancient:#7029089 LI:#12914756   14/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:42:25 UTC Syncing #12914747 0x7e35…6f2a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#7029089 LI:#12914756   12/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:42:30 UTC Syncing #12914748 0x1d9f…30c6     0.20 blk/s   33.6 tx/s    3.0 Mgas/s      0+    8 Qed Ancient:#7029091 LI:#12914757   13/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:42:35 UTC Syncing #12914748 0x1d9f…30c6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#7029091 LI:#12914757   14/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:42:40 UTC Syncing #12914749 0x01d5…1f76     0.20 blk/s   62.8 tx/s    3.0 Mgas/s      0+    8 Qed Ancient:#7029092 LI:#12914758   11/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:42:45 UTC Syncing #12914749 0x01d5…1f76     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#7029092 LI:#12914758   12/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:42:50 UTC Syncing #12914750 0xdf8a…61ba     0.20 blk/s   32.6 tx/s    3.0 Mgas/s      0+    7 Qed Ancient:#7029094 LI:#12914758   12/25 peers      4 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:42:55 UTC Syncing #12914751 0xada4…fd91     0.20 blk/s   30.6 tx/s    3.0 Mgas/s      0+    6 Qed Ancient:#7029095 LI:#12914758   12/25 peers      4 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:43:00 UTC Syncing #12914751 0xada4…fd91     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#7029095 LI:#12914759   10/25 peers      4 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:43:05 UTC Syncing #12914752 0xb8d0…947a     0.20 blk/s   48.4 tx/s    3.0 Mgas/s      0+    7 Qed Ancient:#7029097 LI:#12914760   14/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:43:10 UTC Syncing #12914752 0xb8d0…947a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#7029097 LI:#12914760   16/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:43:15 UTC Syncing #12914753 0xbfeb…9b3a     0.20 blk/s   43.6 tx/s    3.0 Mgas/s      0+    6 Qed Ancient:#7029098 LI:#12914760   16/25 peers     10 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:43:20 UTC Syncing #12914753 0xbfeb…9b3a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#7029098 LI:#12914761   15/25 peers    0 bytes chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:43:25 UTC Syncing #12914753 0xbfeb…9b3a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#7029098 LI:#12914761   15/25 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:43:30 UTC Syncing #12914753 0xbfeb…9b3a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#7029098 LI:#12914762   11/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:43:35 UTC Syncing #12914754 0x777a…2062     0.20 blk/s   49.8 tx/s    3.0 Mgas/s      0+    8 Qed Ancient:#7029099 LI:#12914763   14/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:43:40 UTC Syncing #12914754 0x777a…2062     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#7029099 LI:#12914764   14/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:43:45 UTC Syncing #12914755 0xa080…9889     0.20 blk/s   31.0 tx/s    3.0 Mgas/s      0+    8 Qed Ancient:#7029100 LI:#12914764   13/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:43:50 UTC Syncing #12914755 0xa080…9889     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#7029100 LI:#12914764   14/25 peers      7 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:43:55 UTC Syncing #12914756 0x5858…2587     0.20 blk/s   26.2 tx/s    3.0 Mgas/s      0+    7 Qed Ancient:#7029101 LI:#12914764   15/25 peers      7 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:44:00 UTC Syncing #12914756 0x5858…2587     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#7029101 LI:#12914764   15/25 peers      7 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:44:05 UTC Syncing #12914757 0xd271…1155     0.20 blk/s   43.8 tx/s    3.0 Mgas/s      0+    6 Qed Ancient:#7029102 LI:#12914764   15/25 peers      7 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:44:10 UTC Syncing #12914757 0xd271…1155     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#7029102 LI:#12914764   12/25 peers      7 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:44:15 UTC Syncing #12914757 0xd271…1155     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#7029102 LI:#12914764   14/25 peers      7 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:44:20 UTC Syncing #12914757 0xd271…1155     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#7029102 LI:#12914764   14/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 13:44:25 UTC Syncing #12914758 0xeebe…b31b     0.20 blk/s   53.8 tx/s    3.0 Mgas/s      0+    7 Qed Ancient:#7029103 LI:#12914766   16/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
