2021-07-28 14:05:04 UTC  Ancient:#7040559 AB:#7044194   14/25 peers     15 MiB chain  576 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 14:05:15 UTC Could not revert to previous block, last: 12914858 (0xa2a1…35aa)
2021-07-28 14:05:35 UTC  Ancient:#7040568 AB:#7044194   11/25 peers    215 KiB chain  415 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 14:06:05 UTC  Ancient:#7040569 AB:#7044194   18/25 peers    215 KiB chain  523 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 14:06:35 UTC  Ancient:#7040570 AB:#7044194   22/25 peers      5 MiB chain  316 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 14:07:05 UTC  Ancient:#7040571 AB:#7044194   19/25 peers      5 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 14:07:08 UTC Imported #12914862 0xe62c…dba9 (268 txs, 14.97 Mgas, 29391 ms, 67.61 KiB)
2021-07-28 14:08:08 UTC  Ancient:#7042786 AB:#7044575   14/25 peers   728 bytes chain  185 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 14:08:08 UTC  Ancient:#7042786 AB:#7044575   14/25 peers     40 MiB chain  185 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 14:08:40 UTC  Ancient:#7042786 AB:#7044956   18/25 peers      2 MiB chain  488 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 14:09:46 UTC Syncing #12914864 0x9cfa…c938     0.03 blk/s    7.7 tx/s    0.5 Mgas/s      0+    4 Qed Ancient:#7042788 LI:#12914868   12/25 peers      3 MiB chain  926 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 14:10:04 UTC Syncing #12914864 0x9cfa…c938     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#7042788 LI:#12914868   12/25 peers      8 MiB chain  926 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 14:10:04 UTC Syncing #12914864 0x9cfa…c938     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#7043139 LI:#12914868   11/25 peers     14 MiB chain  926 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 14:10:16 UTC Syncing #12914865 0x27c3…fab2     0.08 blk/s   22.3 tx/s    1.3 Mgas/s      0+    5 Qed Ancient:#7043141 LI:#12914870    7/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 14:10:20 UTC Syncing #12914865 0x27c3…fab2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#7043141 LI:#12914871    9/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 14:10:26 UTC Syncing #12914865 0x27c3…fab2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#7043141 LI:#12914871   14/25 peers     10 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 14:10:30 UTC Syncing #12914865 0x27c3…fab2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#7043141 LI:#12914871   15/25 peers     18 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 14:10:36 UTC Syncing #12914866 0xe485…1cb6     0.20 blk/s   50.3 tx/s    3.0 Mgas/s      0+    5 Qed Ancient:#7043142 LI:#12914871   14/25 peers      1 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 14:10:40 UTC Syncing #12914866 0xe485…1cb6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#7043142 LI:#12914873   10/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 14:10:47 UTC Syncing #12914867 0xb1f6…11a9     0.20 blk/s   44.6 tx/s    3.0 Mgas/s      0+    6 Qed Ancient:#7043143 LI:#12914873    8/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 14:10:50 UTC Syncing #12914867 0xb1f6…11a9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#7043143 LI:#12914873    7/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 14:10:55 UTC Syncing #12914868 0x58ae…e7f4     0.20 blk/s   38.2 tx/s    3.0 Mgas/s      0+    5 Qed Ancient:#7043144 LI:#12914873   10/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 14:11:00 UTC Syncing #12914868 0x58ae…e7f4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#7043144 LI:#12914873   14/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 14:11:09 UTC Syncing #12914869 0x5247…4cf7     0.20 blk/s   53.4 tx/s    3.0 Mgas/s      0+    4 Qed Ancient:#7043145 LI:#12914873   17/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 14:11:10 UTC Syncing #12914869 0x5247…4cf7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#7043145 LI:#12914874   11/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 14:11:16 UTC Syncing #12914870 0x07e8…fa6e     0.20 blk/s   46.8 tx/s    3.0 Mgas/s      0+    5 Qed Ancient:#7043146 LI:#12914875    9/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 14:11:20 UTC Syncing #12914870 0x07e8…fa6e     0.20 blk/s   46.2 tx/s    3.0 Mgas/s      0+    5 Qed Ancient:#7043147 LI:#12914876   10/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 14:11:25 UTC Syncing #12914870 0x07e8…fa6e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#7043147 LI:#12914876   12/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 14:11:28 UTC Reorg to #12914871 0xe8f8…aed9 (0x07e8…fa6e #12914869 0x5247…4cf7 0x5821…8892)
2021-07-28 14:11:32 UTC Syncing #12914871 0xe8f8…aed9     0.20 blk/s   55.4 tx/s    3.0 Mgas/s      0+    4 Qed Ancient:#7043148 LI:#12914876    8/25 peers      2 MiB chain 1019 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 14:11:35 UTC Syncing #12914871 0xe8f8…aed9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#7043148 LI:#12914877    7/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 14:11:42 UTC Syncing #12914872 0x1da4…cb6a     0.20 blk/s   51.0 tx/s    3.0 Mgas/s      0+    4 Qed Ancient:#7043149 LI:#12914877    7/25 peers      2 MiB chain  877 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 14:11:45 UTC Syncing #12914872 0x1da4…cb6a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#7043149 LI:#12914877    9/25 peers      2 MiB chain  877 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 14:11:51 UTC Syncing #12914873 0x8bef…78cd     0.20 blk/s   57.2 tx/s    3.0 Mgas/s      0+    3 Qed Ancient:#7043150 LI:#12914878   12/25 peers      3 MiB chain  683 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 14:11:55 UTC Syncing #12914873 0x8bef…78cd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#7043150 LI:#12914879   11/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 14:12:00 UTC Syncing #12914873 0x8bef…78cd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#7043150 LI:#12914880   12/25 peers     80 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 14:12:06 UTC Syncing #12914874 0xd89c…eaff     0.20 blk/s   44.4 tx/s    3.0 Mgas/s      0+    5 Qed Ancient:#7043151 LI:#12914880   10/25 peers      1 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 14:12:10 UTC Syncing #12914874 0xd89c…eaff     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#7043151 LI:#12914880   10/25 peers      1 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 14:12:15 UTC Syncing #12914875 0x1581…2e4a     0.20 blk/s   40.0 tx/s    3.0 Mgas/s      0+    5 Qed Ancient:#7043153 LI:#12914881   10/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 14:12:20 UTC Syncing #12914875 0x1581…2e4a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#7043153 LI:#12914881   14/25 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 14:12:25 UTC Syncing #12914876 0x8678…29f3     0.20 blk/s   39.6 tx/s    3.0 Mgas/s      0+    4 Qed Ancient:#7043154 LI:#12914881   15/25 peers      3 MiB chain  905 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
