2021-09-21 23:43:01 UTC Syncing #13272161 0xe307…5d56     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#5578799 LI:#13272171    5/25 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:43:07 UTC Syncing #13272161 0xe307…5d56     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#5578799 LI:#13272171    5/25 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:43:11 UTC Syncing #13272162 0x4014…2d40     0.20 blk/s   57.0 tx/s    6.0 Mgas/s      0+    8 Qed Ancient:#5578800 LI:#13272171    4/25 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:43:16 UTC Syncing #13272162 0x4014…2d40     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#5578800 LI:#13272171    3/25 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:43:24 UTC Syncing #13272163 0x0535…8e98     0.20 blk/s   28.4 tx/s    2.2 Mgas/s      0+    7 Qed Ancient:#5578802 LI:#13272171    3/25 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:43:26 UTC Syncing #13272163 0x0535…8e98     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5578802 LI:#13272171    3/25 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:43:37 UTC Syncing #13272164 0x725c…a0d1     0.20 blk/s   36.4 tx/s    3.3 Mgas/s      0+    6 Qed Ancient:#5578805 LI:#13272171    3/25 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:43:37 UTC Syncing #13272164 0x725c…a0d1     0.10 blk/s   18.2 tx/s    1.7 Mgas/s      0+    6 Qed Ancient:#5578805 LI:#13272171    3/25 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:43:46 UTC Syncing #13272165 0x3716…5889     0.20 blk/s   26.6 tx/s    2.3 Mgas/s      0+    5 Qed Ancient:#5578806 LI:#13272171    2/25 peers      1 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:43:46 UTC Syncing #13272165 0x3716…5889     0.10 blk/s   13.3 tx/s    1.2 Mgas/s      0+    5 Qed Ancient:#5578806 LI:#13272171    2/25 peers      1 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:43:51 UTC Syncing #13272165 0x3716…5889     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#5578806 LI:#13272172    3/25 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:43:57 UTC Syncing #13272165 0x3716…5889     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#5578806 LI:#13272172    4/25 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:44:01 UTC Syncing #13272166 0x6a53…bb4a     0.20 blk/s   42.6 tx/s    3.8 Mgas/s      0+    5 Qed Ancient:#5578808 LI:#13272172    4/25 peers      1 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:44:07 UTC Syncing #13272166 0x6a53…bb4a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#5578808 LI:#13272173    4/25 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:44:13 UTC Syncing #13272167 0xf933…2104     0.20 blk/s   33.6 tx/s    2.5 Mgas/s      0+    5 Qed Ancient:#5578809 LI:#13272173    4/25 peers      1 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:44:17 UTC Syncing #13272167 0xf933…2104     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#5578809 LI:#13272174    5/25 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:44:21 UTC Syncing #13272167 0xf933…2104     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#5578809 LI:#13272174    7/25 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
