2021-10-01 23:19:30 UTC Syncing #13336373 0xd9f9…73f0     0.20 blk/s   13.0 tx/s    0.5 Mgas/s      0+   11 Qed Ancient:#11241390 LI:#13336385   30/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:19:40 UTC Syncing #13336374 0x1872…4f4a     0.20 blk/s   30.4 tx/s    1.3 Mgas/s      0+   10 Qed Ancient:#11241391 LI:#13336385   30/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:19:40 UTC Syncing #13336375 0x9ba4…2636     0.20 blk/s   19.7 tx/s    1.0 Mgas/s      0+    9 Qed Ancient:#11241392 LI:#13336385   30/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:19:44 UTC Syncing #13336375 0x9ba4…2636     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#11241392 LI:#13336385   30/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:19:50 UTC Syncing #13336375 0x9ba4…2636     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#11241392 LI:#13336387   30/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:19:54 UTC Syncing #13336375 0x9ba4…2636     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#11241392 LI:#13336388   27/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:20:24 UTC Syncing #13336376 0x6f87…0927     0.05 blk/s   18.8 tx/s    1.4 Mgas/s      0+   14 Qed Ancient:#11241393 LI:#13336390   25/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:20:24 UTC Syncing #13336376 0x6f87…0927     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#11241651 LI:#13336391   25/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:20:39 UTC Syncing #13336376 0x6f87…0927     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#11241653 LI:#13336394   25/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:20:39 UTC Syncing #13336376 0x6f87…0927     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#11241653 LI:#13336394   25/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:20:48 UTC Syncing #13336376 0x6f87…0927     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#11241653 LI:#13336394   24/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:20:53 UTC Syncing #13336377 0x5c96…a39c     0.20 blk/s   53.2 tx/s    6.0 Mgas/s      0+   16 Qed Ancient:#11241654 LI:#13336394   24/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:20:54 UTC Syncing #13336377 0x5c96…a39c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#11241654 LI:#13336394   24/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:20:59 UTC Syncing #13336377 0x5c96…a39c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#11241654 LI:#13336394   24/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:21:04 UTC Syncing #13336377 0x5c96…a39c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#11241654 LI:#13336396   24/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:21:11 UTC Syncing #13336378 0x18f0…0d09     0.20 blk/s   38.4 tx/s    4.7 Mgas/s      0+   17 Qed Ancient:#11241655 LI:#13336396   20/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:21:15 UTC Syncing #13336380 0x9cb9…e9fc     0.40 blk/s   17.4 tx/s    1.3 Mgas/s      0+   15 Qed Ancient:#11241657 LI:#13336396   20/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:21:21 UTC Syncing #13336382 0x3a8c…3d3c     0.40 blk/s   56.0 tx/s    6.3 Mgas/s      0+   13 Qed Ancient:#11241659 LI:#13336396   20/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:21:26 UTC Syncing #13336384 0x229e…7470     0.40 blk/s   49.6 tx/s    4.7 Mgas/s      0+   11 Qed Ancient:#11241661 LI:#13336396   20/25 peers    359 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:21:31 UTC Syncing #13336385 0xbf30…05be     0.20 blk/s   20.2 tx/s    1.8 Mgas/s      0+   11 Qed Ancient:#11241662 LI:#13336397   20/25 peers    640 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:21:37 UTC Syncing #13336385 0xbf30…05be     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#11241662 LI:#13336397   20/25 peers    640 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:21:42 UTC Syncing #13336387 0xf0a7…9c12     0.40 blk/s   72.0 tx/s    7.3 Mgas/s      0+    9 Qed Ancient:#11241664 LI:#13336397   20/25 peers    640 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:21:47 UTC Syncing #13336389 0xf72a…c7de     0.40 blk/s   38.6 tx/s    4.0 Mgas/s      0+    8 Qed Ancient:#11241667 LI:#13336398   20/25 peers    641 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:21:52 UTC Syncing #13336390 0xfd54…5375     0.20 blk/s   38.0 tx/s    4.0 Mgas/s      0+    8 Qed Ancient:#11241668 LI:#13336399   20/25 peers    641 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:21:58 UTC Syncing #13336392 0x0065…e393     0.40 blk/s   30.2 tx/s    3.1 Mgas/s      0+    6 Qed Ancient:#11241670 LI:#13336399   20/25 peers    642 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:22:03 UTC Syncing #13336393 0x4b01…e146     0.20 blk/s   18.2 tx/s    1.6 Mgas/s      0+    5 Qed Ancient:#11241671 LI:#13336399   20/25 peers    642 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:22:04 UTC Syncing #13336393 0x4b01…e146     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11241671 LI:#13336399   20/25 peers    642 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:22:09 UTC Syncing #13336393 0x4b01…e146     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11241671 LI:#13336399   19/25 peers    642 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:22:14 UTC Syncing #13336393 0x4b01…e146     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11241671 LI:#13336399   19/25 peers    642 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:22:19 UTC Syncing #13336394 0xf609…e7c4     0.20 blk/s   72.2 tx/s    5.4 Mgas/s      0+    4 Qed Ancient:#11241672 LI:#13336399   19/25 peers      1 MiB chain  859 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:22:24 UTC Syncing #13336394 0xf609…e7c4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11241672 LI:#13336400   15/25 peers      1 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:22:29 UTC Syncing #13336394 0xf609…e7c4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11241672 LI:#13336400   16/25 peers      1 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:22:36 UTC Syncing #13336394 0xf609…e7c4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11241672 LI:#13336401   16/25 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:22:41 UTC Syncing #13336396 0xcd28…c7e3     0.40 blk/s   81.6 tx/s    8.7 Mgas/s      0+    4 Qed Ancient:#11241674 LI:#13336401   17/25 peers      1 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:23:26 UTC Imported #13336403 0x85da…76b5 (89 txs, 10.31 Mgas, 2281 ms, 148.86 KiB)
2021-10-01 23:23:42 UTC  Ancient:#11243978 AB:#11245090   14/25 peers    573 KiB chain  490 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:23:42 UTC  Ancient:#11243943 AB:#11245090   14/25 peers    0 bytes chain  490 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:25:06 UTC Syncing #13336403 0x85da…76b5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#11245090 LI:#13336415    2/25 peers     18 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:25:06 UTC Syncing #13336403 0x85da…76b5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#11245090 LI:#13336415    2/25 peers     74 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:25:08 UTC Syncing #13336403 0x85da…76b5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#11245090 LI:#13336415    2/25 peers     74 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:25:13 UTC Syncing #13336403 0x85da…76b5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#11245090 LI:#13336415    2/25 peers     74 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:25:18 UTC Syncing #13336403 0x85da…76b5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#11245090 LI:#13336415    2/25 peers     74 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
