2021-10-01 23:30:02 UTC Syncing #13336422 0x327e…1398     0.20 blk/s   19.8 tx/s    2.4 Mgas/s      0+   14 Qed Ancient:#11246053 LI:#13336437    5/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:30:02 UTC Syncing #13336422 0x327e…1398     0.10 blk/s    9.9 tx/s    1.2 Mgas/s      0+   14 Qed Ancient:#11246053 LI:#13336437    5/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:30:04 UTC Syncing #13336422 0x327e…1398     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#11246053 LI:#13336437    3/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:30:09 UTC Syncing #13336423 0x3d00…f259     0.20 blk/s   35.4 tx/s    3.6 Mgas/s      0+   13 Qed Ancient:#11246054 LI:#13336437    2/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:30:16 UTC Syncing #13336424 0xb0f4…d4de     0.20 blk/s   26.2 tx/s    1.8 Mgas/s      0+   12 Qed Ancient:#11246055 LI:#13336437    2/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:30:19 UTC Syncing #13336424 0xb0f4…d4de     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#11246055 LI:#13336437    2/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:30:24 UTC Syncing #13336424 0xb0f4…d4de     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#11246055 LI:#13336437    2/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:30:29 UTC Syncing #13336424 0xb0f4…d4de     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#11246055 LI:#13336442    4/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:30:34 UTC Syncing #13336424 0xb0f4…d4de     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#11246055 LI:#13336442    6/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:30:40 UTC Syncing #13336425 0x12f0…94ff     0.20 blk/s   73.8 tx/s    5.5 Mgas/s      0+   17 Qed Ancient:#11246056 LI:#13336443    7/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:30:46 UTC Syncing #13336426 0x9957…6cb4     0.20 blk/s   15.8 tx/s    1.7 Mgas/s      0+   16 Qed Ancient:#11246057 LI:#13336443    7/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
