2021-10-01 23:34:51 UTC Syncing #13336453 0xb936…85e5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#11246089 LI:#13336466    3/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:34:58 UTC Syncing #13336454 0xe47f…a330     0.20 blk/s   44.2 tx/s    5.9 Mgas/s      0+   12 Qed Ancient:#11246090 LI:#13336466    3/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:35:04 UTC Syncing #13336455 0xc6b3…c5a7     0.20 blk/s   15.2 tx/s    1.4 Mgas/s      0+   11 Qed Ancient:#11246091 LI:#13336466    3/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:35:04 UTC Syncing #13336456 0x1742…fc84     0.20 blk/s   41.8 tx/s    3.7 Mgas/s      0+   10 Qed Ancient:#11246092 LI:#13336466    3/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:35:10 UTC Syncing #13336457 0xf670…7fd8     0.20 blk/s   35.8 tx/s    4.8 Mgas/s      0+    9 Qed Ancient:#11246093 LI:#13336466    3/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:35:15 UTC Syncing #13336457 0xf670…7fd8     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#11246093 LI:#13336466    3/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:35:20 UTC Syncing #13336458 0x4d64…3b25     0.40 blk/s   98.8 tx/s    6.8 Mgas/s      0+    7 Qed Ancient:#11246095 LI:#13336466    3/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:35:22 UTC Reorg to #13336459 0x17de…cdce (0x4d64…3b25 #13336457 0xf670…7fd8 0x7dcb…15b6)
2021-10-01 23:35:30 UTC Syncing #13336461 0xfe25…2f30     0.30 blk/s   59.4 tx/s    4.9 Mgas/s      0+    5 Qed Ancient:#11246098 LI:#13336467    3/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:35:30 UTC Syncing #13336460 0x192a…c3b0     0.40 blk/s   78.0 tx/s    7.0 Mgas/s      0+    6 Qed Ancient:#11246097 LI:#13336467    3/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:36:14 UTC  Ancient:#11248065 AB:#11249358    0/25 peers    0 bytes chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:36:28 UTC Imported #13336468 0x1103…515e (484 txs, 30.00 Mgas, 13305 ms, 147.56 KiB)
2021-10-01 23:36:49 UTC  Ancient:#11248793 AB:#11249358    0/25 peers      4 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:37:23 UTC  Ancient:#11249358 AB:#11249358    0/25 peers      4 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:37:29 UTC Syncing #13336468 0x1103…515e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11249358 LI:#13336475    2/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:37:34 UTC Syncing #13336468 0x1103…515e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11249358 LI:#13336475    4/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:37:41 UTC Syncing #13336468 0x1103…515e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11249358 LI:#13336475    6/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:37:44 UTC Syncing #13336468 0x1103…515e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11249358 LI:#13336475    6/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:37:48 UTC Syncing #13336468 0x1103…515e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11249358 LI:#13336475    4/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:37:54 UTC Syncing #13336468 0x1103…515e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11249358 LI:#13336476    3/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:37:59 UTC Syncing #13336468 0x1103…515e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11249358 LI:#13336479    3/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:38:09 UTC Syncing #13336469 0xec34…0fb9     0.20 blk/s   47.6 tx/s    4.9 Mgas/s      0+    9 Qed Ancient:#11249359 LI:#13336479    3/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:38:09 UTC Syncing #13336469 0xec34…0fb9     0.10 blk/s   23.8 tx/s    2.4 Mgas/s      0+    9 Qed Ancient:#11249359 LI:#13336479    3/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:38:16 UTC Syncing #13336469 0xec34…0fb9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#11249359 LI:#13336479    4/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:38:30 UTC Syncing #13336470 0x8462…0f82     0.10 blk/s    9.5 tx/s    0.7 Mgas/s      0+    8 Qed Ancient:#11249360 LI:#13336479    5/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:38:30 UTC Syncing #13336470 0x8462…0f82     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11249360 LI:#13336479    5/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:38:30 UTC Syncing #13336470 0x8462…0f82     0.20 blk/s   19.0 tx/s    1.3 Mgas/s      0+    8 Qed Ancient:#11249360 LI:#13336479    5/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:38:43 UTC Syncing #13336471 0x7c14…91f5     0.10 blk/s    8.5 tx/s    0.9 Mgas/s      0+    7 Qed Ancient:#11249361 LI:#13336479    4/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:38:43 UTC Syncing #13336471 0x7c14…91f5     0.20 blk/s   17.0 tx/s    1.8 Mgas/s      0+    7 Qed Ancient:#11249361 LI:#13336479    4/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:38:43 UTC Syncing #13336471 0x7c14…91f5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11249361 LI:#13336479    4/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:38:48 UTC Syncing #13336471 0x7c14…91f5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#11249361 LI:#13336482    4/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:38:53 UTC Syncing #13336473 0x9b4e…5127     0.40 blk/s   57.2 tx/s    4.0 Mgas/s      0+    8 Qed Ancient:#11249363 LI:#13336482    3/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:39:00 UTC Syncing #13336473 0x9b4e…5127     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11249363 LI:#13336482    3/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:39:04 UTC Syncing #13336473 0x9b4e…5127     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11249363 LI:#13336482    3/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:39:08 UTC Syncing #13336473 0x9b4e…5127     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11249363 LI:#13336482    1/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:39:13 UTC Syncing #13336473 0x9b4e…5127     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11249363 LI:#13336482    2/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:39:26 UTC Syncing #13336474 0x638a…e8f3     0.10 blk/s   40.4 tx/s    2.6 Mgas/s      0+    7 Qed Ancient:#11249364 LI:#13336482    3/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:39:26 UTC Syncing #13336474 0x638a…e8f3     0.20 blk/s   80.8 tx/s    5.3 Mgas/s      0+    7 Qed Ancient:#11249364 LI:#13336482    3/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:39:29 UTC Syncing #13336474 0x638a…e8f3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11249364 LI:#13336482    2/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:39:35 UTC Syncing #13336476 0xde83…c605     0.40 blk/s   42.4 tx/s    4.3 Mgas/s      0+    5 Qed Ancient:#11249366 LI:#13336482    2/25 peers      5 MiB chain  805 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:39:42 UTC Syncing #13336476 0xde83…c605     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11249366 LI:#13336482    2/25 peers      5 MiB chain  805 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:39:46 UTC Syncing #13336476 0xde83…c605     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#11249366 LI:#13336487    2/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:39:49 UTC Syncing #13336476 0xde83…c605     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#11249366 LI:#13336487    2/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:39:57 UTC Syncing #13336477 0x6ea1…2f76     0.20 blk/s   42.2 tx/s    4.0 Mgas/s      0+   10 Qed Ancient:#11249367 LI:#13336488    2/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:40:04 UTC Syncing #13336478 0x7367…2014     0.10 blk/s    8.3 tx/s    0.7 Mgas/s      0+    9 Qed Ancient:#11249368 LI:#13336488    2/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:40:04 UTC Syncing #13336478 0x7367…2014     0.20 blk/s   16.6 tx/s    1.4 Mgas/s      0+    9 Qed Ancient:#11249368 LI:#13336488    2/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:40:09 UTC Syncing #13336479 0xb933…8383     0.20 blk/s   23.2 tx/s    1.2 Mgas/s      0+    8 Qed Ancient:#11249369 LI:#13336488    1/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:40:14 UTC Syncing #13336479 0xb933…8383     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#11249369 LI:#13336489    1/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:40:19 UTC Syncing #13336479 0xb933…8383     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#11249369 LI:#13336490    2/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:40:31 UTC Syncing #13336481 0x4a04…1169     0.20 blk/s   29.9 tx/s    2.2 Mgas/s      0+    8 Qed Ancient:#11249371 LI:#13336490    3/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:40:31 UTC Syncing #13336481 0x4a04…1169     0.40 blk/s   59.8 tx/s    4.5 Mgas/s      0+    8 Qed Ancient:#11249371 LI:#13336490    3/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:40:38 UTC Syncing #13336482 0xc7c9…9899     0.20 blk/s   17.6 tx/s    1.6 Mgas/s      0+    7 Qed Ancient:#11249372 LI:#13336490    3/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:40:43 UTC Syncing #13336482 0xc7c9…9899     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11249372 LI:#13336490    3/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 23:40:44 UTC Syncing #13336482 0xc7c9…9899     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11249372 LI:#13336491    3/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
