2021-09-22 00:39:24 UTC Syncing #13272423 0xbddc…9a8b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#5603162 LI:#13272430   32/50 peers      1 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:39:29 UTC Syncing #13272423 0xbddc…9a8b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#5603162 LI:#13272430   32/50 peers      1 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:39:34 UTC Syncing #13272423 0xbddc…9a8b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#5603162 LI:#13272430   32/50 peers      1 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:39:39 UTC Syncing #13272424 0x4eb6…c6ac     0.20 blk/s   40.8 tx/s    5.0 Mgas/s      0+    7 Qed Ancient:#5603164 LI:#13272432   32/50 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:39:44 UTC Syncing #13272425 0x8195…d0d5     0.20 blk/s   18.0 tx/s    1.7 Mgas/s      0+    7 Qed Ancient:#5603165 LI:#13272433   32/50 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:39:49 UTC Syncing #13272425 0x8195…d0d5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5603165 LI:#13272433   32/50 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:39:54 UTC Syncing #13272426 0x3761…9e68     0.20 blk/s   28.4 tx/s    2.6 Mgas/s      0+    6 Qed Ancient:#5603166 LI:#13272433   32/50 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:39:59 UTC Syncing #13272427 0xc6bf…8543     0.20 blk/s   17.2 tx/s    1.4 Mgas/s      0+    6 Qed Ancient:#5603167 LI:#13272434   32/50 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:40:04 UTC Syncing #13272428 0x22d3…2bd3     0.20 blk/s   18.0 tx/s    1.8 Mgas/s      0+    5 Qed Ancient:#5603168 LI:#13272434   31/50 peers      1 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:40:09 UTC Syncing #13272428 0x22d3…2bd3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#5603168 LI:#13272434   31/50 peers      1 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:40:14 UTC Syncing #13272428 0x22d3…2bd3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#5603168 LI:#13272434   32/50 peers      1 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:40:19 UTC Syncing #13272429 0x6892…3a11     0.20 blk/s   44.2 tx/s    3.8 Mgas/s      0+    5 Qed Ancient:#5603169 LI:#13272435   32/50 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:40:24 UTC Syncing #13272430 0x413f…6982     0.20 blk/s   13.4 tx/s    1.1 Mgas/s      0+    4 Qed Ancient:#5603170 LI:#13272435   31/50 peers      1 MiB chain  965 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:40:29 UTC Syncing #13272430 0x413f…6982     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#5603170 LI:#13272435   31/50 peers      1 MiB chain  965 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
