2021-09-22 00:34:04 UTC Syncing #13272398 0x4570…345e     0.40 blk/s   53.0 tx/s    2.9 Mgas/s      0+   12 Qed Ancient:#5599250 LI:#13272409   41/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:34:09 UTC Syncing #13272398 0x4570…345e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#5599250 LI:#13272409   41/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:34:14 UTC Syncing #13272401 0xfb92…a568     0.60 blk/s  128.2 tx/s    8.4 Mgas/s      0+    9 Qed Ancient:#5599253 LI:#13272409   41/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:34:19 UTC Syncing #13272403 0xe66a…4436     0.40 blk/s   62.0 tx/s    4.2 Mgas/s      0+    7 Qed Ancient:#5599255 LI:#13272409   42/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:34:24 UTC Syncing #13272403 0xe66a…4436     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5599255 LI:#13272409   42/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:34:29 UTC Syncing #13272404 0x89c3…cedf     0.20 blk/s   70.8 tx/s    6.0 Mgas/s      0+    6 Qed Ancient:#5599256 LI:#13272409   43/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:34:34 UTC Reorg to #13272406 0x7acd…ce6a (0xb425…acc8 #13272404 0x89c3…cedf 0x5034…3fe8)
2021-09-22 00:34:55 UTC Reorg to #13272409 0x1cbf…6a06 (0x78de…de82 #13272407 0x6382…2a75 0x86bf…d73e)
2021-09-22 00:35:02 UTC  Ancient:#5599868 AB:#5603213   41/50 peers      1 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:35:02 UTC Imported #13272409 0x1cbf…6a06 (313 txs, 29.66 Mgas, 6839 ms, 176.52 KiB)
2021-09-22 00:35:27 UTC Imported #13272410 0x5d94…b8a1 (526 txs, 29.73 Mgas, 14246 ms, 142.42 KiB)
