2021-09-22 00:43:59 UTC Syncing #13272440 0x4096…52ec     0.20 blk/s   74.4 tx/s    6.0 Mgas/s      0+    7 Qed Ancient:#5606847 LI:#13272448    3/25 peers    640 KiB chain  877 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:44:04 UTC Syncing #13272440 0x4096…52ec     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5606847 LI:#13272448    3/25 peers    640 KiB chain  877 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:44:09 UTC Syncing #13272440 0x4096…52ec     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5606847 LI:#13272448    4/25 peers    640 KiB chain  877 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:44:19 UTC Syncing #13272441 0x1e96…94b9     0.20 blk/s   34.4 tx/s    2.9 Mgas/s      0+    6 Qed Ancient:#5606848 LI:#13272448    5/25 peers    640 KiB chain  630 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:44:20 UTC Syncing #13272441 0x1e96…94b9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5606848 LI:#13272449    5/25 peers    640 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:44:25 UTC Syncing #13272441 0x1e96…94b9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5606848 LI:#13272449    4/25 peers    640 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:44:30 UTC Syncing #13272442 0xa22b…629b     0.20 blk/s   40.8 tx/s    3.5 Mgas/s      0+    6 Qed Ancient:#5606849 LI:#13272449    1/25 peers    641 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:44:34 UTC Syncing #13272443 0x3ddb…e2b5     0.20 blk/s   10.4 tx/s    0.8 Mgas/s      0+    6 Qed Ancient:#5606850 LI:#13272450    1/25 peers    641 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:44:39 UTC Syncing #13272445 0x11cf…08a6     0.40 blk/s   27.0 tx/s    2.5 Mgas/s      0+    4 Qed Ancient:#5606852 LI:#13272450    3/25 peers      1 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:45:08 UTC Imported #13272451 0x5815…cdd8 (107 txs, 6.51 Mgas, 1024 ms, 22.91 KiB)
2021-09-22 00:45:17 UTC  Ancient:#5607443 AB:#5609563    5/25 peers      1 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:45:17 UTC  Ancient:#5608233 AB:#5609563    5/25 peers      2 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:45:54 UTC  Ancient:#5609136 AB:#5611117    8/25 peers      9 MiB chain  444 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:46:24 UTC Syncing #13272451 0x5815…cdd8     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#5609136 LI:#13272457    6/25 peers      5 MiB chain  983 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:46:45 UTC Syncing #13272452 0x091c…38d4     0.05 blk/s   13.7 tx/s    1.4 Mgas/s      0+    5 Qed Ancient:#5609562 LI:#13272457    6/25 peers      5 MiB chain  983 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:46:58 UTC Syncing #13272452 0x091c…38d4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#5610027 LI:#13272457    5/25 peers      7 MiB chain  983 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:47:33 UTC Syncing #13272453 0xa864…a6db     0.03 blk/s    4.1 tx/s    0.6 Mgas/s      0+    6 Qed Ancient:#5610145 LI:#13272459    9/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:47:33 UTC Syncing #13272452 0x091c…38d4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#5610028 LI:#13272459    9/25 peers     92 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:47:52 UTC Syncing #13272453 0xa864…a6db     0.05 blk/s    7.0 tx/s    1.0 Mgas/s      0+    7 Qed Ancient:#5610891 LI:#13272460    5/25 peers    0 bytes chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:48:12 UTC Syncing #13272453 0xa864…a6db     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#5611952 LI:#13272461    4/25 peers   432 bytes chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:48:36 UTC Syncing #13272453 0xa864…a6db     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#5612997 LI:#13272462    4/25 peers   432 bytes chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:48:36 UTC Syncing #13272453 0xa864…a6db     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#5613373 LI:#13272462    4/25 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:48:48 UTC Syncing #13272454 0x1765…c8eb     0.28 blk/s    4.5 tx/s    0.6 Mgas/s      0+    7 Qed Ancient:#5613373 LI:#13272462    4/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:48:48 UTC Syncing #13272454 0x1765…c8eb     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5613373 LI:#13272462    4/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:49:14 UTC Syncing #13272455 0xaa32…edf8     0.16 blk/s   40.3 tx/s    3.5 Mgas/s      0+    6 Qed Ancient:#5613373 LI:#13272462    4/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:49:14 UTC Syncing #13272457 0xf7ba…ec84     0.11 blk/s    6.1 tx/s    0.6 Mgas/s      0+    4 Qed Ancient:#5613373 LI:#13272463    4/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:49:20 UTC Syncing #13272457 0xf7ba…ec84     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5613373 LI:#13272465    4/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:49:28 UTC Syncing #13272457 0xf7ba…ec84     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5613373 LI:#13272465    4/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:49:30 UTC Syncing #13272457 0xf7ba…ec84     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5613373 LI:#13272465    4/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:49:35 UTC Syncing #13272457 0xf7ba…ec84     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5613373 LI:#13272465    3/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:49:40 UTC Syncing #13272457 0xf7ba…ec84     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5613373 LI:#13272465    4/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:49:55 UTC Syncing #13272458 0x96e7…1312     0.07 blk/s   30.9 tx/s    2.0 Mgas/s      0+    6 Qed Ancient:#5613374 LI:#13272465    7/25 peers    215 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:49:55 UTC Syncing #13272457 0xf7ba…ec84     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5613373 LI:#13272465    7/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:49:55 UTC Syncing #13272458 0x96e7…1312     0.10 blk/s   46.4 tx/s    3.0 Mgas/s      0+    6 Qed Ancient:#5613374 LI:#13272465    7/25 peers    215 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:50:04 UTC Syncing #13272458 0x96e7…1312     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#5613374 LI:#13272465    7/25 peers    215 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:50:05 UTC Syncing #13272458 0x96e7…1312     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5613374 LI:#13272466    4/25 peers    215 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:50:10 UTC Syncing #13272458 0x96e7…1312     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5613374 LI:#13272466    4/25 peers    215 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:50:15 UTC Syncing #13272458 0x96e7…1312     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5613374 LI:#13272466    6/25 peers    215 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:50:24 UTC Syncing #13272459 0xdbc0…aac6     0.20 blk/s   88.8 tx/s    5.9 Mgas/s      0+    7 Qed Ancient:#5613375 LI:#13272467    6/25 peers    215 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:50:25 UTC Syncing #13272459 0xdbc0…aac6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5613375 LI:#13272467    6/25 peers    215 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:50:30 UTC Syncing #13272459 0xdbc0…aac6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#5613375 LI:#13272468    6/25 peers    215 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:50:35 UTC Syncing #13272459 0xdbc0…aac6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#5613375 LI:#13272469    7/25 peers    215 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:50:40 UTC Syncing #13272459 0xdbc0…aac6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#5613375 LI:#13272469    9/25 peers    222 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:50:45 UTC Syncing #13272459 0xdbc0…aac6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#5613375 LI:#13272469    9/25 peers    222 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:50:50 UTC Syncing #13272459 0xdbc0…aac6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#5613375 LI:#13272469   10/25 peers    222 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:50:56 UTC Syncing #13272459 0xdbc0…aac6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#5613375 LI:#13272469   11/25 peers    222 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:51:01 UTC Syncing #13272459 0xdbc0…aac6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#5613375 LI:#13272469   11/25 peers    222 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:51:05 UTC Syncing #13272459 0xdbc0…aac6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#5613375 LI:#13272470   13/25 peers    222 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:51:10 UTC Syncing #13272459 0xdbc0…aac6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#5613375 LI:#13272471   13/25 peers    222 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:51:18 UTC Syncing #13272460 0xbcf6…05f3     0.20 blk/s   87.4 tx/s    6.0 Mgas/s      0+   10 Qed Ancient:#5613377 LI:#13272471   14/25 peers    363 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
