2021-10-02 00:31:38 UTC Syncing #13336695 0x8cd6…8743     0.30 blk/s   36.3 tx/s    2.9 Mgas/s      0+    7 Qed Ancient:#11264376 LI:#13336703    8/25 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:31:38 UTC Syncing #13336694 0xdfc8…3ac3     0.20 blk/s   56.8 tx/s    4.5 Mgas/s      0+   10 Qed Ancient:#11264373 LI:#13336703    8/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:31:43 UTC Syncing #13336695 0x8cd6…8743     0.40 blk/s   15.8 tx/s    1.2 Mgas/s      0+    8 Qed Ancient:#11264376 LI:#13336704    8/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:31:48 UTC Syncing #13336695 0x8cd6…8743     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11264376 LI:#13336704    8/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:31:53 UTC Syncing #13336695 0x8cd6…8743     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11264376 LI:#13336704    8/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:32:00 UTC Syncing #13336697 0xb85d…ed09     0.40 blk/s   75.4 tx/s    5.6 Mgas/s      0+    6 Qed Ancient:#11264378 LI:#13336704    9/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:32:13 UTC Syncing #13336697 0xb85d…ed09     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11264378 LI:#13336705    8/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:32:13 UTC Syncing #13336698 0xd58c…f876     0.10 blk/s   12.9 tx/s    0.9 Mgas/s      0+    7 Qed Ancient:#11264379 LI:#13336706    8/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:32:13 UTC Syncing #13336698 0xd58c…f876     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11264379 LI:#13336707    8/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:32:18 UTC Syncing #13336698 0xd58c…f876     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11264379 LI:#13336707   10/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:32:26 UTC Syncing #13336699 0xd566…1b61     0.20 blk/s   31.8 tx/s    2.4 Mgas/s      0+    7 Qed Ancient:#11264380 LI:#13336707   11/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:32:31 UTC Syncing #13336700 0xc0dd…11d6     0.20 blk/s    8.0 tx/s    0.7 Mgas/s      0+    6 Qed Ancient:#11264381 LI:#13336707   11/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:32:33 UTC Syncing #13336700 0xc0dd…11d6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11264381 LI:#13336708   10/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:32:38 UTC Syncing #13336700 0xc0dd…11d6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11264381 LI:#13336708   11/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:32:43 UTC Syncing #13336700 0xc0dd…11d6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11264381 LI:#13336709    9/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:32:48 UTC Syncing #13336700 0xc0dd…11d6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11264381 LI:#13336710   11/25 peers      8 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:32:53 UTC Syncing #13336700 0xc0dd…11d6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#11264381 LI:#13336711   11/25 peers      7 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:33:02 UTC Syncing #13336701 0xceb9…0836     0.20 blk/s   67.3 tx/s    6.0 Mgas/s      0+    9 Qed Ancient:#11264382 LI:#13336711   11/25 peers      7 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:33:03 UTC Syncing #13336701 0xceb9…0836     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#11264382 LI:#13336712   11/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:33:08 UTC Syncing #13336701 0xceb9…0836     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#11264382 LI:#13336712   12/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:33:18 UTC Syncing #13336702 0x25e9…9409     0.20 blk/s   47.4 tx/s    4.6 Mgas/s      0+    9 Qed Ancient:#11264384 LI:#13336712   12/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:33:25 UTC Syncing #13336704 0x114b…e276     0.20 blk/s   16.0 tx/s    1.0 Mgas/s      0+    8 Qed Ancient:#11264386 LI:#13336713   12/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:33:25 UTC Syncing #13336703 0xfb26…7efa     0.20 blk/s   14.2 tx/s    1.0 Mgas/s      0+    9 Qed Ancient:#11264385 LI:#13336713   12/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:33:30 UTC Syncing #13336704 0x114b…e276     0.20 blk/s   17.8 tx/s    0.9 Mgas/s      0+    8 Qed Ancient:#11264386 LI:#13336713   12/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:33:33 UTC Syncing #13336704 0x114b…e276     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11264386 LI:#13336713   12/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:33:38 UTC Syncing #13336704 0x114b…e276     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11264386 LI:#13336713   12/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
