2021-10-02 00:25:33 UTC Syncing #13336670 0xf791…1198     0.20 blk/s   37.4 tx/s    4.3 Mgas/s      0+   11 Qed Ancient:#11260778 LI:#13336682   22/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:25:38 UTC Syncing #13336672 0x464a…3074     0.40 blk/s   28.2 tx/s    3.0 Mgas/s      0+    9 Qed Ancient:#11260780 LI:#13336682   24/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:25:43 UTC Syncing #13336675 0x71ed…c346     0.60 blk/s   70.0 tx/s    5.5 Mgas/s      0+    6 Qed Ancient:#11260783 LI:#13336682   23/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:25:48 UTC Syncing #13336675 0x71ed…c346     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11260783 LI:#13336682   22/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:25:53 UTC Syncing #13336677 0xa6cc…54b3     0.40 blk/s   76.6 tx/s    6.1 Mgas/s      0+    4 Qed Ancient:#11260785 LI:#13336682   24/25 peers      5 MiB chain  539 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:25:58 UTC Syncing #13336677 0xa6cc…54b3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11260785 LI:#13336683   24/25 peers      5 MiB chain  540 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:26:29 UTC  Ancient:#11260791 AB:#11264203   26/50 peers      5 MiB chain  252 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:26:56 UTC Imported #13336687 0x85f4…9770 (198 txs, 19.98 Mgas, 5642 ms, 118.46 KiB)
2021-10-02 00:27:05 UTC  Ancient:#11262187 AB:#11264203   19/25 peers    759 KiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:27:15 UTC Imported #13336688 0x580e…d10d (292 txs, 21.69 Mgas, 11057 ms, 117.33 KiB)
2021-10-02 00:28:29 UTC  Ancient:#11263963 AB:#11264203   15/25 peers   672 bytes chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:28:47 UTC Syncing #13336689 0x146a…bb42     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11264206 LI:#13336692   15/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:28:47 UTC Syncing #13336689 0x146a…bb42     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11264249 LI:#13336692   15/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:29:46 UTC Syncing #13336689 0x146a…bb42     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11264368 LI:#13336693    8/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:29:52 UTC Syncing #13336689 0x146a…bb42     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11264368 LI:#13336694    8/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:29:52 UTC Syncing #13336689 0x146a…bb42     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11264368 LI:#13336694    8/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:30:03 UTC Syncing #13336689 0x146a…bb42     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11264368 LI:#13336695    8/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:30:03 UTC Syncing #13336689 0x146a…bb42     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11264368 LI:#13336695    8/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:30:09 UTC Syncing #13336689 0x146a…bb42     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11264368 LI:#13336696    8/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:30:13 UTC Syncing #13336689 0x146a…bb42     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#11264368 LI:#13336697    8/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:30:18 UTC Syncing #13336689 0x146a…bb42     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#11264368 LI:#13336697    8/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:30:23 UTC Syncing #13336689 0x146a…bb42     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#11264368 LI:#13336698    8/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:30:28 UTC Syncing #13336689 0x146a…bb42     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#11264368 LI:#13336698    8/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:30:33 UTC Syncing #13336689 0x146a…bb42     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#11264368 LI:#13336698    7/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
