2021-10-02 00:39:58 UTC  Ancient:#11266293 AB:#11268196   10/25 peers      3 MiB chain  592 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:40:30 UTC  Ancient:#11266294 AB:#11269083    8/25 peers      3 MiB chain  447 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:41:25 UTC  Ancient:#11266567 AB:#11269611    9/25 peers      8 MiB chain  758 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:41:25 UTC  Ancient:#11266567 AB:#11269611    9/25 peers      8 MiB chain  758 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:41:25 UTC  Ancient:#11266298 AB:#11269611    9/25 peers      4 MiB chain  758 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:41:33 UTC Syncing #13336739 0x8fbe…e597     0.06 blk/s   13.4 tx/s    1.1 Mgas/s      0+    5 Qed Ancient:#11266567 LI:#13336745    7/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:41:41 UTC Syncing #13336740 0x8aca…8070     0.20 blk/s    9.0 tx/s    0.9 Mgas/s      0+    4 Qed Ancient:#11266568 LI:#13336745    6/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:41:43 UTC Syncing #13336740 0x8aca…8070     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11266568 LI:#13336745    6/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:41:48 UTC Syncing #13336740 0x8aca…8070     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11266568 LI:#13336745    6/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:42:23 UTC  Ancient:#11266572 AB:#11269885    5/25 peers      6 MiB chain  246 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:42:33 UTC Syncing #13336743 0x1e8c…f218     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11266572 LI:#13336748    4/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:42:38 UTC Syncing #13336743 0x1e8c…f218     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11266572 LI:#13336748    5/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:42:43 UTC Syncing #13336743 0x1e8c…f218     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11266572 LI:#13336748    8/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:42:48 UTC Syncing #13336743 0x1e8c…f218     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11266572 LI:#13336750    8/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:42:53 UTC Syncing #13336744 0x4d4d…c854     0.20 blk/s   69.4 tx/s    6.0 Mgas/s      0+    5 Qed Ancient:#11266573 LI:#13336750    7/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:43:03 UTC Syncing #13336745 0x302b…020a     0.20 blk/s   23.6 tx/s    2.9 Mgas/s      0+    5 Qed Ancient:#11266574 LI:#13336751    7/25 peers      2 MiB chain  867 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:43:03 UTC Syncing #13336745 0x302b…020a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11266574 LI:#13336751    7/25 peers      2 MiB chain  867 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:43:48 UTC Imported #13336751 0x5169…467f (113 txs, 8.64 Mgas, 2510 ms, 64.36 KiB)
2021-10-02 00:44:05 UTC  Ancient:#11269599 AB:#11269885    6/25 peers    0 bytes chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:44:05 UTC  Ancient:#11269599 AB:#11269885    6/25 peers     74 KiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:44:42 UTC  Ancient:#11269885 AB:#11269885    5/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:46:19 UTC Syncing #13336752 0x2e22…aeda     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11269885 LI:#13336758    3/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:46:19 UTC Syncing #13336752 0x2e22…aeda     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11269885 LI:#13336758    3/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:46:27 UTC Syncing #13336752 0x2e22…aeda     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11269885 LI:#13336758    3/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:46:27 UTC Syncing #13336752 0x2e22…aeda     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11269885 LI:#13336758    3/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:46:40 UTC Syncing #13336752 0x2e22…aeda     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11269885 LI:#13336758    3/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:46:40 UTC Syncing #13336752 0x2e22…aeda     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11269885 LI:#13336758    3/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:46:43 UTC Syncing #13336752 0x2e22…aeda     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11269885 LI:#13336760    3/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:46:48 UTC Syncing #13336752 0x2e22…aeda     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11269885 LI:#13336760    3/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
