2021-10-02 00:46:40 UTC Syncing #13336752 0x2e22…aeda     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11269885 LI:#13336758    3/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:46:40 UTC Syncing #13336752 0x2e22…aeda     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#11269885 LI:#13336758    3/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:46:43 UTC Syncing #13336752 0x2e22…aeda     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11269885 LI:#13336760    3/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:46:48 UTC Syncing #13336752 0x2e22…aeda     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11269885 LI:#13336760    3/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:46:53 UTC Syncing #13336752 0x2e22…aeda     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#11269885 LI:#13336761    3/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:47:03 UTC Syncing #13336753 0xa481…148d     0.20 blk/s   62.6 tx/s    6.0 Mgas/s      0+    8 Qed Ancient:#11269885 LI:#13336761    3/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:47:03 UTC Syncing #13336753 0xa481…148d     0.10 blk/s   31.3 tx/s    3.0 Mgas/s      0+    8 Qed Ancient:#11269885 LI:#13336761    3/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:47:08 UTC Syncing #13336753 0xa481…148d     0.20 blk/s   61.8 tx/s    6.0 Mgas/s      0+    7 Qed Ancient:#11269885 LI:#13336761    3/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:47:13 UTC Syncing #13336753 0xa481…148d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11269885 LI:#13336761    3/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:47:18 UTC Syncing #13336753 0xa481…148d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11269885 LI:#13336761    3/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:47:32 UTC Syncing #13336755 0x76ea…e1eb     0.20 blk/s   13.2 tx/s    1.8 Mgas/s      0+    5 Qed Ancient:#11269885 LI:#13336761    3/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:47:32 UTC Syncing #13336755 0x76ea…e1eb     0.40 blk/s   26.4 tx/s    3.6 Mgas/s      0+    5 Qed Ancient:#11269885 LI:#13336761    3/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:47:42 UTC Syncing #13336755 0x76ea…e1eb     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11269885 LI:#13336761    3/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:47:42 UTC Syncing #13336755 0x76ea…e1eb     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11269885 LI:#13336761    3/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:47:53 UTC Syncing #13336756 0x7e53…9e06     0.10 blk/s   29.2 tx/s    2.2 Mgas/s      0+    4 Qed Ancient:#11269885 LI:#13336761    3/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:47:53 UTC Syncing #13336756 0x7e53…9e06     0.20 blk/s   58.4 tx/s    4.4 Mgas/s      0+    4 Qed Ancient:#11269885 LI:#13336761    3/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:47:53 UTC Syncing #13336756 0x7e53…9e06     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11269885 LI:#13336761    3/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:48:03 UTC Syncing #13336757 0xe178…8e84     0.10 blk/s   10.7 tx/s    1.0 Mgas/s      0+    5 Qed Ancient:#11269885 LI:#13336763    3/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:48:08 UTC Syncing #13336757 0xe178…8e84     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11269885 LI:#13336763    3/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
