2021-05-09 11:52:53 UTC Syncing #12399829 0x6714…fc0f     0.20 blk/s   51.6 tx/s    3.0 Mgas/s      0+  177 Qed Ancient:#12154978 LI:#12400005   37/50 peers      4 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:53:01 UTC Syncing #12399830 0x2e40…66f1     0.12 blk/s   29.2 tx/s    1.7 Mgas/s      0+  177 Qed Ancient:#12155239 LI:#12400006   37/50 peers      8 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:53:08 UTC Syncing #12399830 0x2e40…66f1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  177 Qed Ancient:#12155239 LI:#12400006   37/50 peers      4 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:53:23 UTC Syncing #12399832 0x850d…6650     0.14 blk/s   48.5 tx/s    2.0 Mgas/s      0+  179 Qed Ancient:#12155279 LI:#12400009   36/50 peers      1 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:53:23 UTC Syncing #12399832 0x850d…6650     0.14 blk/s   48.5 tx/s    2.0 Mgas/s      0+  179 Qed Ancient:#12155279 LI:#12400009   36/50 peers      1 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:53:28 UTC Syncing #12399832 0x850d…6650     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  178 Qed Ancient:#12155279 LI:#12400009   36/50 peers      1 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:53:33 UTC Syncing #12399832 0x850d…6650     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  178 Qed Ancient:#12155279 LI:#12400009   36/50 peers      1 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:53:41 UTC Syncing #12399834 0xf6af…f74e     0.24 blk/s   40.1 tx/s    3.6 Mgas/s      0+  177 Qed Ancient:#12155300 LI:#12400009   36/50 peers      1 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:54:06 UTC Syncing #12399835 0x1743…e5e3     0.04 blk/s    2.4 tx/s    0.6 Mgas/s      0+  177 Qed Ancient:#12155368 LI:#12400010   26/50 peers      3 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:54:17 UTC Syncing #12399835 0x1743…e5e3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  179 Qed Ancient:#12155929 LI:#12400012   28/50 peers     18 MiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:54:23 UTC Syncing #12399835 0x1743…e5e3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  178 Qed Ancient:#12155929 LI:#12400012   28/50 peers     74 KiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:54:36 UTC Syncing #12399837 0x5099…8e00     0.15 blk/s   43.5 tx/s    2.3 Mgas/s      0+  179 Qed Ancient:#12156016 LI:#12400014   29/50 peers      2 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:54:36 UTC Syncing #12399837 0x5099…8e00     0.15 blk/s   43.5 tx/s    2.3 Mgas/s      0+  179 Qed Ancient:#12156016 LI:#12400014   29/50 peers      2 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:54:38 UTC Syncing #12399837 0x5099…8e00     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  178 Qed Ancient:#12156016 LI:#12400014   29/50 peers      2 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:54:44 UTC Syncing #12399837 0x5099…8e00     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  178 Qed Ancient:#12156016 LI:#12400014   30/50 peers      2 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:54:48 UTC Syncing #12399838 0x6e26…d1b6     0.20 blk/s   49.0 tx/s    3.0 Mgas/s      0+  177 Qed Ancient:#12156016 LI:#12400014   30/50 peers      2 MiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 11:54:56 UTC Syncing #12399839 0xe073…6f50     0.12 blk/s   23.0 tx/s    1.7 Mgas/s      0+  176 Qed Ancient:#12156344 LI:#12400014   30/50 peers      9 KiB chain   40 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
