2021-07-28 16:35:46 UTC Syncing #12915482 0x65f9…e62c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#7128258 LI:#12915488   28/50 peers      7 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:35:51 UTC Syncing #12915483 0x82cc…acac     0.20 blk/s   31.8 tx/s    3.0 Mgas/s      0+    5 Qed Ancient:#7128259 LI:#12915488   28/50 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:35:56 UTC Syncing #12915483 0x82cc…acac     0.20 blk/s   25.6 tx/s    3.0 Mgas/s      0+    4 Qed Ancient:#7128260 LI:#12915488   28/50 peers      7 MiB chain  914 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:36:01 UTC Syncing #12915483 0x82cc…acac     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#7128260 LI:#12915488   28/50 peers      1 KiB chain  914 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:36:06 UTC Syncing #12915484 0x28de…5669     0.20 blk/s   54.6 tx/s    3.0 Mgas/s      0+    5 Qed Ancient:#7128261 LI:#12915490   29/50 peers    144 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:36:11 UTC Syncing #12915485 0xac52…fa4d     0.20 blk/s   29.6 tx/s    3.0 Mgas/s      0+    4 Qed Ancient:#7128262 LI:#12915490   28/50 peers    144 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:36:16 UTC Syncing #12915485 0xac52…fa4d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#7128262 LI:#12915490   30/50 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:36:46 UTC  Ancient:#7128266 AB:#7131764   32/50 peers      3 MiB chain  222 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:37:16 UTC  Ancient:#7128268 AB:#7131764   32/50 peers      7 MiB chain  229 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:37:53 UTC  Ancient:#7128519 AB:#7131764   33/50 peers    0 bytes chain  255 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:38:45 UTC Syncing #12915493 0xc2ac…3bcd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#7130627 LI:#12915497   32/50 peers     25 MiB chain  987 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:38:45 UTC Syncing #12915493 0xc2ac…3bcd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#7130737 LI:#12915497   32/50 peers      1 MiB chain  987 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:38:45 UTC Syncing #12915493 0xc2ac…3bcd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#7130737 LI:#12915497   32/50 peers      1 MiB chain  987 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:38:51 UTC Syncing #12915493 0xc2ac…3bcd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#7130738 LI:#12915499   25/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:38:56 UTC Syncing #12915493 0xc2ac…3bcd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#7130738 LI:#12915499   24/25 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:39:03 UTC Syncing #12915493 0xc2ac…3bcd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#7130738 LI:#12915500   14/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:39:08 UTC Syncing #12915493 0xc2ac…3bcd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#7130738 LI:#12915500   13/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:39:12 UTC Syncing #12915493 0xc2ac…3bcd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#7130738 LI:#12915500   16/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:39:16 UTC Syncing #12915493 0xc2ac…3bcd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#7130738 LI:#12915500   13/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:39:21 UTC Syncing #12915493 0xc2ac…3bcd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#7130738 LI:#12915500   14/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:39:28 UTC Syncing #12915494 0x8a16…3296     0.20 blk/s   39.8 tx/s    3.0 Mgas/s      0+    5 Qed Ancient:#7130739 LI:#12915500   14/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
