2021-07-28 16:29:36 UTC  Ancient:#7126083 AB:#7129453   18/25 peers      3 MiB chain  323 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:30:06 UTC  Ancient:#7126085 AB:#7129453   22/25 peers      6 MiB chain  219 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:30:36 UTC  Ancient:#7126093 AB:#7129453   23/25 peers      3 MiB chain  257 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:31:09 UTC  Ancient:#7126094 AB:#7129453   22/25 peers      2 MiB chain  253 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:31:37 UTC  Ancient:#7126097 AB:#7129453   22/25 peers      4 MiB chain  332 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:32:06 UTC  Ancient:#7126099 AB:#7129453   23/25 peers      5 MiB chain  613 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:32:36 UTC  Ancient:#7126104 AB:#7129453   26/50 peers      7 MiB chain  184 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:33:03 UTC Imported #12915471 0x36c3…e01a (179 txs, 14.96 Mgas, 9241 ms, 63.44 KiB)
2021-07-28 16:33:10 UTC  Ancient:#7126709 AB:#7129453   25/25 peers      7 MiB chain  195 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:33:20 UTC Imported #12915473 0xdc5d…6c13 (154 txs, 14.99 Mgas, 6101 ms, 53.19 KiB)
2021-07-28 16:33:41 UTC  Ancient:#7128249 AB:#7131764   27/50 peers      2 MiB chain  296 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:33:51 UTC Syncing #12915474 0x0f87…430b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#7128249 LI:#12915479   27/50 peers      2 MiB chain 1018 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:33:56 UTC Syncing #12915474 0x0f87…430b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#7128249 LI:#12915480   26/50 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:34:01 UTC Syncing #12915475 0xba3c…e138     0.20 blk/s   31.2 tx/s    3.0 Mgas/s      0+    4 Qed Ancient:#7128250 LI:#12915480   27/50 peers      2 MiB chain  914 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:34:06 UTC Syncing #12915475 0xba3c…e138     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#7128250 LI:#12915480   25/25 peers      3 MiB chain  914 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:34:11 UTC Syncing #12915475 0xba3c…e138     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#7128250 LI:#12915480   25/25 peers      8 MiB chain  914 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:34:16 UTC Syncing #12915475 0xba3c…e138     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#7128250 LI:#12915482   26/50 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:34:21 UTC Syncing #12915475 0xba3c…e138     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#7128250 LI:#12915483   25/25 peers    797 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:34:26 UTC Syncing #12915475 0xba3c…e138     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#7128250 LI:#12915483   26/50 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:34:31 UTC Syncing #12915475 0xba3c…e138     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#7128250 LI:#12915483   27/50 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:34:36 UTC Syncing #12915475 0xba3c…e138     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#7128250 LI:#12915483   27/50 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:34:41 UTC Syncing #12915476 0x9d1b…a6d3     0.20 blk/s   80.4 tx/s    3.0 Mgas/s      0+    8 Qed Ancient:#7128250 LI:#12915483   27/50 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:34:46 UTC Syncing #12915476 0x9d1b…a6d3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#7128251 LI:#12915483   27/50 peers      4 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:34:51 UTC Syncing #12915477 0x812b…9eba     0.20 blk/s   40.0 tx/s    3.0 Mgas/s      0+    6 Qed Ancient:#7128252 LI:#12915483   27/50 peers      4 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:34:56 UTC Syncing #12915477 0x812b…9eba     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#7128252 LI:#12915485   27/50 peers      7 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
