2021-07-28 16:38:45 UTC Syncing #12915493 0xc2ac…3bcd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#7130737 LI:#12915497   32/50 peers      1 MiB chain  987 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:38:51 UTC Syncing #12915493 0xc2ac…3bcd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#7130738 LI:#12915499   25/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:38:56 UTC Syncing #12915493 0xc2ac…3bcd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#7130738 LI:#12915499   24/25 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:39:03 UTC Syncing #12915493 0xc2ac…3bcd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#7130738 LI:#12915500   14/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:39:08 UTC Syncing #12915493 0xc2ac…3bcd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#7130738 LI:#12915500   13/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:39:12 UTC Syncing #12915493 0xc2ac…3bcd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#7130738 LI:#12915500   16/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:39:16 UTC Syncing #12915493 0xc2ac…3bcd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#7130738 LI:#12915500   13/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:39:21 UTC Syncing #12915493 0xc2ac…3bcd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#7130738 LI:#12915500   14/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:39:28 UTC Syncing #12915494 0x8a16…3296     0.20 blk/s   39.8 tx/s    3.0 Mgas/s      0+    5 Qed Ancient:#7130739 LI:#12915500   14/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:39:31 UTC Syncing #12915494 0x8a16…3296     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#7130739 LI:#12915500   14/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:39:36 UTC Syncing #12915494 0x8a16…3296     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#7130739 LI:#12915500   13/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:39:41 UTC Syncing #12915494 0x8a16…3296     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#7130739 LI:#12915500   14/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:39:46 UTC Syncing #12915494 0x8a16…3296     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#7130739 LI:#12915501   18/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:39:51 UTC Syncing #12915494 0x8a16…3296     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#7130739 LI:#12915501   18/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:39:56 UTC Syncing #12915495 0x589b…67cc     0.20 blk/s   47.6 tx/s    3.0 Mgas/s      0+    6 Qed Ancient:#7130740 LI:#12915502   18/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:40:01 UTC Syncing #12915495 0x589b…67cc     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#7130740 LI:#12915502   15/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:40:06 UTC Syncing #12915495 0x589b…67cc     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#7130740 LI:#12915502   16/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:40:11 UTC Syncing #12915495 0x589b…67cc     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#7130740 LI:#12915502   15/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:40:16 UTC Syncing #12915496 0x723b…bc8d     0.20 blk/s   39.6 tx/s    3.0 Mgas/s      0+    5 Qed Ancient:#7130741 LI:#12915502   14/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:40:21 UTC Syncing #12915496 0x723b…bc8d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#7130741 LI:#12915502   16/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:40:26 UTC Syncing #12915497 0xb1f7…5d49     0.20 blk/s   31.8 tx/s    3.0 Mgas/s      0+    4 Qed Ancient:#7130742 LI:#12915502   18/25 peers      5 MiB chain  946 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:40:31 UTC Syncing #12915497 0xb1f7…5d49     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#7130742 LI:#12915502   19/25 peers      5 MiB chain  946 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:41:01 UTC  Ancient:#7130745 AB:#7134040   20/25 peers      5 MiB chain  257 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:41:11 UTC Imported #12915502 0x338d…65a1 (166 txs, 14.94 Mgas, 6213 ms, 84.73 KiB)
2021-07-28 16:41:25 UTC Imported #12915503 0x700a…251f (269 txs, 14.69 Mgas, 5487 ms, 75.19 KiB)
2021-07-28 16:41:33 UTC  Ancient:#7132641 AB:#7134412   14/25 peers      8 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:42:38 UTC  Ancient:#7133942 AB:#7136345   14/25 peers    0 bytes chain  688 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:42:50 UTC Syncing #12915504 0xd895…cc76     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#7134501 LI:#12915509   12/25 peers    0 bytes chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:42:51 UTC Syncing #12915504 0xd895…cc76     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#7134603 LI:#12915510   12/25 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:43:02 UTC Syncing #12915504 0xd895…cc76     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#7134893 LI:#12915510   12/25 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:43:10 UTC Syncing #12915504 0xd895…cc76     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#7134985 LI:#12915510   12/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:43:15 UTC Syncing #12915504 0xd895…cc76     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#7135060 LI:#12915511   12/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:43:28 UTC Syncing #12915504 0xd895…cc76     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#7135157 LI:#12915512   11/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:43:32 UTC Syncing #12915504 0xd895…cc76     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#7135157 LI:#12915512   11/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:43:36 UTC Syncing #12915504 0xd895…cc76     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#7135157 LI:#12915512   12/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:43:41 UTC Syncing #12915504 0xd895…cc76     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#7135157 LI:#12915512   16/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:43:47 UTC Syncing #12915504 0xd895…cc76     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#7135157 LI:#12915512   18/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:43:51 UTC Syncing #12915504 0xd895…cc76     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#7135157 LI:#12915514   17/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:43:56 UTC Syncing #12915504 0xd895…cc76     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#7135157 LI:#12915514   14/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:44:01 UTC Syncing #12915504 0xd895…cc76     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#7135157 LI:#12915514   17/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:44:06 UTC Syncing #12915504 0xd895…cc76     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#7135157 LI:#12915514   17/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:44:11 UTC Syncing #12915504 0xd895…cc76     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#7135157 LI:#12915515   15/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:44:16 UTC Syncing #12915504 0xd895…cc76     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#7135157 LI:#12915515   20/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-07-28 16:44:21 UTC Syncing #12915504 0xd895…cc76     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#7135157 LI:#12915516   19/25 peers      8 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
