2021-09-22 03:54:31 UTC Syncing #13273252 0x20a3…3048     0.40 blk/s   56.6 tx/s    6.7 Mgas/s      0+   15 Qed Ancient:#5690870 LI:#13273268    1/25 peers    901 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:54:37 UTC Syncing #13273255 0xe83d…5173     0.30 blk/s   30.5 tx/s    2.8 Mgas/s      0+   12 Qed Ancient:#5690873 LI:#13273268    1/25 peers    902 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:54:37 UTC Syncing #13273254 0x13ec…e8c8     0.40 blk/s   37.6 tx/s    2.9 Mgas/s      0+   13 Qed Ancient:#5690872 LI:#13273268    1/25 peers    901 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:54:45 UTC Syncing #13273256 0x715a…9085     0.40 blk/s   64.2 tx/s    6.2 Mgas/s      0+   11 Qed Ancient:#5690874 LI:#13273268    0/25 peers    902 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:54:46 UTC Syncing #13273258 0x83e0…45fe     0.40 blk/s   39.2 tx/s    3.3 Mgas/s      0+    9 Qed Ancient:#5690876 LI:#13273268    0/25 peers    903 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:54:56 UTC Syncing #13273258 0x83e0…45fe     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#5690876 LI:#13273268    0/25 peers    903 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:54:56 UTC Syncing #13273259 0xeeee…f03e     0.10 blk/s   43.7 tx/s    3.0 Mgas/s      0+    8 Qed Ancient:#5690877 LI:#13273268    0/25 peers    903 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:55:01 UTC Syncing #13273262 0xde99…6e1f     0.60 blk/s   61.6 tx/s    6.7 Mgas/s      0+    5 Qed Ancient:#5690880 LI:#13273268    0/25 peers      1 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:55:10 UTC Syncing #13273263 0x6c00…08cf     0.20 blk/s   12.8 tx/s    0.9 Mgas/s      0+    4 Qed Ancient:#5690881 LI:#13273268    0/25 peers      1 MiB chain  827 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:55:11 UTC Syncing #13273263 0x6c00…08cf     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#5690881 LI:#13273268    0/25 peers      1 MiB chain  827 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:55:41 UTC Imported #13273268 0x87bf…f43b (200 txs, 19.25 Mgas, 8301 ms, 151.03 KiB)
2021-09-22 03:55:41 UTC  Ancient:#5692918 AB:#5694542    0/25 peers    640 KiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:55:56 UTC Syncing #13273268 0x87bf…f43b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#5694542 LI:#13273277    1/25 peers     74 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:56:01 UTC Syncing #13273268 0x87bf…f43b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#5694542 LI:#13273277    1/25 peers     74 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:56:06 UTC Syncing #13273268 0x87bf…f43b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#5694542 LI:#13273277    1/25 peers     74 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:56:11 UTC Syncing #13273269 0x4daf…ed49     0.20 blk/s   77.2 tx/s    6.0 Mgas/s      0+    7 Qed Ancient:#5694544 LI:#13273277    1/25 peers    144 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:56:16 UTC Syncing #13273269 0x4daf…ed49     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5694544 LI:#13273277    1/25 peers    144 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:56:21 UTC Syncing #13273269 0x4daf…ed49     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5694544 LI:#13273277    0/25 peers    144 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:56:26 UTC Syncing #13273269 0x4daf…ed49     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#5694544 LI:#13273282    1/25 peers    144 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:56:32 UTC Syncing #13273269 0x4daf…ed49     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#5694544 LI:#13273282    4/25 peers    144 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:56:36 UTC Syncing #13273269 0x4daf…ed49     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#5694544 LI:#13273282    6/25 peers    144 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:56:41 UTC Syncing #13273269 0x4daf…ed49     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#5694544 LI:#13273282    4/25 peers    144 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:56:48 UTC Syncing #13273269 0x4daf…ed49     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#5694544 LI:#13273282    7/25 peers    144 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:56:51 UTC Syncing #13273269 0x4daf…ed49     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#5694544 LI:#13273282    7/25 peers    144 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:56:57 UTC Syncing #13273269 0x4daf…ed49     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#5694544 LI:#13273282    6/25 peers    144 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:57:01 UTC Syncing #13273269 0x4daf…ed49     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#5694544 LI:#13273283    3/25 peers    144 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:57:08 UTC Syncing #13273269 0x4daf…ed49     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#5694544 LI:#13273283    5/25 peers    144 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:57:11 UTC Syncing #13273270 0x26a7…2bb1     0.20 blk/s   54.0 tx/s    6.0 Mgas/s      0+   12 Qed Ancient:#5694546 LI:#13273283    5/25 peers    215 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:57:16 UTC Syncing #13273270 0x26a7…2bb1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#5694546 LI:#13273283    5/25 peers    215 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:57:21 UTC Syncing #13273270 0x26a7…2bb1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#5694546 LI:#13273283    8/25 peers    215 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:57:27 UTC Syncing #13273270 0x26a7…2bb1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#5694546 LI:#13273283    9/25 peers    215 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:57:31 UTC Syncing #13273270 0x26a7…2bb1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#5694546 LI:#13273283    9/25 peers    215 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:57:37 UTC Syncing #13273270 0x26a7…2bb1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#5694546 LI:#13273283   10/25 peers    215 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:57:42 UTC Syncing #13273271 0x5e93…b81e     0.20 blk/s   28.6 tx/s    2.5 Mgas/s      0+   11 Qed Ancient:#5694547 LI:#13273283   11/25 peers    222 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:57:46 UTC Syncing #13273271 0x5e93…b81e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#5694547 LI:#13273283   10/25 peers    222 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:57:52 UTC Syncing #13273271 0x5e93…b81e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#5694547 LI:#13273283   10/25 peers    222 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:57:56 UTC Syncing #13273271 0x5e93…b81e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#5694547 LI:#13273283    7/25 peers    222 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:58:02 UTC Syncing #13273271 0x5e93…b81e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#5694547 LI:#13273286    9/25 peers    222 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:58:12 UTC Syncing #13273271 0x5e93…b81e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#5694547 LI:#13273287    6/25 peers    222 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:59:05 UTC Syncing #13273272 0x1223…f17b     0.02 blk/s    5.9 tx/s    0.6 Mgas/s      0+   21 Qed Ancient:#5695542 LI:#13273293    3/25 peers   432 bytes chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:59:24 UTC Syncing #13273272 0x1223…f17b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   23 Qed Ancient:#5696088 LI:#13273295    1/25 peers   432 bytes chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:59:36 UTC Syncing #13273273 0x285b…7966     0.06 blk/s    5.9 tx/s    0.7 Mgas/s      0+   23 Qed Ancient:#5696890 LI:#13273296    4/25 peers    0 bytes chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:00:17 UTC Syncing #13273275 0x68ee…ab89     0.06 blk/s    8.9 tx/s    0.8 Mgas/s      0+   26 Qed Ancient:#5697582 LI:#13273301    1/25 peers      9 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:00:17 UTC Syncing #13273274 0xf8d3…609a     0.04 blk/s    0.7 tx/s    0.1 Mgas/s      0+   26 Qed Ancient:#5696891 LI:#13273301    1/25 peers    110 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:00:17 UTC Syncing #13273275 0x68ee…ab89     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   27 Qed Ancient:#5697584 LI:#13273302    1/25 peers     36 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:00:17 UTC Syncing #13273275 0x68ee…ab89     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#5697584 LI:#13273302    1/25 peers      9 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
