2021-09-22 03:48:21 UTC Syncing #13273224 0xe042…1e09     0.03 blk/s    9.3 tx/s    0.8 Mgas/s      0+   23 Qed Ancient:#5689428 LI:#13273247    1/25 peers    109 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:48:34 UTC Syncing #13273225 0x6810…76e1     0.07 blk/s   11.3 tx/s    1.3 Mgas/s      0+   22 Qed Ancient:#5689428 LI:#13273247    1/25 peers    144 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:48:43 UTC Syncing #13273226 0xb6a1…0aef     0.12 blk/s    8.3 tx/s    0.8 Mgas/s      0+   21 Qed Ancient:#5689428 LI:#13273247    1/25 peers    144 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:49:13 UTC Syncing #13273228 0x6a50…579a     0.07 blk/s   13.4 tx/s    1.1 Mgas/s      0+   20 Qed Ancient:#5689428 LI:#13273248    1/25 peers    215 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:49:39 UTC Syncing #13273229 0x2fa8…4e42     0.04 blk/s    1.8 tx/s    0.1 Mgas/s      0+   19 Qed Ancient:#5689428 LI:#13273249    1/25 peers    215 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:49:53 UTC Syncing #13273229 0x2fa8…4e42     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#5689428 LI:#13273249    1/25 peers    215 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:49:53 UTC Syncing #13273230 0xbe3c…8ab3     0.11 blk/s   39.0 tx/s    3.3 Mgas/s      0+   19 Qed Ancient:#5689559 LI:#13273249    1/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:49:53 UTC Syncing #13273230 0xbe3c…8ab3     0.20 blk/s   70.2 tx/s    6.0 Mgas/s      0+   18 Qed Ancient:#5689559 LI:#13273249    1/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:50:01 UTC Syncing #13273230 0xbe3c…8ab3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#5689559 LI:#13273249    1/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:50:01 UTC Syncing #13273230 0xbe3c…8ab3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#5689559 LI:#13273249    1/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:50:25 UTC Syncing #13273231 0xf979…6255     0.20 blk/s    9.0 tx/s    1.4 Mgas/s      0+   17 Qed Ancient:#5689559 LI:#13273249    0/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
