2021-09-22 03:57:56 UTC Syncing #13273271 0x5e93…b81e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#5694547 LI:#13273283    7/25 peers    222 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:58:02 UTC Syncing #13273271 0x5e93…b81e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#5694547 LI:#13273286    9/25 peers    222 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:58:12 UTC Syncing #13273271 0x5e93…b81e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#5694547 LI:#13273287    6/25 peers    222 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:59:05 UTC Syncing #13273272 0x1223…f17b     0.02 blk/s    5.9 tx/s    0.6 Mgas/s      0+   21 Qed Ancient:#5695542 LI:#13273293    3/25 peers   432 bytes chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:59:24 UTC Syncing #13273272 0x1223…f17b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   23 Qed Ancient:#5696088 LI:#13273295    1/25 peers   432 bytes chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:59:36 UTC Syncing #13273273 0x285b…7966     0.06 blk/s    5.9 tx/s    0.7 Mgas/s      0+   23 Qed Ancient:#5696890 LI:#13273296    4/25 peers    0 bytes chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:00:17 UTC Syncing #13273275 0x68ee…ab89     0.06 blk/s    8.9 tx/s    0.8 Mgas/s      0+   26 Qed Ancient:#5697582 LI:#13273301    1/25 peers      9 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:00:17 UTC Syncing #13273274 0xf8d3…609a     0.04 blk/s    0.7 tx/s    0.1 Mgas/s      0+   26 Qed Ancient:#5696891 LI:#13273301    1/25 peers    110 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:00:17 UTC Syncing #13273275 0x68ee…ab89     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   27 Qed Ancient:#5697584 LI:#13273302    1/25 peers     36 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:00:17 UTC Syncing #13273275 0x68ee…ab89     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#5697584 LI:#13273302    1/25 peers      9 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:00:30 UTC Syncing #13273277 0xed86…295a     0.21 blk/s    5.8 tx/s    0.8 Mgas/s      0+   24 Qed Ancient:#5697587 LI:#13273302    1/25 peers    215 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:00:30 UTC Syncing #13273275 0x68ee…ab89     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#5697585 LI:#13273302    1/25 peers    144 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:00:39 UTC Syncing #13273277 0xed86…295a     0.20 blk/s    5.5 tx/s    0.7 Mgas/s      0+   24 Qed Ancient:#5697587 LI:#13273302    1/25 peers    215 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:00:39 UTC Syncing #13273277 0xed86…295a     0.40 blk/s   11.0 tx/s    1.4 Mgas/s      0+   24 Qed Ancient:#5697587 LI:#13273302    1/25 peers    215 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:00:41 UTC Syncing #13273277 0xed86…295a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#5697587 LI:#13273303    1/25 peers    215 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:01:06 UTC Syncing #13273278 0x6929…2016     0.10 blk/s   16.1 tx/s    1.5 Mgas/s      0+   24 Qed Ancient:#5697588 LI:#13273303    1/25 peers    215 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:01:06 UTC Syncing #13273278 0x6929…2016     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#5697588 LI:#13273303    1/25 peers    215 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:01:06 UTC Syncing #13273278 0x6929…2016     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#5697588 LI:#13273303    1/25 peers    215 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:01:06 UTC Syncing #13273277 0xed86…295a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#5697587 LI:#13273303    1/25 peers    215 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
