2021-10-02 04:11:04 UTC Syncing #13337649 0x2e65…33f1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#11315663 LI:#13337659   27/50 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:11:10 UTC Syncing #13337649 0x2e65…33f1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#11315663 LI:#13337659   29/50 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:11:29 UTC Syncing #13337649 0x2e65…33f1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#11315663 LI:#13337659   27/50 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:11:34 UTC Syncing #13337649 0x2e65…33f1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#11315663 LI:#13337660   27/50 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:11:39 UTC Syncing #13337649 0x2e65…33f1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#11315663 LI:#13337661   27/50 peers      2 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:11:44 UTC Syncing #13337650 0x746b…e00c     0.20 blk/s   44.2 tx/s    4.3 Mgas/s      0+   10 Qed Ancient:#11315664 LI:#13337661   27/50 peers      2 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:11:49 UTC Syncing #13337651 0xf98d…71c2     0.20 blk/s   18.8 tx/s    1.2 Mgas/s      0+   11 Qed Ancient:#11315665 LI:#13337663   25/25 peers      2 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:11:54 UTC Syncing #13337651 0xf98d…71c2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#11315665 LI:#13337663   25/25 peers      2 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:11:59 UTC Syncing #13337651 0xf98d…71c2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#11315665 LI:#13337663   25/25 peers      2 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:12:04 UTC Syncing #13337652 0x1407…a6dd     0.20 blk/s   27.2 tx/s    2.5 Mgas/s      0+   11 Qed Ancient:#11315667 LI:#13337664   26/50 peers      2 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:12:09 UTC Syncing #13337652 0x1407…a6dd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#11315667 LI:#13337664   26/50 peers      2 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
