2021-10-02 04:05:09 UTC Syncing #13337625 0x85d3…2be5     0.20 blk/s   65.4 tx/s    6.0 Mgas/s      0+    7 Qed Ancient:#11313367 LI:#13337633   28/50 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:05:14 UTC Syncing #13337628 0xca3d…3ae2     0.60 blk/s   41.4 tx/s    4.7 Mgas/s      0+    4 Qed Ancient:#11313370 LI:#13337633   28/50 peers      6 MiB chain  941 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:05:34 UTC Imported #13337633 0xbbfe…c3b2 (340 txs, 30.00 Mgas, 9201 ms, 85.38 KiB)
2021-10-02 04:05:44 UTC  Ancient:#11314381 AB:#11316672   29/50 peers      1 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:06:21 UTC  Ancient:#11314553 AB:#11317394   28/50 peers      5 MiB chain  536 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:06:29 UTC Syncing #13337633 0xbbfe…c3b2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11314553 LI:#13337639   28/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:06:34 UTC Syncing #13337635 0x607f…996b     0.40 blk/s   55.6 tx/s    4.5 Mgas/s      0+    4 Qed Ancient:#11314555 LI:#13337640   28/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:06:39 UTC Syncing #13337635 0x607f…996b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11314555 LI:#13337640   28/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:06:44 UTC Syncing #13337635 0x607f…996b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11314555 LI:#13337640   28/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:06:49 UTC Syncing #13337635 0x607f…996b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11314555 LI:#13337640   31/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:07:15 UTC Syncing #13337635 0x607f…996b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11314555 LI:#13337641   28/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:07:19 UTC Syncing #13337635 0x607f…996b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11314555 LI:#13337641   28/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:07:24 UTC Syncing #13337635 0x607f…996b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11314555 LI:#13337641   28/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:07:29 UTC Syncing #13337635 0x607f…996b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11314555 LI:#13337641   30/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:07:34 UTC Syncing #13337636 0x6e0d…280b     0.20 blk/s   63.8 tx/s    6.0 Mgas/s      0+    4 Qed Ancient:#11314556 LI:#13337641   28/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:07:39 UTC Syncing #13337636 0x6e0d…280b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#11314556 LI:#13337641   27/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:08:09 UTC  Ancient:#11314562 AB:#11317919   29/50 peers      5 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:08:57 UTC  Ancient:#11315646 AB:#11317919   30/50 peers    0 bytes chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:08:57 UTC Imported #13337643 0xc54c…c6f7 (117 txs, 10.74 Mgas, 6175 ms, 75.65 KiB)
2021-10-02 04:08:59 UTC Syncing #13337643 0xc54c…c6f7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#11315656 LI:#13337649   29/50 peers      1 MiB chain  936 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:09:04 UTC Syncing #13337643 0xc54c…c6f7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11315656 LI:#13337650   28/50 peers      1 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:09:09 UTC Syncing #13337643 0xc54c…c6f7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11315656 LI:#13337651   26/50 peers      1 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:09:14 UTC Syncing #13337643 0xc54c…c6f7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11315656 LI:#13337651   26/50 peers      1 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:09:19 UTC Syncing #13337643 0xc54c…c6f7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#11315656 LI:#13337652   24/25 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:09:24 UTC Syncing #13337644 0x6b00…5747     0.20 blk/s   30.2 tx/s    2.5 Mgas/s      0+    8 Qed Ancient:#11315657 LI:#13337652   21/25 peers      1 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:09:31 UTC Syncing #13337644 0x6b00…5747     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11315657 LI:#13337652   20/25 peers      1 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:09:34 UTC Syncing #13337645 0x2c20…cecb     0.20 blk/s   25.8 tx/s    1.6 Mgas/s      0+    8 Qed Ancient:#11315658 LI:#13337653   20/25 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:09:40 UTC Syncing #13337645 0x2c20…cecb     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11315658 LI:#13337653   22/25 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:09:45 UTC Syncing #13337645 0x2c20…cecb     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#11315658 LI:#13337654   24/25 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:09:49 UTC Syncing #13337646 0x4b64…19af     0.20 blk/s   10.6 tx/s    1.8 Mgas/s      0+    8 Qed Ancient:#11315659 LI:#13337654   24/25 peers      1 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:09:54 UTC Syncing #13337646 0x4b64…19af     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11315659 LI:#13337654   24/25 peers      1 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:09:59 UTC Syncing #13337646 0x4b64…19af     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11315659 LI:#13337654   24/25 peers      1 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:10:04 UTC Syncing #13337646 0x4b64…19af     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11315659 LI:#13337654   24/25 peers      1 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
